source_edge_id,osm_way_id,original_ref,original_name,highway_class,vertex_count,length_km,length_m,lat_min,lat_max,lon_min,lon_max,source_dataset,acceptance_status,acceptance_reason
OSM_WAY_37236494,37236494,NH 44 (OSM Trunk Network),Samba-Udhampur Highway,primary,116,7.437,7437.36,32.81859,32.8573,75.14417,75.15882,jk_major_roads.parquet,ACCEPTED (Rule A/B: OSM NH-44 Trunk Alignment),Rule A: Explicit OSM Trunk Highway Alignment for NH-44
OSM_WAY_608864791,608864791,NH 44 (OSM Trunk Network),Udhampur Bypass,trunk,2,0.087,86.91,32.87178,32.87223,75.08117,75.08193,jk_major_roads.parquet,ACCEPTED (Rule A/B: OSM NH-44 Trunk Alignment),Rule A: Explicit OSM Trunk Highway Alignment for NH-44
OSM_WAY_608864779,608864779,NH 44 (OSM Trunk Network),Udhampur Bypass,trunk,2,0.09,89.78,32.8719,32.87235,75.08102,75.08182,jk_major_roads.parquet,ACCEPTED (Rule A/B: OSM NH-44 Trunk Alignment),Rule A: Explicit OSM Trunk Highway Alignment for NH-44
OSM_WAY_608864783,608864783,NH 44 (OSM Trunk Network),Udhampur Bypass,trunk,37,2.674,2673.51,32.87223,32.87683,75.08193,75.10547,jk_major_roads.parquet,ACCEPTED (Rule A/B: OSM NH-44 Trunk Alignment),Rule A: Explicit OSM Trunk Highway Alignment for NH-44
OSM_WAY_608864780,608864780,NH 44 (OSM Trunk Network),Udhampur Bypass,trunk,37,2.679,2678.72,32.87235,32.87694,75.08182,75.10544,jk_major_roads.parquet,ACCEPTED (Rule A/B: OSM NH-44 Trunk Alignment),Rule A: Explicit OSM Trunk Highway Alignment for NH-44
OSM_WAY_419337497,419337497,NH 44 (OSM Trunk Network),nan,trunk,14,0.25,250.37,32.85756,32.85975,74.96163,74.96192,jk_major_roads.parquet,ACCEPTED (Rule A/B: OSM NH-44 Trunk Alignment),Rule A: Explicit OSM Trunk Highway Alignment for NH-44
OSM_WAY_419337463,419337463,NH 44 (OSM Trunk Network),nan,trunk,2,0.057,57.27,32.85965,32.86004,74.96201,74.96241,jk_major_roads.parquet,ACCEPTED (Rule A/B: OSM NH-44 Trunk Alignment),Rule A: Explicit OSM Trunk Highway Alignment for NH-44
OSM_WAY_419337450,419337450,NH 44 (OSM Trunk Network),nan,trunk,2,0.049,48.62,32.85975,32.86009,74.96192,74.96224,jk_major_roads.parquet,ACCEPTED (Rule A/B: OSM NH-44 Trunk Alignment),Rule A: Explicit OSM Trunk Highway Alignment for NH-44
OSM_WAY_419337481,419337481,NH 44 (OSM Trunk Network),nan,trunk,79,2.252,2251.8,32.86004,32.87886,74.95524,74.96266,jk_major_roads.parquet,ACCEPTED (Rule A/B: OSM NH-44 Trunk Alignment),Rule A: Explicit OSM Trunk Highway Alignment for NH-44
OSM_WAY_419337487,419337487,NH 44 (OSM Trunk Network),nan,trunk,97,2.254,2253.7,32.86009,32.87889,74.95514,74.96256,jk_major_roads.parquet,ACCEPTED (Rule A/B: OSM NH-44 Trunk Alignment),Rule A: Explicit OSM Trunk Highway Alignment for NH-44
OSM_WAY_419337462,419337462,NH 44 (OSM Trunk Network),nan,trunk,2,0.033,32.97,32.87886,32.87916,74.95528,74.95533,jk_major_roads.parquet,ACCEPTED (Rule A/B: OSM NH-44 Trunk Alignment),Rule A: Explicit OSM Trunk Highway Alignment for NH-44
OSM_WAY_419337447,419337447,NH 44 (OSM Trunk Network),nan,trunk,2,0.034,33.82,32.87889,32.87919,74.95518,74.95523,jk_major_roads.parquet,ACCEPTED (Rule A/B: OSM NH-44 Trunk Alignment),Rule A: Explicit OSM Trunk Highway Alignment for NH-44
OSM_WAY_1115557263,1115557263,NH 44 (OSM Trunk Network),nan,trunk,15,0.358,358.02,32.87916,32.88203,74.95533,74.95702,jk_major_roads.parquet,ACCEPTED (Rule A/B: OSM NH-44 Trunk Alignment),Rule A: Explicit OSM Trunk Highway Alignment for NH-44
OSM_WAY_1115557266,1115557266,NH 44 (OSM Trunk Network),nan,trunk,15,0.389,388.92,32.87919,32.88231,74.95523,74.95707,jk_major_roads.parquet,ACCEPTED (Rule A/B: OSM NH-44 Trunk Alignment),Rule A: Explicit OSM Trunk Highway Alignment for NH-44
OSM_WAY_608859333,608859333,NH 44 (OSM Trunk Network),Samba-Udhampur Highway,primary,2,0.054,53.74,32.8573,32.85776,75.14805,75.14823,jk_major_roads.parquet,ACCEPTED (Rule A/B: OSM NH-44 Trunk Alignment),Rule A: Explicit OSM Trunk Highway Alignment for NH-44
OSM_WAY_608859336,608859336,NH 44 (OSM Trunk Network),Samba-Udhampur Highway,primary,2,0.143,142.86,32.85776,32.85898,75.14823,75.14871,jk_major_roads.parquet,ACCEPTED (Rule A/B: OSM NH-44 Trunk Alignment),Rule A: Explicit OSM Trunk Highway Alignment for NH-44
OSM_WAY_608859329,608859329,NH 44 (OSM Trunk Network),Samba-Udhampur Highway,primary,2,0.05,49.58,32.85898,32.85941,75.14871,75.14888,jk_major_roads.parquet,ACCEPTED (Rule A/B: OSM NH-44 Trunk Alignment),Rule A: Explicit OSM Trunk Highway Alignment for NH-44
OSM_WAY_608864781,608864781,NH 44 (OSM Trunk Network),Udhampur Bypass,trunk,2,0.074,73.68,32.8748,32.87481,75.10547,75.10626,jk_major_roads.parquet,ACCEPTED (Rule A/B: OSM NH-44 Trunk Alignment),Rule A: Explicit OSM Trunk Highway Alignment for NH-44
