sequence_number,longitude,latitude,easting_epsg32643,northing_epsg32643,cumulative_distance_km,source_edge_id,osm_way_id,road_name,source_coordinate_index,vertex_type
1,75.191949,32.991498,517932.78,3650360.8,0.0,OSM_WAY_NH44_MAINLINE,NH44_MAINLINE,NH-44 Jammu-Srinagar Highway,0,Original Winding Source Vertex
2,75.191897,32.991469,517927.95,3650357.54,0.006,OSM_WAY_NH44_MAINLINE,NH44_MAINLINE,NH-44 Jammu-Srinagar Highway,1,Original Winding Source Vertex
3,75.191738,32.991377,517913.09,3650347.29,0.024,OSM_WAY_NH44_MAINLINE,NH44_MAINLINE,NH-44 Jammu-Srinagar Highway,2,Original Winding Source Vertex
4,75.19151,32.991253,517891.84,3650333.53,0.049,OSM_WAY_NH44_MAINLINE,NH44_MAINLINE,NH-44 Jammu-Srinagar Highway,3,Original Winding Source Vertex
5,75.19145,32.991226,517886.28,3650330.51,0.056,OSM_WAY_NH44_MAINLINE,NH44_MAINLINE,NH-44 Jammu-Srinagar Highway,4,Original Winding Source Vertex
6,75.191396,32.991211,517881.2,3650328.81,0.061,OSM_WAY_NH44_MAINLINE,NH44_MAINLINE,NH-44 Jammu-Srinagar Highway,5,Original Winding Source Vertex
7,75.19134,32.991207,517876.01,3650328.45,0.066,OSM_WAY_NH44_MAINLINE,NH44_MAINLINE,NH-44 Jammu-Srinagar Highway,6,Original Winding Source Vertex
8,75.191281,32.991209,517870.45,3650328.67,0.072,OSM_WAY_NH44_MAINLINE,NH44_MAINLINE,NH-44 Jammu-Srinagar Highway,7,Original Winding Source Vertex
9,75.191193,32.991215,517862.22,3650329.27,0.08,OSM_WAY_NH44_MAINLINE,NH44_MAINLINE,NH-44 Jammu-Srinagar Highway,8,Original Winding Source Vertex
10,75.191127,32.99122,517856.05,3650329.85,0.086,OSM_WAY_NH44_MAINLINE,NH44_MAINLINE,NH-44 Jammu-Srinagar Highway,9,Original Winding Source Vertex
11,75.191065,32.991222,517850.25,3650329.97,0.092,OSM_WAY_NH44_MAINLINE,NH44_MAINLINE,NH-44 Jammu-Srinagar Highway,10,Original Winding Source Vertex
12,75.191018,32.991222,517845.9,3650329.96,0.096,OSM_WAY_NH44_MAINLINE,NH44_MAINLINE,NH-44 Jammu-Srinagar Highway,11,Original Winding Source Vertex
13,75.190964,32.991215,517840.82,3650329.23,0.101,OSM_WAY_NH44_MAINLINE,NH44_MAINLINE,NH-44 Jammu-Srinagar Highway,12,Original Winding Source Vertex
14,75.190923,32.991208,517837.02,3650328.39,0.105,OSM_WAY_NH44_MAINLINE,NH44_MAINLINE,NH-44 Jammu-Srinagar Highway,13,Original Winding Source Vertex
15,75.193082,32.991545,518038.64,3650366.14,0.105,OSM_WAY_NH44_MAINLINE,NH44_MAINLINE,NH-44 Jammu-Srinagar Highway,0,Original Winding Source Vertex
16,75.192988,32.99156,518029.82,3650367.81,0.114,OSM_WAY_NH44_MAINLINE,NH44_MAINLINE,NH-44 Jammu-Srinagar Highway,1,Original Winding Source Vertex
17,75.192774,32.991582,518009.86,3650370.18,0.134,OSM_WAY_NH44_MAINLINE,NH44_MAINLINE,NH-44 Jammu-Srinagar Highway,2,Original Winding Source Vertex
