route_sequence,source_edge_id,osm_way_id,length_km
1,OSM_WAY_1243203837,1243203837,0.122
2,OSM_WAY_1243203834,1243203834,0.018
3,OSM_WAY_1353081880,1353081880,3.29
4,OSM_WAY_1353084106,1353084106,0.201
5,OSM_WAY_38044490,38044490,6.355
6,OSM_WAY_1375325144,1375325144,1.47
7,OSM_WAY_1372811475,1372811475,0.669
8,OSM_WAY_1372811474,1372811474,1.979
9,OSM_WAY_1375178091,1375178091,0.836
10,OSM_WAY_1375316007,1375316007,0.518
11,OSM_WAY_1375316014,1375316014,0.52
12,OSM_WAY_1375316011,1375316011,0.8
13,OSM_WAY_1375178078,1375178078,0.09
14,OSM_WAY_1375316008,1375316008,0.093
15,OSM_WAY_1375316017,1375316017,0.123
16,OSM_WAY_1019041721,1019041721,0.755
17,OSM_WAY_828197179,828197179,0.743
18,OSM_WAY_827651320,827651320,0.082
