source_edge_id,route_sequence,start_distance_km,end_distance_km,structure_type,structure_name,data_completeness
OSM_WAY_419337442,1,0.0,0.466,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_419337438,2,0.466,0.542,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_419337490,3,0.542,1.095,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_419337499,4,1.095,1.342,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_419337463,5,1.342,1.4,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_419337481,6,1.4,3.651,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_419337462,7,3.651,3.684,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_1115557263,8,3.684,4.042,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_1115557264,9,4.042,4.069,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_419337494,10,4.069,6.366,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_419337446,11,6.366,6.617,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_419337434,12,6.617,10.551,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_1115550712,13,10.551,10.702,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_1115550713,14,10.702,11.867,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_633386653,15,11.867,11.925,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_633386655,16,11.925,14.532,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_419337479,17,14.532,14.647,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_419337498,18,14.647,14.958,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_419337445,19,14.958,15.038,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_419337435,20,15.038,21.092,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_1115428210,21,21.092,21.172,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_1115428211,22,21.172,24.332,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_419337486,23,24.332,24.541,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_419337500,24,24.541,25.091,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_419337449,25,25.091,25.138,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_419337489,26,25.138,25.249,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_419337468,27,25.249,25.351,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_608878520,28,25.351,27.121,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_608878512,29,27.121,27.22,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_608867809,30,27.22,27.3,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_456713041,31,27.3,27.528,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_608864790,32,27.528,30.366,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_608864791,33,30.366,30.453,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_608864783,34,30.453,33.127,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_608864781,35,33.127,33.2,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_419337520,36,33.2,39.014,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_608852932,37,39.014,39.314,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_608852928,38,39.314,39.416,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_608852926,39,39.416,40.036,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_608852924,40,40.036,40.103,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_419337524,41,40.103,43.819,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_1021624771,42,43.819,44.693,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_1021624768,43,44.693,44.806,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_1021624778,44,44.806,45.681,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_1021624772,45,45.681,45.761,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_1021624775,46,45.761,45.91,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_1243062090,47,45.91,46.068,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_1243062091,48,46.068,47.206,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_1243062094,49,47.206,47.233,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_1243062095,50,47.233,47.559,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_1243062096,51,47.559,47.579,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_1243062097,52,47.579,49.504,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_1243062098,53,49.504,49.542,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_1243063865,54,49.542,52.036,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_1243203830,55,52.036,52.059,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_1243203831,56,52.059,52.516,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_1243203832,57,52.516,52.543,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_1243203837,58,52.543,52.648,open road,Surface Road,Complete (OSM Tagged)
OSM_WAY_1243203838,59,52.648,52.671,open road,Surface Road,Complete (OSM Tagged)
