route_sequence,source_edge_id,osm_way_id,length_km
1,OSM_WAY_419337442,419337442,0.466
2,OSM_WAY_419337438,419337438,0.076
3,OSM_WAY_419337490,419337490,0.553
4,OSM_WAY_419337499,419337499,0.247
5,OSM_WAY_419337463,419337463,0.057
6,OSM_WAY_419337481,419337481,2.252
7,OSM_WAY_419337462,419337462,0.033
8,OSM_WAY_1115557263,1115557263,0.358
9,OSM_WAY_1115557264,1115557264,0.027
10,OSM_WAY_419337494,419337494,2.297
11,OSM_WAY_419337446,419337446,0.25
12,OSM_WAY_419337434,419337434,3.934
13,OSM_WAY_1115550712,1115550712,0.151
14,OSM_WAY_1115550713,1115550713,1.165
15,OSM_WAY_633386653,633386653,0.058
16,OSM_WAY_633386655,633386655,2.607
17,OSM_WAY_419337479,419337479,0.114
18,OSM_WAY_419337498,419337498,0.312
19,OSM_WAY_419337445,419337445,0.08
20,OSM_WAY_419337435,419337435,6.054
21,OSM_WAY_1115428210,1115428210,0.08
22,OSM_WAY_1115428211,1115428211,3.16
23,OSM_WAY_419337486,419337486,0.209
24,OSM_WAY_419337500,419337500,0.549
25,OSM_WAY_419337449,419337449,0.047
26,OSM_WAY_419337489,419337489,0.111
27,OSM_WAY_419337468,419337468,0.102
28,OSM_WAY_608878520,608878520,1.77
29,OSM_WAY_608878512,608878512,0.099
30,OSM_WAY_608867809,608867809,0.08
31,OSM_WAY_456713041,456713041,0.228
32,OSM_WAY_608864790,608864790,2.838
33,OSM_WAY_608864791,608864791,0.087
34,OSM_WAY_608864783,608864783,2.674
35,OSM_WAY_608864781,608864781,0.074
36,OSM_WAY_419337520,419337520,5.813
37,OSM_WAY_608852932,608852932,0.3
38,OSM_WAY_608852928,608852928,0.102
39,OSM_WAY_608852926,608852926,0.62
40,OSM_WAY_608852924,608852924,0.067
41,OSM_WAY_419337524,419337524,3.716
42,OSM_WAY_1021624771,1021624771,0.874
43,OSM_WAY_1021624768,1021624768,0.114
44,OSM_WAY_1021624778,1021624778,0.875
45,OSM_WAY_1021624772,1021624772,0.08
46,OSM_WAY_1021624775,1021624775,0.149
47,OSM_WAY_1243062090,1243062090,0.158
48,OSM_WAY_1243062091,1243062091,1.139
49,OSM_WAY_1243062094,1243062094,0.027
50,OSM_WAY_1243062095,1243062095,0.326
51,OSM_WAY_1243062096,1243062096,0.02
52,OSM_WAY_1243062097,1243062097,1.925
53,OSM_WAY_1243062098,1243062098,0.038
54,OSM_WAY_1243063865,1243063865,2.494
55,OSM_WAY_1243203830,1243203830,0.024
56,OSM_WAY_1243203831,1243203831,0.457
57,OSM_WAY_1243203832,1243203832,0.027
58,OSM_WAY_1243203837,1243203837,0.105
59,OSM_WAY_1243203838,1243203838,0.023
60,OSM_WAY_1243203839,1243203839,0.087
61,OSM_WAY_1243203840,1243203840,0.02
62,OSM_WAY_1243203841,1243203841,1.193
63,OSM_WAY_1243203842,1243203842,0.074
64,OSM_WAY_1243663052,1243663052,0.579
65,OSM_WAY_1305582893,1305582893,0.121
66,OSM_WAY_1305582892,1305582892,0.012
67,OSM_WAY_1305582894,1305582894,0.061
68,OSM_WAY_239961172,239961172,0.027
69,OSM_WAY_239961180,239961180,0.911
70,OSM_WAY_1305582891,1305582891,6.0
71,OSM_WAY_1264604065,1264604065,0.048
72,OSM_WAY_1264604067,1264604067,0.04
73,OSM_WAY_1264604066,1264604066,0.043
74,OSM_WAY_239961181,239961181,1.458
75,OSM_WAY_239961174,239961174,0.031
76,OSM_WAY_239961178,239961178,0.872
77,OSM_WAY_477835379,477835379,0.139
78,OSM_WAY_833651556,833651556,0.035
