route_sequence,source_edge_id,osm_way_id,length_km
1,OSM_WAY_1243203837,1243203837,0.105
2,OSM_WAY_1243203839,1243203839,0.087
3,OSM_WAY_239961168,239961168,1.188
4,OSM_WAY_1021624780,1021624780,0.055
5,OSM_WAY_1243663052,1243663052,0.579
6,OSM_WAY_1305582893,1305582893,0.121
7,OSM_WAY_1305582894,1305582894,0.061
8,OSM_WAY_239961180,239961180,0.911
9,OSM_WAY_1305582891,1305582891,6.0
10,OSM_WAY_1264604068,1264604068,0.051
11,OSM_WAY_239961181,239961181,1.458
12,OSM_WAY_833651557,833651557,1.061
13,OSM_WAY_833651561,833651561,1.128
14,OSM_WAY_497340361,497340361,0.046
15,OSM_WAY_128930104,128930104,9.014
16,OSM_WAY_832081015,832081015,0.038
17,OSM_WAY_832081016,832081016,0.062
18,OSM_WAY_419546082,419546082,0.038
19,OSM_WAY_239934717,239934717,0.291
20,OSM_WAY_1353661746,1353661746,0.279
21,OSM_WAY_1353661745,1353661745,0.045
22,OSM_WAY_971209973,971209973,0.874
23,OSM_WAY_1385749580,1385749580,0.531
24,OSM_WAY_971209974,971209974,0.592
25,OSM_WAY_1353661749,1353661749,0.036
26,OSM_WAY_1353661748,1353661748,0.06
27,OSM_WAY_1353661742,1353661742,0.072
28,OSM_WAY_1353661750,1353661750,0.066
29,OSM_WAY_1353661751,1353661751,0.731
30,OSM_WAY_1270692112,1270692112,2.441
31,OSM_WAY_1353661755,1353661755,0.06
32,OSM_WAY_1353661752,1353661752,0.517
33,OSM_WAY_1270692111,1270692111,0.888
34,OSM_WAY_1445960460,1445960460,0.283
35,OSM_WAY_1445960459,1445960459,0.163
36,OSM_WAY_1270692110,1270692110,4.657
37,OSM_WAY_62155482,62155482,0.101
38,OSM_WAY_1353081909,1353081909,0.443
39,OSM_WAY_634386106,634386106,0.036
40,OSM_WAY_634386115,634386115,0.919
41,OSM_WAY_1353081908,1353081908,0.028
42,OSM_WAY_239933942,239933942,1.947
43,OSM_WAY_1353081900,1353081900,0.715
44,OSM_WAY_1445960464,1445960464,0.216
45,OSM_WAY_1353081901,1353081901,1.083
46,OSM_WAY_1445960463,1445960463,0.06
47,OSM_WAY_1353081891,1353081891,1.204
48,OSM_WAY_1353081889,1353081889,0.1
49,OSM_WAY_1375325142,1375325142,0.99
50,OSM_WAY_1353081906,1353081906,0.562
51,OSM_WAY_1353081905,1353081905,0.336
52,OSM_WAY_838654108,838654108,0.051
53,OSM_WAY_1353081883,1353081883,0.557
54,OSM_WAY_1375325143,1375325143,0.231
55,OSM_WAY_1353084108,1353084108,0.165
56,OSM_WAY_1375325140,1375325140,0.774
57,OSM_WAY_1353084106,1353084106,0.188
58,OSM_WAY_1353081881,1353081881,0.396
59,OSM_WAY_1353084105,1353084105,0.296
60,OSM_WAY_239933947,239933947,3.845
61,OSM_WAY_38044490,38044490,5.891
62,OSM_WAY_1159230507,1159230507,0.591
63,OSM_WAY_239933941,239933941,0.101
64,OSM_WAY_239933943,239933943,0.512
65,OSM_WAY_1354577838,1354577838,0.246
66,OSM_WAY_1354577842,1354577842,0.194
67,OSM_WAY_1354577841,1354577841,0.058
68,OSM_WAY_1354577837,1354577837,0.768
69,OSM_WAY_1347307407,1347307407,0.044
70,OSM_WAY_1375325144,1375325144,1.323
71,OSM_WAY_828496600,828496600,3.538
72,OSM_WAY_38044778,38044778,1.198
73,OSM_WAY_1372811475,1372811475,0.595
74,OSM_WAY_1375158685,1375158685,0.041
75,OSM_WAY_1375158675,1375158675,0.599
76,OSM_WAY_1375158683,1375158683,0.129
77,OSM_WAY_1375158680,1375158680,0.093
78,OSM_WAY_1375158681,1375158681,0.258
79,OSM_WAY_1372811467,1372811467,0.234
80,OSM_WAY_1372811472,1372811472,0.847
81,OSM_WAY_1372811466,1372811466,0.355
82,OSM_WAY_1372811468,1372811468,0.48
83,OSM_WAY_1375178085,1375178085,3.078
84,OSM_WAY_1375178087,1375178087,0.06
85,OSM_WAY_1375178083,1375178083,0.168
86,OSM_WAY_1375178090,1375178090,0.078
87,OSM_WAY_1375178086,1375178086,0.957
88,OSM_WAY_1375316013,1375316013,0.131
89,OSM_WAY_1375316010,1375316010,0.745
90,OSM_WAY_1375316007,1375316007,0.481
91,OSM_WAY_1375316011,1375316011,0.758
92,OSM_WAY_1375178078,1375178078,0.081
93,OSM_WAY_1375316017,1375316017,0.119
94,OSM_WAY_828197177,828197177,0.321
95,OSM_WAY_828197178,828197178,0.054
96,OSM_WAY_1375316018,1375316018,0.394
97,OSM_WAY_1019041721,1019041721,0.742
98,OSM_WAY_827651320,827651320,0.077
99,OSM_WAY_1375982244,1375982244,0.281
100,OSM_WAY_1019041724,1019041724,2.788
101,OSM_WAY_828197175,828197175,0.338
102,OSM_WAY_828197176,828197176,1.048
103,OSM_WAY_1020354280,1020354280,0.069
104,OSM_WAY_316685070,316685070,8.507
