route_sequence,source_edge_id,structure_type,structure_name,start_distance_km,end_distance_km,data_quality
1,OSM_WAY_1243203837,open road,Surface Road,0.0,0.105,Complete (OSM Verified)
2,OSM_WAY_1243203839,open road,Surface Road,0.105,0.192,Complete (OSM Verified)
3,OSM_WAY_239961168,open road,Surface Road,0.192,1.38,Complete (OSM Verified)
4,OSM_WAY_1021624780,open road,Surface Road,1.38,1.435,Complete (OSM Verified)
5,OSM_WAY_1243663052,open road,Surface Road,1.435,2.014,Complete (OSM Verified)
6,OSM_WAY_1305582893,open road,Surface Road,2.014,2.135,Complete (OSM Verified)
7,OSM_WAY_1305582894,open road,Surface Road,2.135,2.196,Complete (OSM Verified)
8,OSM_WAY_239961180,open road,Surface Road,2.196,3.107,Complete (OSM Verified)
9,OSM_WAY_1305582891,open road,Surface Road,3.107,9.107,Complete (OSM Verified)
10,OSM_WAY_1264604068,open road,Surface Road,9.107,9.158,Complete (OSM Verified)
11,OSM_WAY_239961181,open road,Surface Road,9.158,10.616,Complete (OSM Verified)
12,OSM_WAY_833651557,open road,Surface Road,10.616,11.677,Complete (OSM Verified)
13,OSM_WAY_833651561,open road,Surface Road,11.677,12.804,Complete (OSM Verified)
14,OSM_WAY_497340361,open road,Surface Road,12.804,12.85,Complete (OSM Verified)
15,OSM_WAY_128930104,tunnel,Dr. Syama Prasad Mookerjee Tunnel,12.85,21.864,Complete (OSM Verified)
16,OSM_WAY_832081015,open road,Surface Road,21.864,21.902,Complete (OSM Verified)
17,OSM_WAY_832081016,open road,Surface Road,21.902,21.964,Complete (OSM Verified)
18,OSM_WAY_419546082,open road,Surface Road,21.964,22.002,Complete (OSM Verified)
19,OSM_WAY_239934717,open road,Surface Road,22.002,22.293,Complete (OSM Verified)
20,OSM_WAY_1353661746,open road,Surface Road,22.293,22.572,Complete (OSM Verified)
21,OSM_WAY_1353661745,open road,Surface Road,22.572,22.617,Complete (OSM Verified)
22,OSM_WAY_971209973,open road,Surface Road,22.617,23.491,Complete (OSM Verified)
23,OSM_WAY_1385749580,open road,Surface Road,23.491,24.021,Complete (OSM Verified)
24,OSM_WAY_971209974,open road,Surface Road,24.021,24.614,Complete (OSM Verified)
25,OSM_WAY_1353661749,open road,Surface Road,24.614,24.65,Complete (OSM Verified)
26,OSM_WAY_1353661748,open road,Surface Road,24.65,24.71,Complete (OSM Verified)
27,OSM_WAY_1353661742,open road,Surface Road,24.71,24.781,Complete (OSM Verified)
28,OSM_WAY_1353661750,open road,Surface Road,24.781,24.847,Complete (OSM Verified)
29,OSM_WAY_1353661751,open road,Surface Road,24.847,25.578,Complete (OSM Verified)
30,OSM_WAY_1270692112,open road,Surface Road,25.578,28.019,Complete (OSM Verified)
31,OSM_WAY_1353661755,open road,Surface Road,28.019,28.079,Complete (OSM Verified)
32,OSM_WAY_1353661752,open road,Surface Road,28.079,28.596,Complete (OSM Verified)
33,OSM_WAY_1270692111,tunnel,Peerah chanderkot tunnel,28.596,29.484,Complete (OSM Verified)
34,OSM_WAY_1445960460,open road,Surface Road,29.484,29.766,Complete (OSM Verified)
35,OSM_WAY_1445960459,open road,Surface Road,29.766,29.929,Complete (OSM Verified)
36,OSM_WAY_1270692110,open road,Surface Road,29.929,34.586,Complete (OSM Verified)
37,OSM_WAY_62155482,open road,Surface Road,34.586,34.687,Complete (OSM Verified)
38,OSM_WAY_1353081909,open road,Surface Road,34.687,35.13,Complete (OSM Verified)
39,OSM_WAY_634386106,open road,Surface Road,35.13,35.167,Complete (OSM Verified)
40,OSM_WAY_634386115,open road,Surface Road,35.167,36.086,Complete (OSM Verified)
41,OSM_WAY_1353081908,open road,Surface Road,36.086,36.114,Complete (OSM Verified)
42,OSM_WAY_239933942,open road,Surface Road,36.114,38.061,Complete (OSM Verified)
43,OSM_WAY_1353081900,open road,Surface Road,38.061,38.777,Complete (OSM Verified)
44,OSM_WAY_1445960464,open road,Surface Road,38.777,38.993,Complete (OSM Verified)
45,OSM_WAY_1353081901,open road,Surface Road,38.993,40.076,Complete (OSM Verified)
46,OSM_WAY_1445960463,open road,Surface Road,40.076,40.136,Complete (OSM Verified)
47,OSM_WAY_1353081891,open road,Surface Road,40.136,41.34,Complete (OSM Verified)
48,OSM_WAY_1353081889,open road,Surface Road,41.34,41.44,Complete (OSM Verified)
49,OSM_WAY_1375325142,open road,Surface Road,41.44,42.43,Complete (OSM Verified)
50,OSM_WAY_1353081906,open road,Surface Road,42.43,42.992,Complete (OSM Verified)
51,OSM_WAY_1353081905,open road,Surface Road,42.992,43.329,Complete (OSM Verified)
52,OSM_WAY_838654108,open road,Surface Road,43.329,43.38,Complete (OSM Verified)
53,OSM_WAY_1353081883,open road,Surface Road,43.38,43.936,Complete (OSM Verified)
54,OSM_WAY_1375325143,open road,Surface Road,43.936,44.167,Complete (OSM Verified)
55,OSM_WAY_1353084108,open road,Surface Road,44.167,44.332,Complete (OSM Verified)
56,OSM_WAY_1375325140,open road,Surface Road,44.332,45.106,Complete (OSM Verified)
57,OSM_WAY_1353084106,open road,Surface Road,45.106,45.294,Complete (OSM Verified)
58,OSM_WAY_1353081881,open road,Surface Road,45.294,45.69,Complete (OSM Verified)
59,OSM_WAY_1353084105,open road,Surface Road,45.69,45.986,Complete (OSM Verified)
60,OSM_WAY_239933947,open road,Surface Road,45.986,49.831,Complete (OSM Verified)
61,OSM_WAY_38044490,open road,Surface Road,49.831,55.722,Complete (OSM Verified)
62,OSM_WAY_1159230507,tunnel,Painthal Tunnel,55.722,56.314,Complete (OSM Verified)
63,OSM_WAY_239933941,open road,Surface Road,56.314,56.415,Complete (OSM Verified)
64,OSM_WAY_239933943,open road,Surface Road,56.415,56.927,Complete (OSM Verified)
65,OSM_WAY_1354577838,open road,Surface Road,56.927,57.173,Complete (OSM Verified)
66,OSM_WAY_1354577842,open road,Surface Road,57.173,57.368,Complete (OSM Verified)
67,OSM_WAY_1354577841,open road,Surface Road,57.368,57.426,Complete (OSM Verified)
68,OSM_WAY_1354577837,open road,Surface Road,57.426,58.194,Complete (OSM Verified)
69,OSM_WAY_1347307407,open road,Surface Road,58.194,58.238,Complete (OSM Verified)
70,OSM_WAY_1375325144,open road,Surface Road,58.238,59.561,Complete (OSM Verified)
71,OSM_WAY_828496600,open road,Surface Road,59.561,63.099,Complete (OSM Verified)
72,OSM_WAY_38044778,open road,Surface Road,63.099,64.296,Complete (OSM Verified)
73,OSM_WAY_1372811475,open road,Surface Road,64.296,64.891,Complete (OSM Verified)
74,OSM_WAY_1375158685,open road,Surface Road,64.891,64.932,Complete (OSM Verified)
75,OSM_WAY_1375158675,open road,Surface Road,64.932,65.531,Complete (OSM Verified)
76,OSM_WAY_1375158683,open road,Surface Road,65.531,65.661,Complete (OSM Verified)
77,OSM_WAY_1375158680,open road,Surface Road,65.661,65.754,Complete (OSM Verified)
78,OSM_WAY_1375158681,open road,Surface Road,65.754,66.012,Complete (OSM Verified)
79,OSM_WAY_1372811467,open road,Surface Road,66.012,66.246,Complete (OSM Verified)
80,OSM_WAY_1372811472,open road,Surface Road,66.246,67.094,Complete (OSM Verified)
81,OSM_WAY_1372811466,open road,Surface Road,67.094,67.448,Complete (OSM Verified)
82,OSM_WAY_1372811468,open road,Surface Road,67.448,67.929,Complete (OSM Verified)
83,OSM_WAY_1375178085,open road,Surface Road,67.929,71.007,Complete (OSM Verified)
84,OSM_WAY_1375178087,open road,Surface Road,71.007,71.066,Complete (OSM Verified)
85,OSM_WAY_1375178083,open road,Surface Road,71.066,71.234,Complete (OSM Verified)
86,OSM_WAY_1375178090,open road,Surface Road,71.234,71.312,Complete (OSM Verified)
87,OSM_WAY_1375178086,open road,Surface Road,71.312,72.269,Complete (OSM Verified)
88,OSM_WAY_1375316013,open road,Surface Road,72.269,72.401,Complete (OSM Verified)
89,OSM_WAY_1375316010,open road,Surface Road,72.401,73.146,Complete (OSM Verified)
90,OSM_WAY_1375316007,open road,Surface Road,73.146,73.627,Complete (OSM Verified)
91,OSM_WAY_1375316011,open road,Surface Road,73.627,74.386,Complete (OSM Verified)
92,OSM_WAY_1375178078,open road,Surface Road,74.386,74.467,Complete (OSM Verified)
