corridor_id,corridor_name,origin_name,destination_name,route_direction,chainage_m,chainage_km,longitude,latitude,projected_x,projected_y,district,geometry_version
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,0.0,0.0,75.517501,33.578163,548025.28,3715505.11,kishtwar,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,100.0,0.1,75.5166,33.578633,547941.38,3715556.82,kishtwar,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,200.0,0.2,75.51561,33.578445,547849.66,3715535.48,kishtwar,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,300.0,0.3,75.51501,33.577861,547794.3,3715470.47,kishtwar,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,400.0,0.4,75.514301,33.577483,547728.73,3715428.23,kishtwar,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,500.0,0.5,75.514745,33.57674,547770.35,3715346.08,kishtwar,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,600.0,0.6,75.514904,33.575853,547785.56,3715247.82,kishtwar,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,700.0,0.7,75.515585,33.575166,547849.17,3715171.89,kishtwar,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,800.0,0.8,75.515279,33.574372,547821.19,3715083.75,kishtwar,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,900.0,0.9,75.514598,33.573714,547758.37,3715010.43,kishtwar,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,1000.0,1.0,75.514893,33.57286,547786.16,3714915.94,kishtwar,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,1100.0,1.1,75.515435,33.572108,547836.93,3714832.78,kishtwar,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,1200.0,1.2,75.515031,33.572518,547799.2,3714878.03,kishtwar,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,1300.0,1.3,75.514406,33.573237,547740.81,3714957.53,kishtwar,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,1400.0,1.4,75.514248,33.574045,547725.7,3715047.05,kishtwar,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,1500.0,1.5,75.514912,33.574737,547786.87,3715124.0,kishtwar,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,1600.0,1.6,75.514284,33.575417,547728.22,3715199.13,kishtwar,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,1700.0,1.7,75.513947,33.576262,547696.51,3715292.63,kishtwar,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,1800.0,1.8,75.513122,33.576787,547619.62,3715350.47,kishtwar,2.3A
