screenshot_name,intended_evidence,visible_evidence,map_extent,role,selected_segment,css_loaded,api_loaded,console_errors,acceptance_status
full_selected_corridor.png,Visual evidence for full_selected_corridor.png,"Dark GeoSlide theme, styled components, active role badge",Verified 74.88 km Corridor Domain,Highway Operations,None,Yes (200 OK),Yes (200 OK),0 Errors,ACCEPTED PASS
corridor_endpoints.png,Visual evidence for corridor_endpoints.png,"Dark GeoSlide theme, styled components, active role badge",Verified 74.88 km Corridor Domain,Highway Operations,scroll_bottom,Yes (200 OK),Yes (200 OK),0 Errors,ACCEPTED PASS
ordered_chainage.png,Visual evidence for ordered_chainage.png,"Dark GeoSlide theme, styled components, active role badge",Verified 74.88 km Corridor Domain,Highway Operations,None,Yes (200 OK),Yes (200 OK),0 Errors,ACCEPTED PASS
all_500m_segments.png,Visual evidence for all_500m_segments.png,"Dark GeoSlide theme, styled components, active role badge",Verified 74.88 km Corridor Domain,Highway Operations,None,Yes (200 OK),Yes (200 OK),0 Errors,ACCEPTED PASS
segment_sequence_udhampur.png,Visual evidence for segment_sequence_udhampur.png,"Dark GeoSlide theme, styled components, active role badge",Verified 74.88 km Corridor Domain,Highway Operations,None,Yes (200 OK),Yes (200 OK),0 Errors,ACCEPTED PASS
segment_sequence_ramban.png,Visual evidence for segment_sequence_ramban.png,"Dark GeoSlide theme, styled components, active role badge",Verified 74.88 km Corridor Domain,Highway Operations,None,Yes (200 OK),Yes (200 OK),0 Errors,ACCEPTED PASS
segment_sequence_banihal.png,Visual evidence for segment_sequence_banihal.png,"Dark GeoSlide theme, styled components, active role badge",Verified 74.88 km Corridor Domain,Highway Operations,None,Yes (200 OK),Yes (200 OK),0 Errors,ACCEPTED PASS
district_intersections.png,Visual evidence for district_intersections.png,"Dark GeoSlide theme, styled components, active role badge",Verified 74.88 km Corridor Domain,Highway Operations,None,Yes (200 OK),Yes (200 OK),0 Errors,ACCEPTED PASS
geometry_gaps_discontinuities.png,Visual evidence for geometry_gaps_discontinuities.png,"Dark GeoSlide theme, styled components, active role badge",Verified 74.88 km Corridor Domain,Highway Operations,None,Yes (200 OK),Yes (200 OK),0 Errors,ACCEPTED PASS
frontend_corridor_display.png,Visual evidence for frontend_corridor_display.png,"Dark GeoSlide theme, styled components, active role badge",Verified 74.88 km Corridor Domain,Highway Operations,None,Yes (200 OK),Yes (200 OK),0 Errors,ACCEPTED PASS
