district_name,fold_role,sample_count,positive_count,notes
Anantnag,Validation (Fold 1),38421,1037,Valid District
Bandipora,Validation (Fold 1),38421,1037,Valid District
Reasi,Validation (Fold 1),38421,1037,Valid District
Budgam,Validation (Fold 2),44120,942,No-Landslide Positive (Included in Pseudo-absences)
Ganderbal,Validation (Fold 2),44120,942,Valid District
Kishtwar,Validation (Fold 2),44120,942,Valid District
Baramulla,Validation (Fold 3),37940,839,Valid District
Rajouri,Validation (Fold 3),37940,839,Valid District
Samba,Validation (Fold 3),37940,839,No-Landslide Positive (Included in Pseudo-absences)
Doda,Validation (Fold 4),41020,1008,Valid District
Kulgam,Validation (Fold 4),41020,1008,Valid District
Pulwama,Validation (Fold 4),41020,1008,Valid District
Jammu,Validation (Fold 5),38499,761,No-Landslide Positive (Included in Pseudo-absences)
Kathua,Validation (Fold 5),38499,761,Valid District
Kupwara,Validation (Fold 5),38499,761,Valid District
Poonch,"Training (Folds 1, 2, 4, 5)",15200,420,Valid High-Hazard Border District
Ramban,"Training (Folds 1, 2, 3, 5)",18500,615,Valid Critical-Hazard NH-44 District
Shopian,"Training (Folds 1, 3, 4, 5)",9200,120,Valid High-Altitude District
Srinagar,"Training (Folds 1, 2, 3, 4)",8500,0,No-Landslide Positive Urban District
Udhampur,"Training (Folds 2, 3, 4, 5)",14200,310,Valid High-Hazard Foothills District
