dataset_key,dataset_type,crs,file_path,file_size_mb,record_count,checksum_sha256
elevation_cog,raster,EPSG:32643,data/processed/terrain/jk_elevation_glo30_cog.tif,216.75,51322278,9f481c7e9a22d4808c105658e37042a3bd7144bb285e6ef1a52026ae67ef6a25
slope_cog,raster,EPSG:32643,data/processed/terrain/jk_slope_degrees_cog.tif,231.58,51322278,63f2efedc9ee0ffefc7d7e3661eb98ac030a597a13c9df17b6ce3ec3e36e4f3a
aspect_cog,raster,EPSG:32643,data/processed/terrain/jk_aspect_degrees_cog.tif,231.47,51322278,e72fbf4fa4d5ca9b50b5ecbdfc6f9e20a0680bf228ce3a0050868f7b764bb7b4
hillshade_cog,raster,EPSG:32643,data/processed/terrain/jk_hillshade_cog.tif,50.30,51322278,8dfb5bd82bd416df9ce47dfb242e2c884fa6e8979c32aaac5bdcb5cdd6d2f34a
districts_boundary,vector,EPSG:4326,data/processed/boundaries/jk_districts.geojson,2.45,20,9365e1b212f4581fef45f20ec1d44cfa06cb05ff34d5ea4f849646b96e57ca88
landslides_points,vector,EPSG:4326,data/processed/vectors/jk_landslides_points.parquet,0.18,2370,5a62cfc2bc2d5c3bf294db43ec682c3c9f225e73ef84aa65cf7db92cf57ea783
landslides_polygons,vector,EPSG:4326,data/processed/vectors/jk_landslides_polygons.parquet,1.85,7436,cd7fa39b4b08f4cb1f0927df8ce50d60321a5231c5123d460ef719001b9a957a
faults,vector,EPSG:4326,data/processed/vectors/jk_faults.parquet,0.02,3,4c382e70e9a7e6005bca4dfd2d53bfceec02161f364024c0dcecebbca4fa1d8e
thrusts,vector,EPSG:4326,data/processed/vectors/jk_thrusts.parquet,0.03,14,2b6d51bb10fb4e9c70fb9aa23a85cae9a0914d45d7cdcd727ff77fa98894df22
lineaments,vector,EPSG:4326,data/processed/vectors/jk_lineaments.parquet,0.12,774,90432bc13d52c6f1ea12458a0b0aa26665c09a805f6b2195f17d23d8c1c4e7ab
lithology,vector,EPSG:4326,data/processed/vectors/jk_lithology.parquet,5.12,4076,82b09ff433cc17f8a7e02517882cf19cf551e18bfeb4efec3c0f4f9f743ff0df
nh44,vector,EPSG:4326,data/processed/vectors/jk_nh44.parquet,0.01,7,b719460fc9058efefefc6ee704a29a1b184b2c8a14bb60dbdf6cf94e9f7831f2
major_roads,vector,EPSG:4326,data/processed/vectors/jk_major_roads.parquet,2.84,4762,ee77cf47936a28ff79ebf9bf6e5349e5d4cb0f2355fc2419aa3608ccaa2fcba1
settlements,vector,EPSG:4326,data/processed/vectors/jk_settlements.parquet,0.42,5060,b0b8c6e0bf0a13e5ef2b49bcab23ef21df7e448b1115df6bc356cebc341df904
health_facilities,vector,EPSG:4326,data/processed/vectors/jk_health_facilities.parquet,0.08,877,6a3bb5cefc99d0ba8fae32230ef1d102e7cb41dd13b4e6dcfc62ae20eb231bb1
master_geopackage,vector,EPSG:4326,data/processed/vectors/jk_static_layers.gpkg,40.00,24819,7f13904ebf66d4ca9e5a88bf0a0b2d6990d0fae6e96996bfbe226e6d1fca9013
