Category,Classification,Quadrant_Name,Filename,Subfolder,Size_MB,CRS,Pixel_Width,Pixel_Height,Resolution_Deg,Bounds_LonLat,NoData,Min_Elevation_m,Max_Elevation_m,MD5_Checksum,Path
DEM Elevation,full-J&K tile,"Northeast (75.5-77.5°E, 34.0-36.0°N)",output_hh.tif,copernicus_glo30\full_jk\Northeast,200.62,EPSG:4326,7200,7200,0.000278,"[75.49986, 34.00014, 77.49986, 36.00014]",,2144.79,8570.56,3d2e2b628ffb6dfdc076eaf35ea577c2,C:\Users\Saurabh Sharma\Downloads\J&K\copernicus_glo30\full_jk\Northeast\output_hh.tif
DEM Elevation,full-J&K tile,"Northwest (73.5-75.5°E, 34.0-36.0°N)",output_hh.tif,copernicus_glo30\full_jk\Northwest,202.76,EPSG:4326,7200,7200,0.000278,"[73.49986, 34.00014, 75.49986, 36.00014]",,535.0,8104.31,30fe057f628377d7b1f5e2e366a08a32,C:\Users\Saurabh Sharma\Downloads\J&K\copernicus_glo30\full_jk\Northwest\output_hh.tif
DEM Elevation,full-J&K tile,"Southeast (75.5-77.5°E, 32.0-34.0°N)",output_hh.tif,copernicus_glo30\full_jk\Southeast,202.94,EPSG:4326,7200,7200,0.000278,"[75.49986, 32.00014, 77.49986, 34.00014]",,244.0,7072.66,7560a7bc435ed7449a74a2f4402ab8da,C:\Users\Saurabh Sharma\Downloads\J&K\copernicus_glo30\full_jk\Southeast\output_hh.tif
DEM Elevation,full-J&K tile,"Southwest (73.5-75.5°E, 32.0-34.0°N)",output_hh.tif,copernicus_glo30\full_jk\Southwest,191.76,EPSG:4326,7200,7200,0.000278,"[73.49986, 32.00014, 75.49986, 34.00014]",,198.12,4879.31,dfdeac97db09c1b9960039dd7500fd87,C:\Users\Saurabh Sharma\Downloads\J&K\copernicus_glo30\full_jk\Southwest\output_hh.tif
DEM Elevation,pilot DEM,Pilot DEM Candidate (Excluded from Phase 2),output_hh.tif,copernicus_glo30\Pilot,46.31,EPSG:4326,3240,3600,0.000278,"[74.74986, 32.75014, 75.64986, 33.75014]",,272.89,4634.24,f8876c5e75a3e989cd50a9fa76966835,C:\Users\Saurabh Sharma\Downloads\J&K\copernicus_glo30\Pilot\output_hh.tif
DEM Elevation,full-J&K tile,"Southwest (73.5-75.5°E, 32.0-34.0°N)",ESA_WorldCover_10m_2021_v200_N30E072_Map (1).tif,esa_worldcover_2021,117.15,EPSG:4326,36000,36000,0.000083,"[72.0, 30.0, 75.0, 33.0]",0.0,10.0,90.0,08ccc86880aac7fa5a50fb982ae95b7a,C:\Users\Saurabh Sharma\Downloads\J&K\esa_worldcover_2021\ESA_WorldCover_10m_2021_v200_N30E072_Map (1).tif
DEM Elevation,full-J&K tile,"Southeast (75.5-77.5°E, 32.0-34.0°N)",ESA_WorldCover_10m_2021_v200_N30E075_Map.tif,esa_worldcover_2021,97.79,EPSG:4326,36000,36000,0.000083,"[75.0, 30.0, 78.0, 33.0]",0.0,10.0,100.0,1ebf66aff1a63f18aac668f722a820ef,C:\Users\Saurabh Sharma\Downloads\J&K\esa_worldcover_2021\ESA_WorldCover_10m_2021_v200_N30E075_Map.tif
DEM Elevation,full-J&K tile,"Northwest (73.5-75.5°E, 34.0-36.0°N)",ESA_WorldCover_10m_2021_v200_N33E072_Map.tif,esa_worldcover_2021,146.1,EPSG:4326,36000,36000,0.000083,"[72.0, 33.0, 75.0, 36.0]",0.0,10.0,100.0,3aab21ba292233aa5c2bc2ea7f600985,C:\Users\Saurabh Sharma\Downloads\J&K\esa_worldcover_2021\ESA_WorldCover_10m_2021_v200_N33E072_Map.tif
DEM Elevation,full-J&K tile,"Northeast (75.5-77.5°E, 34.0-36.0°N)",ESA_WorldCover_10m_2021_v200_N33E075_Map.tif,esa_worldcover_2021,93.02,EPSG:4326,36000,36000,0.000083,"[75.0, 33.0, 78.0, 36.0]",0.0,10.0,100.0,bbfdbf60bf6ae77d567b1da061fa27c7,C:\Users\Saurabh Sharma\Downloads\J&K\esa_worldcover_2021\ESA_WorldCover_10m_2021_v200_N33E075_Map.tif
DEM Elevation,full-J&K tile,"Northeast (75.5-77.5°E, 34.0-36.0°N)",GHS_POP_E2025_GLOBE_R2023A_54009_100_V1_0_R6_C26.tif,GHS_POP_E2025_GLOBE_R2023A_54009_100_V1_0_R6_C26,69.45,ESRI:54009,10000,10000,100.000000,"[6959000.0, 3000000.0, 7959000.0, 4000000.0]",-200.0,0.0,14738.48,c819a318b4f94c27a2a97f4d44522c65,C:\Users\Saurabh Sharma\Downloads\J&K\GHS_POP_E2025_GLOBE_R2023A_54009_100_V1_0_R6_C26\GHS_POP_E2025_GLOBE_R2023A_54009_100_V1_0_R6_C26.tif
DEM Elevation,pilot DEM,Pilot DEM Candidate (Excluded from Phase 2),JammuandKashmir_Susceptibility.tif_NLSM_20260725210220.036_11842.tif,.,0.53,EPSG:4326,3603,154,0.000514,"[73.79206, 34.92322, 75.64525, 35.00243]",127.0,,,fdcc2cda707ee1c8cf04392dab01191f,C:\Users\Saurabh Sharma\Downloads\J&K\JammuandKashmir_Susceptibility.tif_NLSM_20260725210220.036_11842.tif
Boundary,Verified Vector,Statewide J&K UT,jk_districts.geojson,data/processed/boundaries,,EPSG:4326,,,,"[3401978.6481, 4909133.8048, 3701754.4165, 5204221.29]",,,,,D:\Projects\GeoSlide_JK\data\processed\boundaries\jk_districts.geojson
