district_id,district_name,valid_cell_count,elevation_mean,elevation_std,slope_mean,slope_std,aspect_mean,aspect_std,northness_mean,northness_std,eastness_mean,eastness_std,profile_curvature_mean,profile_curvature_std,plan_curvature_mean,plan_curvature_std,tri_mean,tri_std,tpi_mean,tpi_std,local_relief_mean,local_relief_std
1,Anantnag,277920,2854.69,915.75,23.52,13.76,161.99,80.65,-0.26,0.6,0.17,0.73,-0.0,0.01,-0.0,0.01,33.1,61.04,1.18,85.32,202.75,257.9
2,Bandipora,405505,3291.1,801.28,27.81,12.22,172.5,88.05,-0.19,0.64,0.05,0.74,0.0,0.04,-0.0,0.03,44.66,179.31,10.11,199.36,278.78,652.71
3,Baramulla,206054,2204.3,686.15,19.07,14.11,189.35,73.54,-0.39,0.57,-0.12,0.71,-0.0,0.04,0.0,0.03,28.33,148.71,-0.09,151.71,176.41,530.13
4,Budgam,124400,2413.78,848.43,11.09,9.42,208.64,59.45,-0.49,0.51,-0.31,0.64,-0.0,0.0,-0.0,0.0,13.1,12.57,0.03,27.16,78.21,72.87
5,Doda,237886,2464.55,764.04,29.99,7.9,172.27,85.45,-0.21,0.62,0.05,0.75,0.0,0.03,0.0,0.03,44.63,134.94,3.55,153.39,274.81,486.33
6,Ganderbal,161061,3025.33,862.13,28.16,13.23,168.73,86.11,-0.2,0.64,0.09,0.74,0.0,0.02,-0.0,0.02,42.22,101.02,5.04,127.4,260.69,361.04
7,Jammu,240855,409.17,151.71,7.81,8.44,163.48,67.27,-0.44,0.51,0.19,0.72,-0.0,0.05,0.0,0.04,17.41,206.45,-18.36,217.43,109.03,735.15
8,Kathua,249992,1051.16,804.45,16.66,12.64,168.89,80.93,-0.27,0.59,0.08,0.76,-0.0,0.05,0.0,0.04,29.46,204.55,-14.64,216.76,184.01,735.86
9,Kishtwar,817258,3796.76,982.18,31.69,11.23,176.34,88.8,-0.17,0.63,0.04,0.76,0.0,0.05,-0.0,0.04,54.84,196.89,13.0,230.7,346.77,716.36
10,Kulgam,95682,2626.58,848.72,17.24,12.86,196.6,66.2,-0.45,0.51,-0.22,0.7,-0.0,0.0,-0.0,0.0,22.64,18.33,0.07,44.27,137.76,107.03
11,Kupwara,274326,2485.2,627.04,24.77,12.12,183.03,82.37,-0.26,0.6,-0.03,0.75,-0.0,0.03,0.0,0.03,36.05,143.59,-0.2,153.12,221.78,507.29
12,Poonch,424488,1802.95,755.55,25.49,9.13,168.92,81.81,-0.25,0.58,0.08,0.77,-0.0,0.05,0.0,0.03,40.01,191.88,-9.03,241.58,244.22,670.82
13,Pulwama,89634,2024.86,600.44,13.06,14.29,169.25,75.77,-0.35,0.58,0.06,0.73,-0.0,0.0,-0.0,0.0,17.18,20.18,-0.2,39.89,104.18,120.06
14,Rajouri,263603,1216.09,646.66,19.79,9.37,170.28,78.84,-0.3,0.58,0.08,0.76,-0.0,0.03,0.0,0.02,27.41,126.19,-6.86,135.21,165.05,458.19
15,Ramban,131724,2089.14,702.83,30.07,8.37,183.51,87.21,-0.19,0.62,-0.04,0.76,-0.0,0.0,-0.0,0.0,41.82,13.78,-0.36,67.94,254.71,79.31
16,Reasi,193194,1654.81,955.46,28.28,10.8,172.5,82.94,-0.25,0.61,0.06,0.75,-0.0,0.0,-0.0,0.0,38.4,17.49,-0.04,65.08,229.68,101.86
17,Samba,92741,414.22,104.76,7.29,7.6,157.68,66.81,-0.41,0.51,0.23,0.72,-0.0,0.05,0.0,0.04,16.19,216.13,-15.59,221.76,104.16,770.03
18,Shopian,76081,2598.99,783.74,13.27,10.92,219.48,62.05,-0.38,0.55,-0.43,0.61,-0.0,0.0,-0.0,0.0,16.17,15.22,0.03,33.17,97.26,89.99
19,Srinagar,28596,1628.3,111.91,4.06,6.95,149.69,69.03,-0.43,0.62,0.23,0.61,-0.0,0.0,-0.0,0.0,4.68,9.63,-3.43,15.32,29.43,59.33
20,Udhampur,228211,1571.28,752.36,22.36,9.73,170.29,82.58,-0.24,0.6,0.09,0.76,-0.0,0.0,-0.0,0.0,28.92,14.31,0.15,49.72,173.57,82.0
