feature_name,feature_category,source_raster,source_resolution,calculation_method,neighbourhood_radius,aggregation_method,target_resolution,output_dtype,nodata_value,enabled,notes
elevation,A_terrain,data/processed/terrain/jk_elevation_glo30_cog.tif,30m,Resample 30m DEM COG to 100m master grid,N/A,bilinear,100m,float32,-9999.0,True,Continuous elevation in metres above sea level
slope,A_terrain,data/processed/terrain/jk_slope_degrees_cog.tif,30m,Resample 30m slope COG to 100m master grid,N/A,bilinear,100m,float32,-9999.0,True,Slope angle in degrees (range 0 to 90)
aspect,A_terrain,data/processed/terrain/jk_aspect_degrees_cog.tif,30m,Resample 30m aspect COG to 100m master grid,N/A,bilinear,100m,float32,-9999.0,True,Aspect direction in degrees (range 0 to 360)
northness,A_terrain,data/processed/terrain/jk_aspect_degrees_cog.tif,30m,cos(aspect_rad),N/A,element-wise trigonometric,100m,float32,-9999.0,True,"North facing orientation index [-1, 1]"
eastness,A_terrain,data/processed/terrain/jk_aspect_degrees_cog.tif,30m,sin(aspect_rad),N/A,element-wise trigonometric,100m,float32,-9999.0,True,"East facing orientation index [-1, 1]"
profile_curvature,A_terrain,data/processed/terrain/jk_elevation_glo30_cog.tif,30m,Second derivative along max slope direction (Zevenbergen & Thorne 1987),3x3 pixels (150m),moving_window_diff,100m,float32,-9999.0,True,Profile curvature in 1/m (accelerates/decelerates flow)
plan_curvature,A_terrain,data/processed/terrain/jk_elevation_glo30_cog.tif,30m,Second derivative across max slope direction (Zevenbergen & Thorne 1987),3x3 pixels (150m),moving_window_diff,100m,float32,-9999.0,True,Planform curvature in 1/m (converges/diverges flow)
tri,A_terrain,data/processed/terrain/jk_elevation_glo30_cog.tif,30m,Mean absolute elevation difference in 3x3 window (Riley et al. 1999),3x3 pixels (150m),moving_window_mean_abs_diff,100m,float32,-9999.0,True,Terrain Ruggedness Index in metres
tpi,A_terrain,data/processed/terrain/jk_elevation_glo30_cog.tif,30m,Cell elevation minus mean elevation of annular neighbourhood (Weiss 2001),11x11 pixels (550m),moving_window_mean_diff,100m,float32,-9999.0,True,"Topographic Position Index in metres (positive = ridge, negative = valley)"
local_relief,A_terrain,data/processed/terrain/jk_elevation_glo30_cog.tif,30m,Max minus min elevation in circular window (500m radius),500m (5 cells @ 100m),moving_window_range,100m,float32,-9999.0,True,Local relief height difference in metres
