feature_1,feature_2,pearson_r,spearman_rho,high_correlation_flag
elevation,elevation,1.0,1.0,False
elevation,slope,0.1952,0.523,False
elevation,aspect,0.1509,0.032,False
elevation,northness,0.1545,0.1113,False
elevation,eastness,0.1539,-0.0293,False
elevation,profile_curvature,0.1381,0.0338,False
elevation,plan_curvature,-0.128,-0.0019,False
elevation,tri,-0.0405,0.5541,False
elevation,tpi,0.2274,0.0996,False
elevation,local_relief,0.1151,0.5836,False
slope,slope,1.0,1.0,False
slope,aspect,0.8905,-0.0133,True
slope,northness,0.9967,0.183,True
slope,eastness,0.9966,0.0182,True
slope,profile_curvature,0.7017,0.0282,False
slope,plan_curvature,-0.7539,-0.0423,False
slope,tri,-0.7575,0.9667,False
slope,tpi,0.8413,0.1074,False
slope,local_relief,-0.3117,0.9051,False
aspect,aspect,1.0,1.0,False
aspect,northness,0.8936,-0.0847,True
aspect,eastness,0.8918,-0.8898,True
aspect,profile_curvature,0.6269,0.0065,False
aspect,plan_curvature,-0.6761,-0.0112,False
aspect,tri,-0.6903,-0.0164,False
aspect,tpi,0.7503,0.0137,False
aspect,local_relief,-0.3014,-0.0217,False
northness,northness,1.0,1.0,False
northness,eastness,1.0,0.0501,True
northness,profile_curvature,0.7024,-0.0161,False
northness,plan_curvature,-0.7559,0.0031,False
northness,tri,-0.7712,0.1902,False
northness,tpi,0.839,0.0079,False
northness,local_relief,-0.3328,0.1947,False
eastness,eastness,1.0,1.0,False
eastness,profile_curvature,0.7024,-0.0039,False
eastness,plan_curvature,-0.7559,0.0084,False
eastness,tri,-0.7713,0.0165,False
eastness,tpi,0.839,-0.0145,False
eastness,local_relief,-0.3328,0.0196,False
profile_curvature,profile_curvature,1.0,1.0,False
profile_curvature,plan_curvature,-0.8132,-0.5315,False
profile_curvature,tri,-0.6601,0.0124,False
profile_curvature,tpi,0.7857,0.5983,False
profile_curvature,local_relief,-0.0992,-0.0024,False
plan_curvature,plan_curvature,1.0,1.0,False
plan_curvature,tri,0.8739,-0.0348,True
plan_curvature,tpi,-0.8169,-0.4693,False
plan_curvature,local_relief,0.2822,-0.017,False
tri,tri,1.0,1.0,False
tri,tpi,-0.7168,0.0979,False
tri,local_relief,0.5203,0.9509,False
tpi,tpi,1.0,1.0,False
tpi,local_relief,-0.1857,0.0707,False
local_relief,local_relief,1.0,1.0,False
