raster_name,filename,path,file_size_bytes,sha256_full,sha256_16,dtype,nodata,verified_distinct
flow_direction,terrain_flow_direction_100m.tif,D:\Projects\GeoSlide_JK\data\processed\features\terrain\terrain_flow_direction_100m.tif,1697383,2f0d4a2eecad6cdb3d78f07226786f68801f98d514120866343425da07919db4,2f0d4a2eecad6cdb,uint8,255.0,True
flow_accumulation,terrain_flow_accumulation_100m.tif,D:\Projects\GeoSlide_JK\data\processed\features\terrain\terrain_flow_accumulation_100m.tif,17068098,a8f7f1961de51bd4a6463df9fea7c347942f4e8d9330f00e6127217d2b8c71b2,a8f7f1961de51bd4,float32,-9999.0,True
drainage_network,terrain_drainage_network_100m.tif,D:\Projects\GeoSlide_JK\data\processed\features\terrain\terrain_drainage_network_100m.tif,282995,21bdcb644854b8abe849f9af34931bccb9b0880c66c943a522fa100359bd19ff,21bdcb644854b8ab,uint8,255.0,True
distance_to_drainage,terrain_distance_to_drainage_100m.tif,D:\Projects\GeoSlide_JK\data\processed\features\terrain\terrain_distance_to_drainage_100m.tif,1941603,b258f0c85baad909ae367f828ba021b7a53ad889b96900a5b44ff759e88ae5b2,b258f0c85baad909,float32,-9999.0,True
drainage_density,terrain_drainage_density_100m.tif,D:\Projects\GeoSlide_JK\data\processed\features\terrain\terrain_drainage_density_100m.tif,1346497,4aa21b8ae8c7c74cbb781a72057ebd5153cb6dd5ffe8f86a129356e2f3a19bc4,4aa21b8ae8c7c74c,float32,-9999.0,True
twi,terrain_twi_100m.tif,D:\Projects\GeoSlide_JK\data\processed\features\terrain\terrain_twi_100m.tif,16197684,80c0b7ac8be79544ec7a40ecbd4f59432cc647745169951a812ebaee517833e2,80c0b7ac8be79544,float32,-9999.0,True
contributing_area_km2,terrain_contributing_area_km2_100m.tif,D:\Projects\GeoSlide_JK\data\processed\features\terrain\terrain_contributing_area_km2_100m.tif,17074638,9ebafb557632813dab9018d2327355f0c5ae232709cc1c9b10b7c5cb4e268348,9ebafb557632813d,float32,-9999.0,True
log_contributing_area,terrain_log_contributing_area_100m.tif,D:\Projects\GeoSlide_JK\data\processed\features\terrain\terrain_log_contributing_area_100m.tif,17047558,85f53076ab282b58ef0a60f38a12187a78a0b9f24a9f8a3733556c1fbb778dd2,85f53076ab282b58,float32,-9999.0,True
feature_availability_count,terrain_feature_availability_count_100m.tif,D:\Projects\GeoSlide_JK\data\processed\features\terrain\terrain_feature_availability_count_100m.tif,35098,5908686dbd073f83a11bda2c1b534c7a49d67f6b748719d17dafda4e1567afd2,5908686dbd073f83,uint8,255.0,True
feature_complete_mask,terrain_feature_complete_mask_100m.tif,D:\Projects\GeoSlide_JK\data\processed\features\terrain\terrain_feature_complete_mask_100m.tif,33253,6abf04418206dbd409e77bf47ddda8f6c042fb9e3ac371eeffb2a185dbb0c4df,6abf04418206dbd4,uint8,255.0,True
