district_id,district_name,valid_cell_count,flow_direction_mean,flow_direction_std,flow_accumulation_mean,flow_accumulation_std,drainage_network_mean,drainage_network_std,distance_to_drainage_mean,distance_to_drainage_std,drainage_density_mean,drainage_density_std,twi_mean,twi_std
1,Anantnag,277920,34.48,41.27,1734.01,17315.99,0.08,0.28,600.95,463.46,0.83,1.53,8.82,2.76
2,Bandipora,405505,31.91,41.28,6520.55,90590.27,0.08,0.26,653.91,488.52,0.75,1.49,8.44,2.73
3,Baramulla,206054,34.04,45.42,15430.2,188936.39,0.09,0.28,568.06,454.77,0.88,1.57,9.25,2.9
4,Budgam,124400,36.14,48.64,1402.78,24507.93,0.1,0.3,466.48,378.58,1.01,1.61,9.87,2.63
5,Doda,237886,33.25,42.03,6245.69,101608.34,0.07,0.25,648.77,462.75,0.69,1.41,8.02,2.12
6,Ganderbal,161061,31.69,40.73,2370.87,40517.88,0.07,0.25,676.13,489.59,0.69,1.41,8.42,2.56
7,Jammu,240855,28.35,36.75,11353.73,157007.42,0.11,0.31,473.98,419.3,1.06,1.66,10.64,2.96
8,Kathua,249992,24.72,34.52,1074.67,10497.23,0.09,0.28,539.51,431.39,0.89,1.54,9.36,2.82
9,Kishtwar,817258,31.38,40.3,2884.64,43472.33,0.07,0.25,730.95,524.57,0.67,1.43,8.15,2.25
10,Kulgam,95682,38.23,48.82,1130.31,9627.52,0.09,0.29,566.21,465.01,0.91,1.57,9.41,2.79
11,Kupwara,274326,31.79,42.1,1024.26,13078.12,0.07,0.26,648.34,474.21,0.71,1.42,8.46,2.42
12,Poonch,424488,30.31,39.27,1121.18,14661.72,0.07,0.25,656.34,470.49,0.69,1.41,8.19,2.2
13,Pulwama,89634,32.73,42.11,6951.0,74483.3,0.11,0.32,509.99,455.09,1.13,1.77,10.29,3.17
14,Rajouri,263603,29.54,39.68,1626.29,17984.06,0.08,0.27,610.3,449.82,0.78,1.52,8.57,2.36
15,Ramban,131724,29.73,40.84,10926.38,149858.53,0.07,0.26,636.39,465.58,0.73,1.43,8.04,2.23
16,Reasi,193194,31.79,41.32,12178.96,166928.22,0.08,0.27,599.92,440.09,0.77,1.49,8.2,2.42
17,Samba,92741,27.0,34.91,726.72,5702.41,0.09,0.28,519.61,427.14,0.88,1.52,10.4,2.72
18,Shopian,76081,31.88,47.39,951.85,6491.9,0.09,0.29,511.63,411.32,0.92,1.53,9.63,2.49
19,Srinagar,28596,31.15,39.27,26842.02,173835.97,0.15,0.35,377.29,332.9,1.45,1.98,11.86,3.28
20,Udhampur,228211,31.32,39.75,1360.95,31198.83,0.07,0.26,623.67,462.65,0.75,1.46,8.47,2.19
