feature_1,feature_2,pearson_r,spearman_rho,high_correlation_flag
elevation,elevation,1.0,1.0,False
elevation,slope,0.1735,0.5175,False
elevation,aspect,0.1181,0.0325,False
elevation,northness,0.1222,0.114,False
elevation,eastness,0.1214,-0.033,False
elevation,profile_curvature,0.0963,0.0413,False
elevation,plan_curvature,-0.1004,0.0001,False
elevation,tri,0.0232,0.5463,False
elevation,tpi,0.2141,0.0967,False
elevation,local_relief,0.1276,0.5755,False
elevation,flow_direction,0.0073,-0.0003,False
elevation,flow_accumulation,-0.0484,-0.0824,False
elevation,drainage_network,-0.1223,-0.1234,False
elevation,distance_to_drainage,0.3251,0.3056,False
elevation,drainage_density,-0.1977,-0.1697,False
elevation,twi,0.115,-0.3261,False
slope,slope,1.0,1.0,False
slope,aspect,0.8377,-0.0072,False
slope,northness,0.9947,0.1827,True
slope,eastness,0.9946,0.0116,True
slope,profile_curvature,0.4625,0.0371,False
slope,plan_curvature,-0.6624,-0.0429,False
slope,tri,-0.6286,0.9671,False
slope,tpi,0.7725,0.1025,False
slope,local_relief,-0.285,0.905,False
slope,flow_direction,-0.0674,0.018,False
slope,flow_accumulation,-0.0035,-0.208,False
slope,drainage_network,-0.0161,-0.1872,False
slope,distance_to_drainage,0.0123,0.2606,False
slope,drainage_density,-0.0183,-0.1824,False
slope,twi,0.993,-0.6122,True
aspect,aspect,1.0,1.0,False
aspect,northness,0.842,-0.0888,False
aspect,eastness,0.8393,-0.8908,False
aspect,profile_curvature,0.3855,0.0088,False
aspect,plan_curvature,-0.5602,-0.0032,False
aspect,tri,-0.5506,-0.0127,False
aspect,tpi,0.6474,0.0066,False
aspect,local_relief,-0.2716,-0.0184,False
aspect,flow_direction,-0.1616,-0.5117,False
aspect,flow_accumulation,-0.0114,-0.0012,False
aspect,drainage_network,-0.0027,-0.0085,False
aspect,distance_to_drainage,-0.0109,0.0033,False
aspect,drainage_density,-0.0021,-0.0079,False
aspect,twi,0.8417,-0.0062,False
northness,northness,1.0,1.0,False
northness,eastness,1.0,0.0508,True
northness,profile_curvature,0.4616,-0.0068,False
northness,plan_curvature,-0.6643,-0.0057,False
northness,tri,-0.6506,0.1916,False
northness,tpi,0.7684,0.0143,False
northness,local_relief,-0.3118,0.1951,False
northness,flow_direction,-0.0709,-0.2455,False
northness,flow_accumulation,0.0022,-0.0338,False
northness,drainage_network,0.0033,-0.0947,False
northness,distance_to_drainage,-0.0149,0.0673,False
northness,drainage_density,0.0063,-0.0531,False
northness,twi,0.9998,-0.1187,True
eastness,eastness,1.0,1.0,False
eastness,profile_curvature,0.4616,-0.0081,False
eastness,plan_curvature,-0.6643,0.0013,False
eastness,tri,-0.6507,0.0134,False
eastness,tpi,0.7684,-0.0059,False
eastness,local_relief,-0.3119,0.0161,False
eastness,flow_direction,-0.0672,0.5836,False
eastness,flow_accumulation,0.0023,0.001,False
eastness,drainage_network,0.0038,0.0098,False
eastness,distance_to_drainage,-0.0153,-0.0062,False
eastness,drainage_density,0.0067,0.0107,False
eastness,twi,0.9998,0.0051,True
profile_curvature,profile_curvature,1.0,1.0,False
profile_curvature,plan_curvature,-0.6523,-0.53,False
profile_curvature,tri,-0.22,0.0225,False
profile_curvature,tpi,0.5981,0.6036,False
profile_curvature,local_relief,0.2169,0.0069,False
profile_curvature,flow_direction,-0.0334,-0.0346,False
profile_curvature,flow_accumulation,-0.005,-0.5689,False
profile_curvature,drainage_network,-0.022,-0.2445,False
profile_curvature,distance_to_drainage,0.044,0.1988,False
profile_curvature,drainage_density,-0.0226,-0.169,False
profile_curvature,twi,0.4606,-0.4821,False
plan_curvature,plan_curvature,1.0,1.0,False
plan_curvature,tri,0.7362,-0.0338,False
plan_curvature,tpi,-0.7429,-0.4704,False
plan_curvature,local_relief,0.1518,-0.0142,False
plan_curvature,flow_direction,0.0472,0.0344,False
plan_curvature,flow_accumulation,0.0013,0.6142,False
plan_curvature,drainage_network,0.0146,0.1627,False
plan_curvature,distance_to_drainage,-0.0096,-0.0325,False
plan_curvature,drainage_density,0.0042,0.038,False
plan_curvature,twi,-0.6633,0.5225,False
tri,tri,1.0,1.0,False
tri,tpi,-0.526,0.0917,False
tri,local_relief,0.5332,0.9509,False
tri,flow_direction,0.0475,0.0155,False
tri,flow_accumulation,-0.0093,-0.2009,False
tri,drainage_network,-0.0391,-0.2057,False
tri,distance_to_drainage,0.0836,0.2751,False
tri,drainage_density,-0.0521,-0.1958,False
tri,twi,-0.6528,-0.5996,False
tpi,tpi,1.0,1.0,False
tpi,local_relief,-0.0948,0.0643,False
tpi,flow_direction,-0.0593,-0.0292,False
tpi,flow_accumulation,-0.0191,-0.6854,False
tpi,drainage_network,-0.1122,-0.2898,False
tpi,distance_to_drainage,0.1777,0.4103,False
tpi,drainage_density,-0.1442,-0.3518,False
tpi,twi,0.764,-0.6153,False
local_relief,local_relief,1.0,1.0,False
local_relief,flow_direction,0.0256,0.014,False
local_relief,flow_accumulation,-0.0142,-0.158,False
local_relief,drainage_network,-0.0563,-0.2022,False
local_relief,distance_to_drainage,0.1413,0.2909,False
local_relief,drainage_density,-0.0841,-0.2152,False
local_relief,twi,-0.3151,-0.5439,False
flow_direction,flow_direction,1.0,1.0,False
flow_direction,flow_accumulation,0.0105,0.0301,False
flow_direction,drainage_network,0.0225,0.0262,False
flow_direction,distance_to_drainage,-0.0101,-0.0126,False
flow_direction,drainage_density,0.0241,0.0205,False
flow_direction,twi,-0.0683,0.0189,False
flow_accumulation,flow_accumulation,1.0,1.0,False
flow_accumulation,drainage_network,0.1825,0.4698,False
flow_accumulation,distance_to_drainage,-0.0704,-0.3741,False
flow_accumulation,drainage_density,0.1725,0.3212,False
flow_accumulation,twi,0.0073,0.8613,False
drainage_network,drainage_network,1.0,1.0,False
drainage_network,distance_to_drainage,-0.3846,-0.4702,False
drainage_network,drainage_density,0.6805,0.4586,False
drainage_network,twi,0.0176,0.4547,False
distance_to_drainage,distance_to_drainage,1.0,1.0,False
distance_to_drainage,drainage_density,-0.6008,-0.6902,False
distance_to_drainage,twi,-0.0245,-0.4451,False
drainage_density,drainage_density,1.0,1.0,False
drainage_density,twi,0.0192,0.3543,False
twi,twi,1.0,1.0,False
