feature_name,filename,file_size_bytes,sha256_full,sha256_16,crs,width,height,dtype,nodata
landcover_fraction_tree_cover,landcover_fraction_tree_cover_100m.tif,9428653,ca2ae6835c0ae34bb3f9f89d5bcfc484569d25fa1ae2188edbc1f80db5a295e1,ca2ae6835c0ae34b,EPSG:32643,3050,2937,float32,-9999.0
landcover_fraction_shrubland,landcover_fraction_shrubland_100m.tif,1050072,335a5638ee67f0d534200d9b12a658ba562b3c7f49e2c71baa7dedd7ac895d8b,335a5638ee67f0d5,EPSG:32643,3050,2937,float32,-9999.0
landcover_fraction_grassland,landcover_fraction_grassland_100m.tif,10321934,4110cd7f3a1909fae621b4ae6a20041881ab2cbd7e81721b8f66495567c72f13,4110cd7f3a1909fa,EPSG:32643,3050,2937,float32,-9999.0
landcover_fraction_cropland,landcover_fraction_cropland_100m.tif,3658370,1af652912d2c9cbcc7287c66f5192fde76e4524f2d27a919b397e6e5c11c7efc,1af652912d2c9cbc,EPSG:32643,3050,2937,float32,-9999.0
landcover_fraction_builtup,landcover_fraction_builtup_100m.tif,1915324,ba55045215428ec9541fe241ee285aeeb0049b2aebe08cb422215de8056f3e60,ba55045215428ec9,EPSG:32643,3050,2937,float32,-9999.0
landcover_fraction_bare_sparse,landcover_fraction_bare_sparse_100m.tif,3864054,af8b1db35476566f77e8b26fa262f4f222a9604c3ec881043b54b3b3dd818e0c,af8b1db35476566f,EPSG:32643,3050,2937,float32,-9999.0
landcover_fraction_snow_ice,landcover_fraction_snow_ice_100m.tif,1010020,a7a71b3846de83bd355294ec3e4302e90d0df747efb1a94de9e917f7a36ac237,a7a71b3846de83bd,EPSG:32643,3050,2937,float32,-9999.0
landcover_fraction_water,landcover_fraction_water_100m.tif,533377,88ab0fbf0c1c0016624cb7278d62abafacffeb9a9dd2ad8c940d5cf148154dfb,88ab0fbf0c1c0016,EPSG:32643,3050,2937,float32,-9999.0
landcover_fraction_wetland,landcover_fraction_wetland_100m.tif,79433,2803c479be15f210c315c7665f0953bb3e2152489ff0360a1a7040fe3e3b5c86,2803c479be15f210,EPSG:32643,3050,2937,float32,-9999.0
landcover_fraction_moss_lichen,landcover_fraction_moss_lichen_100m.tif,2575489,2001f82527d5181bfba9167af3c9dc9d0f3b177b8990090b685acce2ce237ba6,2001f82527d5181b,EPSG:32643,3050,2937,float32,-9999.0
landcover_worldcover_dominant_class,landcover_worldcover_dominant_class_100m.tif,784932,17ca6b0fd357c5f7e4e295f1b553279fd1183c5bd1973e5bd1790c6a53ecb423,17ca6b0fd357c5f7,EPSG:32643,3050,2937,uint8,255.0
landcover_vegetation_fraction,landcover_vegetation_fraction_100m.tif,4825562,3eb2729626144e4c96377d1064745ac51c9e3205c666900318057a3df6a47fa5,3eb2729626144e4c,EPSG:32643,3050,2937,float32,-9999.0
landcover_shannon_diversity,landcover_shannon_diversity_100m.tif,12678896,32d727ac620d7849c39104ec9de12ca608a349ec5021dff9816fd3a430300208,32d727ac620d7849,EPSG:32643,3050,2937,float32,-9999.0
landcover_dominant_class_confidence,landcover_dominant_class_confidence_100m.tif,12145010,f2eeb0ba450532aa1815718f2addfee89b3d172d7989d980a69ce556955cf7a3,f2eeb0ba450532aa,EPSG:32643,3050,2937,float32,-9999.0
lithology_class,lithology_class_100m.tif,242804,99d996a99383f2e4c3d43462a06473d7a1f57ae8217c51e726e15080292764df,99d996a99383f2e4,EPSG:32643,3050,2937,uint8,255.0
distance_to_fault_m,distance_to_fault_m_100m.tif,12019974,e5e99b43507e62040e93c2bd228d712f6b4dc9f8423c5b8d6e80e606c86addfd,e5e99b43507e6204,EPSG:32643,3050,2937,float32,-9999.0
log1p_distance_to_fault,log1p_distance_to_fault_100m.tif,10607161,3c24e29c4310aa7cea785fe70debcdb6434568fb44fbf9d1a5f28763a10d9efb,3c24e29c4310aa7c,EPSG:32643,3050,2937,float32,-9999.0
fault_density,fault_density_100m.tif,103584,af58cf047040b13599390ae9531580a4d1e0c9ab05e73a8862b624ce35707965,af58cf047040b135,EPSG:32643,3050,2937,float32,-9999.0
distance_to_active_fault_m,distance_to_active_fault_m_100m.tif,12788508,74298059754bc501a1fbeb582e19408ad0f053e045ac4790de5d7b2edfdc5d3b,74298059754bc501,EPSG:32643,3050,2937,float32,-9999.0
log1p_distance_to_active_fault,log1p_distance_to_active_fault_100m.tif,10580641,e5882f59b6a502602fc7d2bb1047d575640fcefe1abe859a9d5631573be0e0db,e5882f59b6a50260,EPSG:32643,3050,2937,float32,-9999.0
active_fault_density,active_fault_density_100m.tif,84854,0df61cf00f0b89f8f95e11c2d3f13ba69d66e94a790f7f932fd54e038aadf990,0df61cf00f0b89f8,EPSG:32643,3050,2937,float32,-9999.0
distance_to_thrust_m,distance_to_thrust_m_100m.tif,7621096,f4be2b39c859442cb9f5da7a7736a9a8f5b31fd278e4f179c2cec24f32e4b1b7,f4be2b39c859442c,EPSG:32643,3050,2937,float32,-9999.0
log1p_distance_to_thrust,log1p_distance_to_thrust_100m.tif,7025008,ba20ae9f78c5fd0c9af02c726d0d4007162b3f4e9f3adddd7ac6c2acd2e34fab,ba20ae9f78c5fd0c,EPSG:32643,3050,2937,float32,-9999.0
thrust_density,thrust_density_100m.tif,164325,4bad3d48a788ac5ea42f14aaf558d05a51dde84293ba366c69aae542d4a1a200,4bad3d48a788ac5e,EPSG:32643,3050,2937,float32,-9999.0
distance_to_lineament_m,distance_to_lineament_m_100m.tif,3806140,e04ae34f886c4c70b8f1b85b08abe35e468a762c0c4802959309acc20d4ee637,e04ae34f886c4c70,EPSG:32643,3050,2937,float32,-9999.0
log1p_distance_to_lineament,log1p_distance_to_lineament_100m.tif,3713529,a272cdc80c714cbf7aac12e61cdf6318838ac2dd8a9b438f78f31c9b253ecb3b,a272cdc80c714cbf,EPSG:32643,3050,2937,float32,-9999.0
lineament_density,lineament_density_100m.tif,695809,9f4a640551e283a7fe1747ed7c28be118653393b80acd35b8c3c160744f82eb9,9f4a640551e283a7,EPSG:32643,3050,2937,float32,-9999.0
distance_to_major_road_m,distance_to_major_road_m_100m.tif,6049769,a5bc8751c6e707748f18cd509a2750d4a77928ae1d2f3376b7302cf1017b1148,a5bc8751c6e70774,EPSG:32643,3050,2937,float32,-9999.0
log1p_distance_to_major_road,log1p_distance_to_major_road_100m.tif,5810959,0d93401d18b749c3ea491d3d2b8895af3f70ae3d1d5fab22ba16dd45b135fa23,0d93401d18b749c3,EPSG:32643,3050,2937,float32,-9999.0
major_road_density_km_per_km2,major_road_density_km_per_km2_100m.tif,370701,347c830bc62e9c3d95ee2c53d42c34fda1ab0d0a9a8e718462986372013f0908,347c830bc62e9c3d,EPSG:32643,3050,2937,float32,-9999.0
distance_to_nh44_m,distance_to_nh44_m_100m.tif,13919638,d576174236b65035a8b9b1148c3f84a0dcd2e79f2bd21b13621acf4a4b87f615,d576174236b65035,EPSG:32643,3050,2937,float32,-9999.0
log1p_distance_to_nh44,log1p_distance_to_nh44_100m.tif,12214307,75f23f793bb2a55ef08adc406631d310ab8985ce990c8d22bce0d82ab53ede88,75f23f793bb2a55e,EPSG:32643,3050,2937,float32,-9999.0
distance_to_settlement_m,distance_to_settlement_m_100m.tif,4544456,187ed98f8f146ba49d7b63e30de73915371f8e1c2b58fa38393b41b633511aee,187ed98f8f146ba4,EPSG:32643,3050,2937,float32,-9999.0
settlement_density,settlement_density_100m.tif,158327,b128f795ea3b07c873a88388d769386da92c8b8e1d4dc19befc9a06f1f323ade,b128f795ea3b07c8,EPSG:32643,3050,2937,float32,-9999.0
distance_to_hospital_m,distance_to_hospital_m_100m.tif,9550955,4b3540147a688650964f86641392fd76b1f8a3cc3dcceb51de8b32c2efa8be3c,4b3540147a688650,EPSG:32643,3050,2937,float32,-9999.0
healthcare_facility_density,healthcare_facility_density_100m.tif,92407,fd22dacd94fa9374013fa1e825a86f8240c3fd3435e4aad27e5ce58a59cfeafd,fd22dacd94fa9374,EPSG:32643,3050,2937,float32,-9999.0
hazard_feature_availability_count,hazard_feature_availability_count_100m.tif,37682,785a72b82b4b0c0b3fc1b87217100758f60b98524651cd4e3158fa0d97f2dfc0,785a72b82b4b0c0b,EPSG:32643,3050,2937,uint8,255.0
hazard_feature_complete_mask,hazard_feature_complete_mask_100m.tif,30761,9ceea885650e46fb91bb93c2fedf3072c85796238e23e65106a4a6d0087e3599,9ceea885650e46fb,EPSG:32643,3050,2937,uint8,255.0
exposure_feature_availability_count,exposure_feature_availability_count_100m.tif,33364,1ba809395c75295ac31b87b754820fb284f7554ec8a82eca1e10e0f094ded6b0,1ba809395c75295a,EPSG:32643,3050,2937,uint8,255.0
exposure_feature_complete_mask,exposure_feature_complete_mask_100m.tif,33314,4930506048702fef2ef6f136c4a00641b10609c14a78a77209159ed50cdbcb01,4930506048702fef,EPSG:32643,3050,2937,uint8,255.0
