district_id,district_name,valid_cell_count,landcover_worldcover_dominant_class_mean,landcover_vegetation_fraction_mean,landcover_shannon_diversity_mean,distance_to_fault_m_mean,distance_to_thrust_m_mean,lineament_density_mean,distance_to_major_road_m_mean,distance_to_nh44_m_mean,distance_to_settlement_m_mean,distance_to_hospital_m_mean
1,Anantnag,277920,34.14,0.75,0.41,26450.96,42262.73,0.11,4567.73,38072.46,2258.02,7854.61
2,Bandipora,405505,42.48,0.65,0.41,86608.45,24872.47,0.06,8089.41,70229.09,5293.4,18242.84
3,Baramulla,206054,23.24,0.94,0.38,108306.66,25511.88,0.09,3696.23,62393.68,2614.92,6002.23
4,Budgam,124400,30.28,0.87,0.43,76463.42,40185.63,0.05,4491.2,30027.56,2085.57,7112.44
5,Doda,237886,21.04,0.94,0.3,24427.96,18481.57,0.14,5943.48,83241.51,1598.33,9912.13
6,Ganderbal,161061,35.66,0.72,0.4,51391.91,52375.43,0.05,2925.09,35537.72,3059.34,7904.06
7,Jammu,240855,26.5,0.92,0.35,26063.58,20180.62,0.09,2032.11,13203.76,4951.52,5924.72
8,Kathua,249992,22.01,0.95,0.33,27136.61,12336.84,0.16,3746.75,60944.91,3079.09,7721.91
9,Kishtwar,817258,49.29,0.47,0.36,17505.56,18705.51,0.1,13156.2,98329.64,6455.06,20106.91
10,Kulgam,95682,28.48,0.83,0.34,51529.3,21771.86,0.12,4774.76,37747.38,3321.51,8362.36
11,Kupwara,274326,19.25,0.96,0.3,131307.86,21570.6,0.06,5214.08,91176.44,2886.42,10972.61
12,Poonch,424488,18.57,0.96,0.38,93362.95,11678.39,0.1,3820.63,88567.7,3784.62,9796.63
13,Pulwama,89634,27.52,0.91,0.42,44938.9,59412.14,0.07,2404.87,10451.79,1788.69,3565.53
14,Rajouri,263603,18.85,0.98,0.39,30102.17,6608.39,0.17,3446.09,47924.16,3507.68,11163.95
15,Ramban,131724,21.72,0.97,0.34,32016.75,5857.39,0.18,3595.13,43671.15,1048.13,5982.0
16,Reasi,193194,18.91,0.95,0.34,17681.73,7818.83,0.25,4963.77,22848.95,2671.95,10502.07
17,Samba,92741,24.93,0.94,0.38,42695.18,24032.56,0.07,2380.56,16186.38,3720.23,4727.39
18,Shopian,76081,24.13,0.87,0.31,62024.2,30368.92,0.21,2946.21,34367.03,3305.91,9916.81
19,Srinagar,28596,34.66,0.69,0.52,62233.69,62123.2,0.02,872.88,18008.14,1284.87,1651.27
20,Udhampur,228211,17.94,0.98,0.39,26254.7,4543.76,0.18,3665.36,41266.67,3384.09,8535.5
