feature_name,category,source_dataset,output_path,unit,dtype,resampling_method,model_role,missing_data_rule,transformation,diagnostic_only,validation_only,exposure_only,leakage_status,notes
elevation,A_terrain,Copernicus GLO-30 DEM,data/processed/features/terrain/terrain_elevation_100m.tif,m,float32,bilinear,susceptibility_predictor,NoData=-9999,none,False,False,False,clean,30m DEM resampled to 100m
slope,A_terrain,Derived from DEM,data/processed/features/terrain/terrain_slope_100m.tif,degrees,float32,bilinear,susceptibility_predictor,NoData=-9999,none,False,False,False,clean,"Slope gradient [0, 90]"
aspect,A_terrain,Derived from DEM,data/processed/features/terrain/terrain_aspect_100m.tif,degrees,float32,bilinear,diagnostic_only,NoData=-9999,trigonometric,True,False,False,clean,"Raw aspect angle [0, 360]"
northness,A_terrain,Derived from aspect,data/processed/features/terrain/terrain_northness_100m.tif,unitless,float32,trigonometric,susceptibility_predictor,NoData=-9999,cos(aspect),False,False,False,clean,"North orientation [-1, +1]"
eastness,A_terrain,Derived from aspect,data/processed/features/terrain/terrain_eastness_100m.tif,unitless,float32,trigonometric,susceptibility_predictor,NoData=-9999,sin(aspect),False,False,False,clean,"East orientation [-1, +1]"
profile_curvature,A_terrain,Derived from DEM,data/processed/features/terrain/terrain_profile_curvature_100m.tif,1/m,float32,zevenbergen_thorne,susceptibility_predictor,NoData=-9999,none,False,False,False,clean,Profile curvature (3x3)
plan_curvature,A_terrain,Derived from DEM,data/processed/features/terrain/terrain_plan_curvature_100m.tif,1/m,float32,zevenbergen_thorne,susceptibility_predictor,NoData=-9999,none,False,False,False,clean,Planform curvature (3x3)
tri,A_terrain,Derived from DEM,data/processed/features/terrain/terrain_tri_100m.tif,m,float32,riley_1999,susceptibility_predictor,NoData=-9999,none,False,False,False,clean,Terrain Ruggedness Index
tpi,A_terrain,Derived from DEM,data/processed/features/terrain/terrain_tpi_100m.tif,m,float32,weiss_2001,susceptibility_predictor,NoData=-9999,none,False,False,False,clean,Topographic Position Index
local_relief,A_terrain,Derived from DEM,data/processed/features/terrain/terrain_local_relief_100m.tif,m,float32,moving_window_range,susceptibility_predictor,NoData=-9999,max - min,False,False,False,clean,Local relief in 500m radius
