district_id,district_name,valid_cells,landslide_presence_cells,pseudo_absence_cells,excluded_cells,prevalence_ratio
1,Anantnag,277920,158,225747,52015,0.000699
2,Bandipora,405505,17,237542,167946,7.2e-05
3,Baramulla,206054,20,153584,52450,0.00013
4,Budgam,124400,0,81966,42434,0.0
5,Doda,237886,913,228837,8136,0.003974
6,Ganderbal,161061,74,144976,16011,0.00051
7,Jammu,240855,34,106581,134240,0.000319
8,Kathua,249992,1003,170254,78735,0.005857
9,Kishtwar,817258,801,798716,17741,0.001002
10,Kulgam,95682,31,68465,27186,0.000453
11,Kupwara,274326,17,235534,38775,7.2e-05
12,Poonch,424488,57,229993,194438,0.000248
13,Pulwama,89634,0,43663,45971,0.0
14,Rajouri,263603,0,248847,14756,0.0
15,Ramban,131724,459,127537,3728,0.003586
16,Reasi,193194,410,182225,10559,0.002245
17,Samba,92741,50,41729,50962,0.001197
18,Shopian,76081,10,51325,24746,0.000195
19,Srinagar,28596,1,5397,23198,0.000185
20,Udhampur,228211,532,213557,14122,0.002485
