feature_name,importance_weight
log1p_distance_to_fault,0.086698264
snow_ice_fraction,0.08117586
elevation,0.04201215
log1p_distance_to_active_fault,0.03959988
distance_to_drainage,0.037710674
bare_sparse_fraction,0.03719233
distance_to_major_road_m,0.035054572
vegetation_fraction,0.032901186
distance_to_fault_m,0.031415816
distance_to_active_fault_m,0.029182378
grassland_fraction,0.027907124
tree_cover_fraction,0.027199075
distance_to_thrust_m,0.02698363
slope,0.025229692
tri,0.024531137
major_road_density_km_per_km2,0.023531351
log1p_distance_to_major_road,0.022703132
lithology_class,0.022258481
log1p_distance_to_thrust,0.021688232
log1p_distance_to_lineament,0.021082865
northness,0.019654172
fault_density,0.018705064
thrust_density,0.018116375
cropland_fraction,0.018109553
moss_lichen_fraction,0.01760597
shannon_diversity,0.016950851
distance_to_lineament_m,0.016719878
lineament_density,0.015918443
eastness,0.015509922
tpi,0.015247638
drainage_density,0.015200758
local_relief,0.013961755
profile_curvature,0.0135809
log_contributing_area,0.0128722275
plan_curvature,0.01278466
shrubland_fraction,0.012682746
contributing_area_km2,0.0125894295
active_fault_density,0.011956385
twi,0.011804646
water_fraction,0.008278841
builtup_fraction,0.0056919637
wetland_fraction,0.0
