sample_position,longitude,latitude,easting,northing,cumulative_distance_km
Vertex 1,75.191949,32.991498,517932.78,3650360.8,0.0
Vertex 2,75.191897,32.991469,517927.95,3650357.54,0.006
Vertex 3,75.191738,32.991377,517913.09,3650347.29,0.024
Vertex 4,75.19151,32.991253,517891.84,3650333.53,0.049
Vertex 5,75.19145,32.991226,517886.28,3650330.51,0.056
Vertex 1388,75.208464,33.252497,519418.16,3679298.77,42.704
Vertex 2770,75.172961,33.488363,516067.74,3705442.43,80.697
Vertex 2771,75.17274,33.489164,516047.01,3705531.24,80.697
Vertex 2772,75.186622,33.564398,517321.6,3713874.61,89.137
Vertex 2773,75.186665,33.564697,517325.56,3713907.78,89.17
Vertex 2774,75.186696,33.564998,517328.41,3713941.18,89.204
