source_edge_id,osm_way_id,road_name,relation_id,relation_match_category
OSM_WAY_1243203837,1243203837,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_1243203839,1243203839,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_239961168,239961168,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_1021624780,1021624780,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_1243663052,1243663052,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_1243663051,1243663051,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_1305582893,1305582893,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_1305582892,1305582892,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_1305582894,1305582894,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_239961180,239961180,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_1262367060,1262367060,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_239961181,239961181,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_1262367059,1262367059,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_239961178,239961178,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_833651557,833651557,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_833651556,833651556,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_833651554,833651554,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_833651561,833651561,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_833651565,833651565,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_497340361,497340361,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_497340360,497340360,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_128930104,128930104,Dr. Syama Prasad Mookerjee Tunnel,OSM_REL_5794209,spatial relation match
OSM_WAY_832081015,832081015,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_1305582891,1305582891,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_1305582890,1305582890,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_1264604068,1264604068,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_239933942,239933942,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_832081016,832081016,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_419546082,419546082,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_1022603724,1022603724,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_1022603725,1022603725,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_239934717,239934717,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_483049616,483049616,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_833651570,833651570,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_833651571,833651571,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_1353661746,1353661746,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_1353661744,1353661744,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_1353661747,1353661747,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_1353661745,1353661745,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_1353661743,1353661743,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_971209973,971209973,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_1385749580,1385749580,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_1353081901,1353081901,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_1445960463,1445960463,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_634386133,634386133,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_1353081891,1353081891,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_1353081889,1353081889,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_1375325142,1375325142,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_838654109,838654109,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_1353081906,1353081906,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_1353081905,1353081905,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_1353081883,1353081883,nan,OSM_REL_5794209,spatial relation match
OSM_WAY_838654108,838654108,nan,OSM_REL_5794209,spatial relation match
