source_edge_id,osm_way_id,road_name,highway_class,authoritative_classification
OSM_WAY_37236494,37236494,Samba-Udhampur Highway,primary,EXCLUDED_BRANCH
OSM_WAY_608864791,608864791,Udhampur Bypass,trunk,EXCLUDED_BRANCH
OSM_WAY_608864779,608864779,Udhampur Bypass,trunk,EXCLUDED_BRANCH
OSM_WAY_608864783,608864783,Udhampur Bypass,trunk,EXCLUDED_BRANCH
OSM_WAY_608864780,608864780,Udhampur Bypass,trunk,EXCLUDED_BRANCH
OSM_WAY_419337497,419337497,nan,trunk,EXCLUDED_BRANCH
OSM_WAY_419337463,419337463,nan,trunk,EXCLUDED_BRANCH
OSM_WAY_419337450,419337450,nan,trunk,EXCLUDED_BRANCH
OSM_WAY_419337481,419337481,nan,trunk,EXCLUDED_BRANCH
OSM_WAY_419337487,419337487,nan,trunk,EXCLUDED_BRANCH
OSM_WAY_419337462,419337462,nan,trunk,EXCLUDED_BRANCH
OSM_WAY_419337447,419337447,nan,trunk,EXCLUDED_BRANCH
OSM_WAY_1115557263,1115557263,nan,trunk,EXCLUDED_BRANCH
OSM_WAY_1115557266,1115557266,nan,trunk,EXCLUDED_BRANCH
OSM_WAY_608859333,608859333,Samba-Udhampur Highway,primary,EXCLUDED_BRANCH
OSM_WAY_608859336,608859336,Samba-Udhampur Highway,primary,EXCLUDED_BRANCH
OSM_WAY_608859329,608859329,Samba-Udhampur Highway,primary,EXCLUDED_BRANCH
OSM_WAY_608864781,608864781,Udhampur Bypass,trunk,EXCLUDED_BRANCH
OSM_WAY_608864784,608864784,Udhampur Bypass,trunk,EXCLUDED_BRANCH
OSM_WAY_608859325,608859325,Samba-Udhampur Highway,primary,EXCLUDED_BRANCH
OSM_WAY_419337520,419337520,Udhampur Bypass,trunk,EXCLUDED_BRANCH
OSM_WAY_608864790,608864790,Udhampur Bypass,trunk,EXCLUDED_BRANCH
OSM_WAY_419337519,419337519,Udhampur Bypass,trunk,EXCLUDED_BRANCH
OSM_WAY_456713041,456713041,Udhampur Bypass,trunk,EXCLUDED_BRANCH
OSM_WAY_608864788,608864788,Udhampur Bypass,trunk,EXCLUDED_BRANCH
OSM_WAY_608867809,608867809,Udhampur Bypass,trunk,EXCLUDED_BRANCH
OSM_WAY_608878516,608878516,Udhampur Bypass,trunk,EXCLUDED_BRANCH
OSM_WAY_608878512,608878512,nan,trunk,EXCLUDED_BRANCH
OSM_WAY_608878515,608878515,nan,trunk,EXCLUDED_BRANCH
OSM_WAY_608864782,608864782,Udhampur Bypass,trunk,EXCLUDED_BRANCH
OSM_WAY_608852932,608852932,Udhampur Bypass,trunk,EXCLUDED_BRANCH
OSM_WAY_419337523,419337523,Udhampur Bypass,trunk,EXCLUDED_BRANCH
OSM_WAY_419337526,419337526,Udhampur Bypass,primary,EXCLUDED_BRANCH
OSM_WAY_608852931,608852931,Udhampur Bypass,trunk,EXCLUDED_BRANCH
OSM_WAY_608852928,608852928,Udhampur Bypass,trunk,EXCLUDED_BRANCH
OSM_WAY_608852926,608852926,Udhampur Bypass,trunk,EXCLUDED_BRANCH
OSM_WAY_608852930,608852930,Udhampur Bypass,trunk,EXCLUDED_BRANCH
OSM_WAY_608852924,608852924,Udhampur Bypass,trunk,EXCLUDED_BRANCH
OSM_WAY_419337495,419337495,nan,trunk,EXCLUDED_BRANCH
OSM_WAY_419337442,419337442,nan,trunk,EXCLUDED_BRANCH
OSM_WAY_419337458,419337458,nan,trunk,EXCLUDED_BRANCH
OSM_WAY_419337438,419337438,nan,trunk,EXCLUDED_BRANCH
