connection_id,endpoint_distance_m,physically_connected,tolerance_snapped,status
CONN_1,0.0,True,False,PASS (Connected <= 0.5m)
CONN_2,0.0,True,False,PASS (Connected <= 0.5m)
CONN_3,0.0,True,False,PASS (Connected <= 0.5m)
CONN_4,0.0,True,False,PASS (Connected <= 0.5m)
CONN_5,0.0,True,False,PASS (Connected <= 0.5m)
CONN_6,0.0,True,False,PASS (Connected <= 0.5m)
CONN_7,0.0,True,False,PASS (Connected <= 0.5m)
CONN_8,0.0,True,False,PASS (Connected <= 0.5m)
CONN_9,0.0,True,False,PASS (Connected <= 0.5m)
CONN_10,0.0,True,False,PASS (Connected <= 0.5m)
CONN_11,0.0,True,False,PASS (Connected <= 0.5m)
CONN_12,0.0,True,False,PASS (Connected <= 0.5m)
CONN_13,0.0,True,False,PASS (Connected <= 0.5m)
CONN_14,0.0,True,False,PASS (Connected <= 0.5m)
CONN_15,0.0,True,False,PASS (Connected <= 0.5m)
CONN_16,0.0,True,False,PASS (Connected <= 0.5m)
CONN_17,0.0,True,False,PASS (Connected <= 0.5m)
