segment_id,sequence_number,start_chainage_m,end_chainage_m,nominal_length_m,actual_geometry_length_m,start_longitude,start_latitude,end_longitude,end_latitude,midpoint_longitude,midpoint_latitude,vertex_count,source_route_sha256,terminal_segment
NH44_SEG_001,1,0.0,500.0,500.0,500.0,75.191949,32.991498,75.194899,32.991254,75.192389,32.99161,44,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_002,2,500.0,1000.0,500.0,500.0,75.194899,32.991254,75.198885,32.992929,75.197494,32.991265,49,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_003,3,1000.0,1500.0,500.0,500.0,75.198885,32.992929,75.200158,32.997161,75.199061,32.995151,41,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_004,4,1500.0,2000.0,500.0,500.0,75.200158,32.997161,75.205069,32.997836,75.202505,32.998052,19,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_005,5,2000.0,2500.0,500.0,500.0,75.205069,32.997836,75.208203,33.000936,75.206563,32.999463,25,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_006,6,2500.0,3000.0,500.0,500.0,75.208203,33.000936,75.213131,33.002567,75.210746,33.001616,22,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_007,7,3000.0,3500.0,500.0,500.0,75.213131,33.002567,75.217804,33.004639,75.215494,33.003558,21,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_008,8,3500.0,4000.0,500.0,500.0,75.217804,33.004639,75.219418,33.008528,75.219544,33.0063,15,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_009,9,4000.0,4500.0,500.0,500.0,75.219418,33.008528,75.223589,33.010588,75.221075,33.009946,18,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_010,10,4500.0,5000.0,500.0,500.0,75.223589,33.010588,75.227213,33.013068,75.226206,33.01102,19,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_011,11,5000.0,5500.0,500.0,500.0,75.227213,33.013068,75.231953,33.014388,75.229573,33.013755,22,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
