source_file,original_feature_id,osm_way_id,geometry_sha256,coordinate_count,edge_length_m,start_coordinate,end_coordinate,road_classification,source_provenance_status
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_0,OSM_WAY_131109961,56b9536d5490837d78838e1b68ca95844cacf14365f2909bcafdaf06c13a9188,14,0.001,"(75.191949, 32.991498)","(75.190923, 32.991208)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_1,OSM_WAY_131109962,86130fe3805475a55feec12bc44cb2adf0d75264874ebe6c5e8fd8bbe9f40f07,9,0.001,"(75.193082, 32.991545)","(75.192163, 32.991590)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_2,OSM_WAY_131109963,9465c697d420e18ede98f9d3f3637c24e864dfba8c28abd96962e440aabe1516,109,0.012,"(75.193316, 32.991645)","(75.200407, 32.997294)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_3,OSM_WAY_131109964,a1b7b0c608f628c41ec9a5befc9551f7b46559c37ad37cc78ca57eabd192d662,3,0.001,"(75.200407, 32.997294)","(75.200931, 32.997517)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_4,OSM_WAY_131109965,4a71fba64bc0190088a1636b19531677c6a00dcf1d04d703b6256d776db21ffe,21,0.006,"(75.206058, 32.999018)","(75.201107, 32.997425)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_5,OSM_WAY_131109966,ae4dd1eceede3f51495084ba3a5ec1dadecd80f0275218870591b4e48dd6c610,4,0.001,"(75.206058, 32.999018)","(75.206875, 32.999853)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_6,OSM_WAY_131109967,76f0845774e367a2b3de887d433ef58bd165f223f47835c7eb1a239d75c9ab7f,5,0.001,"(75.206935, 32.999947)","(75.207012, 33.000488)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_7,OSM_WAY_131109968,460c732bbb0b659b69be161dfe0430164671787cdfe5826be6585b9aa3dcd867,40,0.009,"(75.207230, 33.000651)","(75.216053, 33.003875)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_8,OSM_WAY_131109969,6f9925c1ee49fd97515d84c013222839d2775e74f11f1eab0cd563612faaa705,105,0.015,"(75.257928, 33.029638)","(75.269034, 33.034796)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_9,OSM_WAY_131109970,b95edf9961b3a352861ef8478bd1a3027067959b079694db8bbde449391cf7e1,134,0.011,"(75.278161, 33.037726)","(75.269357, 33.034829)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_10,OSM_WAY_131109971,0b1243b65260279f8886adf07cf5fcba004ee6d566644ec9b4c1d38024f3ba2d,100,0.01,"(75.279098, 33.047323)","(75.278168, 33.037905)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_11,OSM_WAY_131109972,ced85eeeaa766d6e52bdee97ed14582dd7bbf51c957bd0f9481c053dd199a446,2,0.0,"(75.279295, 33.047572)","(75.279601, 33.047898)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_12,OSM_WAY_131109973,dab9c414d929cef72748954520c88223f249c6622d36031c024a92c78b0ac76e,12,0.082,"(75.292732, 33.128494)","(75.279840, 33.048127)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_13,OSM_WAY_131109974,8c68125c7ab8c9ae297429c17b54251c729addf148344a0cd2a564d3aba47735,5,0.0,"(75.292859, 33.128822)","(75.292732, 33.128494)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_14,OSM_WAY_131109975,9a64a7e9b58b2e54a552fe920614e37e47b133a10416630f0f0e110b3b8e5a95,233,0.06,"(75.216053, 33.003875)","(75.257420, 33.028735)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
