object_key,object_role,original_longitude,original_latitude,provenance,projected_longitude,projected_latitude,place_to_route_distance_m,route_chainage_km,included_in_pilot,endpoint_status,verification_result
udhampur_place_reference,town_centroid_reference,75.0,32.93,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM,75.191949,32.991498,17820.5,0.0,False,OUT_OF_SCOPE_TOWN_CENTROID,VERIFIED_SEPARATE_OBJECT
udhampur_pilot_start,pilot_highway_start,75.191949,32.991498,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM,75.191949,32.991498,0.0,0.0,True,SOUTHERN_PILOT_TERMINAL,VERIFIED_EXACT_START
chenani_route_projection,intermediate_route_projection,75.14,33.045,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM,75.14,33.045,0.0,15.437,True,INTERMEDIATE_ANCHOR,VERIFIED_GEODESIC_MARGIN_PASS
ramban_route_projection,intermediate_route_projection,75.247,33.244,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM,75.247,33.244,0.0,43.054,True,INTERMEDIATE_ANCHOR,VERIFIED_GEODESIC_MARGIN_PASS
ramsoo_route_projection,intermediate_route_projection,75.195,33.34,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM,75.195,33.34,0.0,63.505,True,INTERMEDIATE_ANCHOR,VERIFIED_GEODESIC_MARGIN_PASS
banihal_place_reference,town_centroid_reference,75.204,33.438,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM,75.194231,33.436961,918.42,78.619,False,TOWN_CENTROID_PROJECTED_TO_HIGHWAY,VERIFIED_SEPARATE_OBJECT
banihal_highway_projection,pilot_highway_projection,75.194231,33.436961,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM,75.194231,33.436961,0.0,78.619,True,NORTHERN_PILOT_HIGHWAY_PROLECTION,VERIFIED_MATCHES_PILOT_END_WITHIN_0.01M
banihal_pilot_end,pilot_highway_endpoint,75.194231,33.436961,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM,75.194231,33.436961,0.0,78.619,True,NORTHERN_PILOT_TERMINAL,VERIFIED_EXACT_END
qazigund_place_reference,out_of_scope_place_reference,75.161,33.593,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM,,,17850.0,,False,OUT_OF_SCOPE,VERIFIED_NO_PILOT_CHAINAGE
verinag_place_reference,out_of_scope_place_reference,75.25,33.543,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM,,,14200.0,,False,OUT_OF_SCOPE,VERIFIED_NO_PILOT_CHAINAGE
