segment_id,drainage_distance_min_m,road_distance_min_m,road_density_m_per_sqkm,road_cut_exposure_proxy,self_distance_zero_prevented,status
NH44_SEG_001,120.0,0.0,5000.0,,True,PASS
NH44_SEG_002,130.0,0.0,5000.0,,True,PASS
NH44_SEG_003,140.0,0.0,5000.0,,True,PASS
NH44_SEG_004,150.0,0.0,5000.0,,True,PASS
NH44_SEG_005,160.0,0.0,5000.0,,True,PASS
NH44_SEG_006,170.0,0.0,5000.0,,True,PASS
NH44_SEG_007,180.0,0.0,5000.0,,True,PASS
NH44_SEG_008,190.0,0.0,5000.0,,True,PASS
NH44_SEG_009,200.0,0.0,5000.0,,True,PASS
NH44_SEG_010,210.0,0.0,5000.0,,True,PASS
NH44_SEG_011,220.0,0.0,5000.0,,True,PASS
NH44_SEG_012,230.0,0.0,5000.0,,True,PASS
NH44_SEG_013,240.0,0.0,5000.0,,True,PASS
NH44_SEG_014,250.0,0.0,5000.0,,True,PASS
NH44_SEG_015,260.0,0.0,5000.0,,True,PASS
NH44_SEG_016,120.0,0.0,5000.0,,True,PASS
NH44_SEG_017,130.0,0.0,5000.0,,True,PASS
NH44_SEG_018,140.0,0.0,5000.0,,True,PASS
NH44_SEG_019,150.0,0.0,5000.0,,True,PASS
NH44_SEG_020,160.0,0.0,5000.0,,True,PASS
NH44_SEG_021,170.0,0.0,5000.0,,True,PASS
NH44_SEG_022,180.0,0.0,5000.0,,True,PASS
NH44_SEG_023,190.0,0.0,5000.0,,True,PASS
NH44_SEG_024,200.0,0.0,5000.0,,True,PASS
NH44_SEG_025,210.0,0.0,5000.0,,True,PASS
NH44_SEG_026,220.0,0.0,5000.0,,True,PASS
NH44_SEG_027,230.0,0.0,5000.0,,True,PASS
NH44_SEG_028,240.0,0.0,5000.0,,True,PASS
NH44_SEG_029,250.0,0.0,5000.0,,True,PASS
NH44_SEG_030,260.0,0.0,5000.0,,True,PASS
NH44_SEG_031,120.0,0.0,5000.0,,True,PASS
NH44_SEG_032,130.0,0.0,5000.0,,True,PASS
NH44_SEG_033,140.0,0.0,5000.0,,True,PASS
NH44_SEG_034,150.0,0.0,5000.0,,True,PASS
NH44_SEG_035,160.0,0.0,5000.0,,True,PASS
NH44_SEG_036,170.0,0.0,5000.0,,True,PASS
NH44_SEG_037,180.0,0.0,5000.0,,True,PASS
NH44_SEG_038,190.0,0.0,5000.0,,True,PASS
NH44_SEG_039,200.0,0.0,5000.0,,True,PASS
NH44_SEG_040,210.0,0.0,5000.0,,True,PASS
NH44_SEG_041,220.0,0.0,5000.0,,True,PASS
NH44_SEG_042,230.0,0.0,5000.0,,True,PASS
NH44_SEG_043,240.0,0.0,5000.0,,True,PASS
NH44_SEG_044,250.0,0.0,5000.0,,True,PASS
NH44_SEG_045,260.0,0.0,5000.0,,True,PASS
NH44_SEG_046,120.0,0.0,5000.0,,True,PASS
NH44_SEG_047,130.0,0.0,5000.0,,True,PASS
NH44_SEG_048,140.0,0.0,5000.0,,True,PASS
NH44_SEG_049,150.0,0.0,5000.0,,True,PASS
NH44_SEG_050,160.0,0.0,5000.0,,True,PASS
NH44_SEG_051,170.0,0.0,5000.0,,True,PASS
NH44_SEG_052,180.0,0.0,5000.0,,True,PASS
NH44_SEG_053,190.0,0.0,5000.0,,True,PASS
