,segment_index,chainage_start_m,chainage_end_m,chainage_mid_m,length_m,start_longitude,start_latitude,end_longitude,end_latitude,midpoint_longitude,midpoint_latitude,analysis_buffer_m,landcover_builtup_fraction,landcover_cropland_fraction,landcover_forest_fraction,landcover_grassland_fraction,landcover_bareground_fraction,landcover_water_fraction,landcover_snow_ice_fraction,geology_lithological_diversity_count,geology_overlap_pct,fault_distance_nearest_m,fault_intersection_count,fault_density_100m_m_per_sqkm,fault_density_250m_m_per_sqkm,fault_distance_active_m,fault_active_intersection_count,drainage_distance_min_m,drainage_distance_mean_m,drainage_intersection_count,drainage_density_100m_m_per_sqkm,road_distance_min_m,road_intersection_count,road_density_m_per_sqkm,structure_open_road_length_m,structure_tunnel_length_m,structure_bridge_length_m,structure_open_road_fraction,structure_tunnel_fraction,structure_bridge_fraction,valid_coverage_pct
segment_index,1.0,1.0,0.9999991402130988,0.9999997850808557,-0.13736056394868904,-0.6388826853982968,0.9973515257889479,-0.6589153704141946,0.997351706304267,-0.6489340404331428,0.9973534768647558,,,,,,,,,0.03191512618049234,,0.9531770590888028,,,,0.9531770590888029,,0.023889702094443594,0.02388970209444428,-0.013574708970396893,-0.013574708970396504,,,,0.022159475807948154,-0.040330657085961834,-0.019860259568120493,0.04505725814267926,-0.04033065708596182,-0.019860259568120483,
chainage_start_m,1.0,1.0,0.9999991402130989,0.9999997850808559,-0.137360563948689,-0.6388826853982972,0.9973515257889479,-0.6589153704141948,0.9973517063042667,-0.6489340404331427,0.9973534768647552,,,,,,,,,0.03191512618049235,,0.9531770590888027,,,,0.9531770590888025,,0.023889702094443615,0.02388970209444429,-0.013574708970396894,-0.0135747089703965,,,,0.022159475807948154,-0.04033065708596184,-0.01986025956812049,0.04505725814267927,-0.04033065708596183,-0.019860259568120486,
chainage_end_m,0.9999991402130988,0.9999991402130989,1.0,0.9999997850256456,-0.1360615508220461,-0.6388952048106765,0.9973433906234487,-0.6589309422985237,0.997345273598305,-0.648948152374608,0.9973462283546526,,,,,,,,,0.03198145289270289,,0.9532047344643984,,,,0.9532047344643982,,0.023889681554390682,0.02388968155439136,-0.01353355506011662,-0.013533555060116229,,,,0.02233531115349788,-0.040294345688218776,-0.01985189078443692,0.045019605018998925,-0.04029434568821877,-0.019851890784436912,
chainage_mid_m,0.9999997850808557,0.9999997850808559,0.9999997850256456,1.0,-0.1367111284782058,-0.6388890820296581,0.9973476728440314,-0.6589232974898147,0.99734870453468,-0.6489412354385932,0.997350067219584,,,,,,,,,0.03194829427423745,,0.953191100773358,,,,0.953191100773358,,0.023889696960089288,0.023889696960089964,-0.013554136249996882,-0.013554136249996487,,,,0.022247392617207797,-0.04031251121797825,-0.01985607971297378,0.045038442470629186,-0.04031251121797824,-0.019856079712973776,
length_m,-0.13736056394868904,-0.137360563948689,-0.1360615508220461,-0.1367111284782058,1.0,0.07788571393179644,-0.14249401094062006,0.07831869243578711,-0.14120806744887757,0.07805691468583405,-0.14182453452171853,,,,,,,,,0.04573732789847128,,-0.10940505501894611,,,,-0.1094050550189462,,-0.003281502952258862,-0.0032815029522590545,0.03294179100649712,0.032941791006497106,,,,0.12978936785186188,0.032941791006497155,0.009036554505347,-0.03460145470341597,0.032941791006497134,0.009036554505346997,
start_longitude,-0.6388826853982968,-0.6388826853982972,-0.6388952048106765,-0.6388890820296581,0.07788571393179644,1.0,-0.608664505488684,0.9978519621127648,-0.6059223526129988,0.9994200283707152,-0.6073014596245269,,,,,,,,,-0.3139709441374581,,-0.46455920319507416,,,,-0.46455920319507416,,0.05055073970283913,0.050550739702838764,-0.00979543587387287,-0.009795435873873168,,,,-0.24329934675533216,0.24631694172780472,0.06556141389543642,-0.2581117204304255,0.2463169417278046,0.0655614138954364,
start_latitude,0.9973515257889479,0.9973515257889479,0.9973433906234487,0.9973476728440314,-0.14249401094062006,-0.608664505488684,1.0,-0.6309505917325553,0.9999524009799191,-0.6198670664536673,0.9999861504803981,,,,,,,,,0.02033143661369941,,0.9588040483815005,,,,0.9588040483815007,,0.02222635656407927,0.02222635656407991,-0.013915730344684197,-0.013915730344683854,,,,0.012365318843633516,-0.033762299946642295,-0.01112677279078995,0.0360346391650845,-0.03376229994664209,-0.011126772790789913,
end_longitude,-0.6589153704141946,-0.6589153704141948,-0.6589309422985237,-0.6589232974898147,0.07831869243578711,0.9978519621127648,-0.6309505917325553,1.0,-0.6281852244332337,0.9994117610467712,-0.6295771020464316,,,,,,,,,-0.3067485143640806,,-0.4903660427313619,,,,-0.490366042731362,,0.04841841115200668,0.04841841115200632,-0.00740570737297591,-0.007405707372976194,,,,-0.24438601846322167,0.251225409193524,0.053886223294296196,-0.25927862894267156,0.25122540919352393,0.053886223294296175,
end_latitude,0.997351706304267,0.9973517063042667,0.997345273598305,0.99734870453468,-0.14120806744887757,-0.6059223526129988,0.9999524009799191,-0.6281852244332337,1.0,-0.6171059671091247,0.9999845637399468,,,,,,,,,0.018944054515581135,,0.9592526071792301,,,,0.9592526071792301,,0.022468093065162485,0.022468093065163158,-0.013759529395797967,-0.01375952939579761,,,,0.009523289172247349,-0.03017774657004912,-0.01238902854139611,0.03295736143986964,-0.030177746570049103,-0.012389028541396086,
midpoint_longitude,-0.6489340404331428,-0.6489340404331427,-0.648948152374608,-0.6489412354385932,0.07805691468583405,0.9994200283707152,-0.6198670664536673,0.9994117610467712,-0.6171059671091247,1.0,-0.618493485893446,,,,,,,,,-0.3108840782187456,,-0.4774716699519137,,,,-0.47747166995191387,,0.04976103246534877,0.049761032465348444,-0.008298354804101914,-0.008298354804102185,,,,-0.24318222897762976,0.24820195994943603,0.05932189703732853,-0.25802199426436545,0.24820195994943595,0.059321897037328486,
midpoint_latitude,0.9973534768647558,0.9973534768647552,0.9973462283546526,0.997350067219584,-0.14182453452171853,-0.6073014596245269,0.9999861504803981,-0.6295771020464316,0.9999845637399468,-0.618493485893446,1.0,,,,,,,,,0.019621533277988792,,0.9590726400233868,,,,0.9590726400233874,,0.02235374491368588,0.022353744913686524,-0.013933719320822583,-0.013933719320822225,,,,0.011041940265435887,-0.03198062955361944,-0.012031389850062243,0.03459002609550415,-0.031980629553619244,-0.012031389850062208,
analysis_buffer_m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
landcover_builtup_fraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
landcover_cropland_fraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
landcover_forest_fraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
landcover_grassland_fraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
landcover_bareground_fraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
landcover_water_fraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
landcover_snow_ice_fraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geology_lithological_diversity_count,0.03191512618049234,0.03191512618049235,0.03198145289270289,0.03194829427423745,0.04573732789847128,-0.3139709441374581,0.02033143661369941,-0.3067485143640806,0.018944054515581135,-0.3108840782187456,0.019621533277988792,,,,,,,,,1.0,,-0.02917739006739613,,,,-0.02917739006739613,,-0.06419421509298365,-0.06419421509298374,0.023449017960183467,0.023449017960183432,,,,0.19169918653820883,-0.20404759488159666,0.03763581341138423,0.18565286754139382,-0.20404759488159654,0.037635813411384215,
geology_overlap_pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fault_distance_nearest_m,0.9531770590888028,0.9531770590888027,0.9532047344643984,0.953191100773358,-0.10940505501894611,-0.46455920319507416,0.9588040483815005,-0.4903660427313619,0.9592526071792301,-0.4774716699519137,0.9590726400233868,,,,,,,,,-0.02917739006739613,,1.0,,,,0.9999999999999999,,0.040888903784319634,0.04088890378432027,-0.017484507557166372,-0.01748450755716604,,,,-0.02985449616002012,0.008400802769070155,0.012650887152018822,-0.011993399948023089,0.008400802769070154,0.012650887152018836,
fault_intersection_count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fault_density_100m_m_per_sqkm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fault_density_250m_m_per_sqkm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fault_distance_active_m,0.9531770590888029,0.9531770590888025,0.9532047344643982,0.953191100773358,-0.1094050550189462,-0.46455920319507416,0.9588040483815007,-0.490366042731362,0.9592526071792301,-0.47747166995191387,0.9590726400233874,,,,,,,,,-0.02917739006739613,,0.9999999999999999,,,,1.0,,0.04088890378431965,0.040888903784320245,-0.017484507557166382,-0.017484507557166035,,,,-0.029854496160020273,0.008400802769070273,0.01265088715201886,-0.011993399948023202,0.008400802769070239,0.012650887152018847,
fault_active_intersection_count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drainage_distance_min_m,0.023889702094443594,0.023889702094443615,0.023889681554390682,0.023889696960089288,-0.003281502952258862,0.05055073970283913,0.02222635656407927,0.04841841115200668,0.022468093065162485,0.04976103246534877,0.02235374491368588,,,,,,,,,-0.06419421509298365,,0.040888903784319634,,,,0.04088890378431965,,1.0,1.0,0.03779052655864842,0.03779052655864837,,,,0.08556863606868419,-0.120434244332652,0.09660362540675124,0.08678973362851468,-0.12043424433265201,0.09660362540675128,
drainage_distance_mean_m,0.02388970209444428,0.02388970209444429,0.02388968155439136,0.023889696960089964,-0.0032815029522590545,0.050550739702838764,0.02222635656407991,0.04841841115200632,0.022468093065163158,0.049761032465348444,0.022353744913686524,,,,,,,,,-0.06419421509298374,,0.04088890378432027,,,,0.040888903784320245,,1.0,1.0,0.037790526558648396,0.037790526558648375,,,,0.08556863606868412,-0.12043424433265201,0.09660362540675128,0.08678973362851466,-0.12043424433265204,0.09660362540675126,
