feature_column,count,null_count,nan_count,inf_count,zero_count,negative_count,min,max,mean,median,std,p1,p5,p95,p99,scientific_range_valid,validity_note
segment_index,158,0,0,0,1,0,0.0,157.0,78.5,78.5,45.754781170933384,1.57,7.8500000000000005,149.15,155.43,True,Valid Range
chainage_start_m,158,0,0,0,1,0,0.0,78500.0,39250.0,39250.0,22877.390585466692,785.0,3925.0000000000005,74575.0,77715.0,True,Valid Range
chainage_end_m,158,0,0,0,0,0,500.0,78619.37,39747.59094936709,39750.0,22873.250795567787,1285.0,4425.0,75075.0,78215.0,True,Valid Range
chainage_mid_m,158,0,0,0,0,0,250.0,78559.68,39498.795443037976,39500.0,22875.315719160706,1035.0,4175.0,74825.0,77965.0,True,Valid Range
length_m,158,0,0,0,0,0,119.37,500.0,497.59094936708857,500.0,30.281296907580813,500.0,500.0,500.0,500.0,True,Valid Range
start_longitude,158,0,0,0,0,0,75.171409,75.310364,75.2323613670886,75.21468,0.04600001604407866,75.17335261,75.17741584999999,75.30181715,75.30804311,True,Valid Range
start_latitude,158,0,0,0,0,0,32.991254,33.465934,33.22159515189874,33.235141999999996,0.13728554179060917,32.99231367,33.00794465,33.434156099999996,33.45915017,True,Valid Range
end_longitude,158,0,0,0,0,0,75.171409,75.310364,75.23233198734177,75.21468,0.04602746562623647,75.17335261,75.17741584999999,75.30181715,75.30804311,True,Valid Range
end_latitude,158,0,0,0,0,0,32.991254,33.466977,33.224604512658225,33.237483999999995,0.13742087246838147,32.995341239999995,33.010279,33.43817705,33.463372989999996,True,Valid Range
midpoint_longitude,158,0,0,0,0,0,75.171487,75.30939,75.23237464556959,75.2146915,0.04603172514843549,75.17367526,75.17678605,75.30228685,75.30815019,True,Valid Range
midpoint_latitude,158,0,0,0,0,0,32.991265,33.466463,33.22311206962025,33.236265,0.13737589510625023,32.99362837,33.0093991,33.4360676,33.461186839999996,True,Valid Range
analysis_buffer_m,158,0,0,0,0,0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,True,Valid Range
elevation_min_m,0,158,0,0,0,0,,,,,,,,,,True,Valid Range
elevation_max_m,0,158,0,0,0,0,,,,,,,,,,True,Valid Range
elevation_mean_m,0,158,0,0,0,0,,,,,,,,,,True,Valid Range
elevation_median_m,0,158,0,0,0,0,,,,,,,,,,True,Valid Range
elevation_std_m,0,158,0,0,0,0,,,,,,,,,,True,Valid Range
elevation_range_m,0,158,0,0,0,0,,,,,,,,,,True,Valid Range
elevation_p90_m,0,158,0,0,0,0,,,,,,,,,,True,Valid Range
slope_min_deg,0,158,0,0,0,0,,,,,,,,,,True,Valid Range
slope_max_deg,0,158,0,0,0,0,,,,,,,,,,True,Valid Range
slope_mean_deg,0,158,0,0,0,0,,,,,,,,,,True,Valid Range
slope_median_deg,0,158,0,0,0,0,,,,,,,,,,True,Valid Range
slope_std_deg,0,158,0,0,0,0,,,,,,,,,,True,Valid Range
slope_p90_deg,0,158,0,0,0,0,,,,,,,,,,True,Valid Range
slope_pct_above_15deg,0,158,0,0,0,0,,,,,,,,,,True,Valid Range
slope_pct_above_25deg,0,158,0,0,0,0,,,,,,,,,,True,Valid Range
slope_pct_above_35deg,0,158,0,0,0,0,,,,,,,,,,True,Valid Range
aspect_circular_mean_deg,0,158,0,0,0,0,,,,,,,,,,True,Valid Range
aspect_north_fraction,0,158,0,0,0,0,,,,,,,,,,True,Valid Range
aspect_east_fraction,0,158,0,0,0,0,,,,,,,,,,True,Valid Range
aspect_south_fraction,0,158,0,0,0,0,,,,,,,,,,True,Valid Range
aspect_west_fraction,0,158,0,0,0,0,,,,,,,,,,True,Valid Range
aspect_dominant_class,0,158,0,0,0,0,,,,,,,,,,True,Valid Range
hillshade_mean,0,158,0,0,0,0,,,,,,,,,,True,Valid Range
hillshade_median,0,158,0,0,0,0,,,,,,,,,,True,Valid Range
hillshade_std,0,158,0,0,0,0,,,,,,,,,,True,Valid Range
susceptibility_min_prob,0,158,0,0,0,0,,,,,,,,,,True,Valid Range
susceptibility_max_prob,0,158,0,0,0,0,,,,,,,,,,True,Valid Range
susceptibility_mean_prob,0,158,0,0,0,0,,,,,,,,,,True,Valid Range
susceptibility_median_prob,0,158,0,0,0,0,,,,,,,,,,True,Valid Range
susceptibility_std_prob,0,158,0,0,0,0,,,,,,,,,,True,Valid Range
susceptibility_p75_prob,0,158,0,0,0,0,,,,,,,,,,True,Valid Range
susceptibility_p90_prob,0,158,0,0,0,0,,,,,,,,,,True,Valid Range
susceptibility_p95_prob,0,158,0,0,0,0,,,,,,,,,,True,Valid Range
susceptibility_very_low_fraction,0,158,0,0,0,0,,,,,,,,,,True,Valid Range
susceptibility_low_fraction,0,158,0,0,0,0,,,,,,,,,,True,Valid Range
susceptibility_moderate_fraction,0,158,0,0,0,0,,,,,,,,,,True,Valid Range
susceptibility_high_fraction,0,158,0,0,0,0,,,,,,,,,,True,Valid Range
susceptibility_very_high_fraction,0,158,0,0,0,0,,,,,,,,,,True,Valid Range
susceptibility_dominant_class,0,158,0,0,0,0,,,,,,,,,,True,Valid Range
susceptibility_pct_high_very_high,0,158,0,0,0,0,,,,,,,,,,True,Valid Range
susceptibility_max_contiguous_high_len_m,0,158,0,0,0,0,,,,,,,,,,True,Valid Range
landcover_builtup_fraction,158,0,0,0,0,0,0.05,0.05,0.04999999999999999,0.05,1.3921914430482286e-17,0.05,0.05,0.05,0.05,True,Valid Range
landcover_cropland_fraction,158,0,0,0,0,0,0.15,0.15,0.15,0.15,0.0,0.15,0.15,0.15,0.15,True,Valid Range
landcover_forest_fraction,158,0,0,0,0,0,0.6,0.6,0.6,0.6,0.0,0.6,0.6,0.6,0.6,True,Valid Range
landcover_grassland_fraction,158,0,0,0,0,0,0.15,0.15,0.15,0.15,0.0,0.15,0.15,0.15,0.15,True,Valid Range
landcover_bareground_fraction,158,0,0,0,0,0,0.04,0.04,0.04,0.04,0.0,0.04,0.04,0.04,0.04,True,Valid Range
landcover_water_fraction,158,0,0,0,0,0,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,True,Valid Range
landcover_snow_ice_fraction,158,0,0,0,158,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Valid Range
geology_lithological_diversity_count,158,0,0,0,0,0,1.0,3.0,1.3164556962025316,1.0,0.5539505783439542,1.0,1.0,2.0,3.0,True,Valid Range
geology_overlap_pct,158,0,0,0,0,0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,True,Valid Range
fault_distance_nearest_m,158,0,0,0,0,0,14349.76,41452.45,31858.816645569623,33811.16,7020.6062919997885,14973.8478,17443.3105,40105.4535,41182.5331,True,Valid Range
fault_intersection_count,158,0,0,0,158,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Valid Range
fault_density_100m_m_per_sqkm,158,0,0,0,158,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Valid Range
fault_density_250m_m_per_sqkm,158,0,0,0,158,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Valid Range
fault_distance_active_m,158,0,0,0,0,0,16849.76,43952.45,34358.81664556962,36311.16,7020.606291999789,17473.8478,19943.3105,42605.4535,43682.5331,True,Valid Range
fault_active_intersection_count,158,0,0,0,158,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Valid Range
drainage_distance_min_m,158,0,0,0,0,0,120.0,260.0,188.22784810126583,190.0,43.237147677533976,120.0,120.0,260.0,260.0,True,Valid Range
drainage_distance_mean_m,158,0,0,0,0,0,250.0,460.0,352.34177215189874,355.0,64.85572151630096,250.0,250.0,460.0,460.0,True,Valid Range
drainage_intersection_count,158,0,0,0,135,0,0.0,1.0,0.14556962025316456,0.0,0.35379560415168015,0.0,0.0,1.0,1.0,True,Valid Range
drainage_density_100m_m_per_sqkm,158,0,0,0,0,0,400.0,1250.0,523.7341772151899,400.0,300.72626352892803,400.0,400.0,1250.0,1250.0,True,Valid Range
road_distance_min_m,158,0,0,0,158,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Valid Range
road_intersection_count,158,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True,Valid Range
road_density_m_per_sqkm,158,0,0,0,0,0,5000.0,5000.0,5000.0,5000.0,0.0,5000.0,5000.0,5000.0,5000.0,True,Valid Range
road_cut_exposure_proxy,0,158,0,0,0,0,,,,,,,,,,True,Valid Range
structure_open_road_length_m,158,0,0,0,25,0,0.0,500.0,418.4770253164557,500.0,184.5085039985496,0.0,0.0,500.0,500.0,True,Valid Range
structure_tunnel_length_m,158,0,0,0,135,0,0.0,500.0,72.78481012658227,0.0,176.89780207584005,0.0,0.0,500.0,500.0,True,Valid Range
structure_bridge_length_m,158,0,0,0,156,0,0.0,500.0,6.329113924050633,0.0,56.074954732522556,0.0,0.0,0.0,215.0000000000034,True,Valid Range
structure_open_road_fraction,158,0,0,0,25,0,0.0,1.0,0.8417721518987342,1.0,0.3661149431206428,0.0,0.0,1.0,1.0,True,Valid Range
structure_tunnel_fraction,158,0,0,0,135,0,0.0,1.0,0.14556962025316456,0.0,0.35379560415168015,0.0,0.0,1.0,1.0,True,Valid Range
structure_bridge_fraction,158,0,0,0,156,0,0.0,1.0,0.012658227848101266,0.0,0.11214990946504515,0.0,0.0,0.0,0.4300000000000068,True,Valid Range
valid_coverage_pct,158,0,0,0,0,0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,True,Valid Range
