feature_1,feature_2,pearson_correlation,spearman_correlation,recommendation
segment_index,chainage_start_m,1.0,1.0,Retain for scientific interpretation; handle collinearity in linear modeling
segment_index,chainage_end_m,1.0,1.0,Retain for scientific interpretation; handle collinearity in linear modeling
segment_index,chainage_mid_m,1.0,1.0,Retain for scientific interpretation; handle collinearity in linear modeling
segment_index,start_latitude,0.9974,1.0,Retain for scientific interpretation; handle collinearity in linear modeling
segment_index,end_latitude,0.9974,1.0,Retain for scientific interpretation; handle collinearity in linear modeling
segment_index,midpoint_latitude,0.9974,1.0,Retain for scientific interpretation; handle collinearity in linear modeling
segment_index,fault_distance_nearest_m,0.9532,0.9852,Retain for scientific interpretation; handle collinearity in linear modeling
segment_index,fault_distance_active_m,0.9532,0.9852,Retain for scientific interpretation; handle collinearity in linear modeling
chainage_start_m,chainage_end_m,1.0,1.0,Retain for scientific interpretation; handle collinearity in linear modeling
chainage_start_m,chainage_mid_m,1.0,1.0,Retain for scientific interpretation; handle collinearity in linear modeling
chainage_start_m,start_latitude,0.9974,1.0,Retain for scientific interpretation; handle collinearity in linear modeling
chainage_start_m,end_latitude,0.9974,1.0,Retain for scientific interpretation; handle collinearity in linear modeling
chainage_start_m,midpoint_latitude,0.9974,1.0,Retain for scientific interpretation; handle collinearity in linear modeling
chainage_start_m,fault_distance_nearest_m,0.9532,0.9852,Retain for scientific interpretation; handle collinearity in linear modeling
chainage_start_m,fault_distance_active_m,0.9532,0.9852,Retain for scientific interpretation; handle collinearity in linear modeling
chainage_end_m,chainage_mid_m,1.0,1.0,Retain for scientific interpretation; handle collinearity in linear modeling
chainage_end_m,start_latitude,0.9973,1.0,Retain for scientific interpretation; handle collinearity in linear modeling
chainage_end_m,end_latitude,0.9973,1.0,Retain for scientific interpretation; handle collinearity in linear modeling
chainage_end_m,midpoint_latitude,0.9973,1.0,Retain for scientific interpretation; handle collinearity in linear modeling
chainage_end_m,fault_distance_nearest_m,0.9532,0.9852,Retain for scientific interpretation; handle collinearity in linear modeling
chainage_end_m,fault_distance_active_m,0.9532,0.9852,Retain for scientific interpretation; handle collinearity in linear modeling
chainage_mid_m,start_latitude,0.9973,1.0,Retain for scientific interpretation; handle collinearity in linear modeling
chainage_mid_m,end_latitude,0.9973,1.0,Retain for scientific interpretation; handle collinearity in linear modeling
chainage_mid_m,midpoint_latitude,0.9974,1.0,Retain for scientific interpretation; handle collinearity in linear modeling
chainage_mid_m,fault_distance_nearest_m,0.9532,0.9852,Retain for scientific interpretation; handle collinearity in linear modeling
chainage_mid_m,fault_distance_active_m,0.9532,0.9852,Retain for scientific interpretation; handle collinearity in linear modeling
start_longitude,end_longitude,0.9979,0.9936,Retain for scientific interpretation; handle collinearity in linear modeling
start_longitude,midpoint_longitude,0.9994,0.9983,Retain for scientific interpretation; handle collinearity in linear modeling
start_latitude,end_latitude,1.0,0.9999,Retain for scientific interpretation; handle collinearity in linear modeling
start_latitude,midpoint_latitude,1.0,1.0,Retain for scientific interpretation; handle collinearity in linear modeling
start_latitude,fault_distance_nearest_m,0.9588,0.9852,Retain for scientific interpretation; handle collinearity in linear modeling
start_latitude,fault_distance_active_m,0.9588,0.9852,Retain for scientific interpretation; handle collinearity in linear modeling
end_longitude,midpoint_longitude,0.9994,0.998,Retain for scientific interpretation; handle collinearity in linear modeling
end_latitude,midpoint_latitude,1.0,1.0,Retain for scientific interpretation; handle collinearity in linear modeling
end_latitude,fault_distance_nearest_m,0.9593,0.9852,Retain for scientific interpretation; handle collinearity in linear modeling
end_latitude,fault_distance_active_m,0.9593,0.9852,Retain for scientific interpretation; handle collinearity in linear modeling
midpoint_latitude,fault_distance_nearest_m,0.9591,0.9852,Retain for scientific interpretation; handle collinearity in linear modeling
midpoint_latitude,fault_distance_active_m,0.9591,0.9852,Retain for scientific interpretation; handle collinearity in linear modeling
fault_distance_nearest_m,fault_distance_active_m,1.0,1.0,Retain for scientific interpretation; handle collinearity in linear modeling
drainage_distance_min_m,drainage_distance_mean_m,1.0,1.0,Retain for scientific interpretation; handle collinearity in linear modeling
drainage_intersection_count,drainage_density_100m_m_per_sqkm,1.0,1.0,Retain for scientific interpretation; handle collinearity in linear modeling
structure_open_road_length_m,structure_open_road_fraction,0.9865,0.9837,Retain for scientific interpretation; handle collinearity in linear modeling
structure_tunnel_length_m,structure_open_road_fraction,-0.952,-0.952,Retain for scientific interpretation; handle collinearity in linear modeling
structure_tunnel_length_m,structure_tunnel_fraction,1.0,1.0,Retain for scientific interpretation; handle collinearity in linear modeling
structure_bridge_length_m,structure_bridge_fraction,1.0,1.0,Retain for scientific interpretation; handle collinearity in linear modeling
structure_open_road_fraction,structure_tunnel_fraction,-0.952,-0.952,Retain for scientific interpretation; handle collinearity in linear modeling
