segment_id,dominant_lithology,fault_distance_nearest_m,fault_distance_active_m,fault_intersection_count,fault_density_100m,epsg_32643_verified,status
NH44_SEG_001,Quartzite / Schist / Slate,14349.76,16849.76,0,0.0,True,PASS
NH44_SEG_002,Quartzite / Schist / Slate,14780.31,17280.31,0,0.0,True,PASS
NH44_SEG_003,Quartzite / Schist / Slate,15119.85,17619.85,0,0.0,True,PASS
NH44_SEG_004,Quartzite / Schist / Slate,15434.67,17934.67,0,0.0,True,PASS
NH44_SEG_005,Quartzite / Schist / Slate,15876.79,18376.79,0,0.0,True,PASS
NH44_SEG_006,Quartzite / Schist / Slate,16310.03,18810.03,0,0.0,True,PASS
NH44_SEG_007,Quartzite / Schist / Slate,16744.65,19244.65,0,0.0,True,PASS
NH44_SEG_008,Quartzite / Schist / Slate,17263.68,19763.68,0,0.0,True,PASS
NH44_SEG_009,Quartzite / Schist / Slate,17475.01,19975.01,0,0.0,True,PASS
NH44_SEG_010,Quartzite / Schist / Slate,17995.81,20495.81,0,0.0,True,PASS
NH44_SEG_011,Quartzite / Schist / Slate,18357.59,20857.59,0,0.0,True,PASS
NH44_SEG_012,Quartzite / Schist / Slate,18846.53,21346.53,0,0.0,True,PASS
NH44_SEG_013,Quartzite / Schist / Slate,19345.34,21845.34,0,0.0,True,PASS
NH44_SEG_014,Quartzite / Schist / Slate,19608.44,22108.44,0,0.0,True,PASS
NH44_SEG_015,Quartzite / Schist / Slate,19971.15,22471.15,0,0.0,True,PASS
NH44_SEG_016,Quartzite / Schist / Slate,20300.87,22800.87,0,0.0,True,PASS
NH44_SEG_017,Quartzite / Schist / Slate,20672.74,23172.74,0,0.0,True,PASS
NH44_SEG_018,Quartzite / Schist / Slate,21073.07,23573.07,0,0.0,True,PASS
NH44_SEG_019,Quartzite / Schist / Slate,21511.82,24011.82,0,0.0,True,PASS
NH44_SEG_020,Quartzite / Schist / Slate,21776.22,24276.22,0,0.0,True,PASS
