segment_id,length_m,open_road_m,tunnel_m,bridge_m,sum_attributed_m,reconciliation_diff_m,dominant_structure,scientific_exposure_classification,tunnel_interior_surface_risk_decoupled,reconciliation_status
NH44_SEG_001,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_002,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_003,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_004,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_005,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_006,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_007,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_008,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_009,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_010,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_011,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_012,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_013,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_014,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_015,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_016,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_017,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_018,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_019,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_020,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_021,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_022,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_023,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_024,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_025,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_026,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_027,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_028,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_029,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_030,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_031,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_032,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_033,500.0,0.0,500.0,0.0,500.0,0.0,Tunnel,Tunnel Interior,True,PASS
NH44_SEG_034,500.0,0.0,500.0,0.0,500.0,0.0,Tunnel,Tunnel Interior,True,PASS
NH44_SEG_035,500.0,0.0,500.0,0.0,500.0,0.0,Tunnel,Tunnel Interior,True,PASS
NH44_SEG_036,500.0,0.0,500.0,0.0,500.0,0.0,Tunnel,Tunnel Interior,True,PASS
NH44_SEG_037,500.0,0.0,500.0,0.0,500.0,0.0,Tunnel,Tunnel Interior,True,PASS
NH44_SEG_038,500.0,0.0,500.0,0.0,500.0,0.0,Tunnel,Tunnel Interior,True,PASS
NH44_SEG_039,500.0,0.0,500.0,0.0,500.0,0.0,Tunnel,Tunnel Interior,True,PASS
NH44_SEG_040,500.0,0.0,500.0,0.0,500.0,0.0,Tunnel,Tunnel Interior,True,PASS
NH44_SEG_041,500.0,0.0,500.0,0.0,500.0,0.0,Tunnel,Tunnel Interior,True,PASS
NH44_SEG_042,500.0,0.0,500.0,0.0,500.0,0.0,Tunnel,Tunnel Interior,True,PASS
NH44_SEG_043,500.0,0.0,500.0,0.0,500.0,0.0,Tunnel,Tunnel Interior,True,PASS
NH44_SEG_044,500.0,0.0,500.0,0.0,500.0,0.0,Tunnel,Tunnel Interior,True,PASS
NH44_SEG_045,500.0,0.0,500.0,0.0,500.0,0.0,Tunnel,Tunnel Interior,True,PASS
NH44_SEG_046,500.0,0.0,500.0,0.0,500.0,0.0,Tunnel,Tunnel Interior,True,PASS
NH44_SEG_047,500.0,0.0,500.0,0.0,500.0,0.0,Tunnel,Tunnel Interior,True,PASS
NH44_SEG_048,500.0,0.0,500.0,0.0,500.0,0.0,Tunnel,Tunnel Interior,True,PASS
NH44_SEG_049,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_050,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_051,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_052,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_053,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_054,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_055,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_056,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_057,500.0,0.0,0.0,500.0,500.0,0.0,Bridge,Bridge / Viaduct,True,PASS
NH44_SEG_058,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_059,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_060,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_061,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_062,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_063,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_064,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_065,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_066,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_067,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_068,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_069,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_070,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_071,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_072,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_073,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_074,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_075,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_076,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_077,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_078,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_079,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_080,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_081,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_082,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_083,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_084,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_085,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_086,500.0,0.0,0.0,500.0,500.0,0.0,Bridge,Bridge / Viaduct,True,PASS
NH44_SEG_087,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_088,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_089,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_090,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_091,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_092,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_093,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_094,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_095,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_096,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_097,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_098,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_099,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_100,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_101,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_102,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_103,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_104,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_105,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_106,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_107,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_108,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_109,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_110,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_111,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_112,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_113,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_114,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_115,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_116,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_117,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_118,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_119,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_120,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_121,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_122,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_123,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_124,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_125,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_126,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_127,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_128,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
