metric,expected,observed,status
route_geojson_sha256,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,PASS
geometry_wkb_sha256,49edeba25fad803f6be27cb66d75867848662276811e5b85c66e2765bbeb6e40,49edeba25fad803f6be27cb66d75867848662276811e5b85c66e2765bbeb6e40,PASS
segment_raw_sha256,775998e07bbb332d352093961ce2d47b7ca3488179885abceca1df843a50f172,775998e07bbb332d352093961ce2d47b7ca3488179885abceca1df843a50f172,PASS
normalized_segment_semantic_sha256,de25ecf1f4f80450df0f1179e7c18ed26f7dbee6688bbe6c5a4448168105c5bf,de25ecf1f4f80450df0f1179e7c18ed26f7dbee6688bbe6c5a4448168105c5bf,PASS
route_length_m,78619.370,78619.370,PASS
total_segment_count,158,158,PASS
nominal_segment_count,157,157,PASS
residual_segment_length_m,119.370,119.370,PASS
maximum_gap_m,0.000,0.000,PASS
maximum_overlap_m,0.000,0.000,PASS
unique_segment_ids,158,158,PASS
segment_geometries_valid,True,True,PASS
chainages_strictly_monotonic,True,True,PASS
