source_name,file_path,file_type,crs,dimensions_or_count,resolution,nodata_value,valid_data_pct,spatial_extent,file_size_bytes,modification_timestamp,sha256,processing_status,suitable_for_extraction,unsuitable_reason
Elevation COG,data\processed\terrain\jk_elevation_glo30_cog.tif,raster,EPSG:32643,10165x9788 (b=1),"30.000000, 30.000000",-9999.0,100.0,"(360846.924, 3571144.272, 665796.924, 3864784.272)",227283023,2026-07-28T21:02:56.132165+00:00,98f49d031636f6bd... (8k),AVAILABLE & VALIDATED,True,N/A
Slope COG,data\processed\terrain\jk_slope_degrees_cog.tif,raster,EPSG:32643,10165x9788 (b=1),"30.000000, 30.000000",-9999.0,100.0,"(360846.924, 3571144.272, 665796.924, 3864784.272)",242829297,2026-07-28T21:03:11.967931+00:00,66cf8e214d4a997c... (8k),AVAILABLE & VALIDATED,True,N/A
Aspect COG,data\processed\terrain\jk_aspect_degrees_cog.tif,raster,EPSG:32643,10165x9788 (b=1),"30.000000, 30.000000",-9999.0,100.0,"(360846.924, 3571144.272, 665796.924, 3864784.272)",242710371,2026-07-28T21:03:28.034173+00:00,a2560aee231f6018... (8k),AVAILABLE & VALIDATED,True,N/A
Hillshade COG,data\processed\terrain\jk_hillshade_cog.tif,raster,EPSG:32643,10165x9788 (b=1),"30.000000, 30.000000",0.0,100.0,"(360846.924, 3571144.272, 665796.924, 3864784.272)",52743181,2026-07-28T21:03:32.035739+00:00,59be683f07898acf... (8k),AVAILABLE & VALIDATED,True,N/A
Static Susceptibility Probability,D:\Projects\GeoSlide_JK\data\processed\models\jk_susceptibility_probability_100m.tif,raster,N/A,N/A,N/A,N/A,0.0,N/A,0,N/A,N/A,MISSING,False,File does not exist on disk
Static Susceptibility Class,D:\Projects\GeoSlide_JK\data\processed\models\jk_susceptibility_class_100m.tif,raster,N/A,N/A,N/A,N/A,0.0,N/A,0,N/A,N/A,MISSING,False,File does not exist on disk
ESA WorldCover 2021 N30E072,C:\Users\Saurabh Sharma\Downloads\J&K\esa_worldcover_2021\ESA_WorldCover_10m_2021_v200_N30E072_Map (1).tif,raster,EPSG:4326,36000x36000 (b=1),"0.000083, 0.000083",0.0,100.0,"(72.000, 30.000, 75.000, 33.000)",122839390,2026-07-28T09:15:24.974878+00:00,6d38324134d89b2d... (8k),AVAILABLE & VALIDATED,True,N/A
ESA WorldCover 2021 N33E072,C:\Users\Saurabh Sharma\Downloads\J&K\esa_worldcover_2021\ESA_WorldCover_10m_2021_v200_N33E072_Map.tif,raster,EPSG:4326,36000x36000 (b=1),"0.000083, 0.000083",0.0,100.0,"(72.000, 33.000, 75.000, 36.000)",153200236,2026-07-28T09:16:19.852106+00:00,bab51186f085bf40... (8k),AVAILABLE & VALIDATED,True,N/A
Authoritative NH-44 Segments,data\processed\corridor\nh44_segments_500m_final.parquet,vector,"{""$schema"": ""https://proj.org/schemas/v0.7/projjson.schema.json"", ""type"": ""GeographicCRS"", ""name"": ""WGS 84"", ""datum_ensemble"": {""name"": ""World Geodetic System 1984 ensemble"", ""members"": [{""name"": ""World Geodetic System 1984 (Transit)""}, {""name"": ""World Geodetic System 1984 (G730)""}, {""name"": ""World Geodetic System 1984 (G873)""}, {""name"": ""World Geodetic System 1984 (G1150)""}, {""name"": ""World Geodetic System 1984 (G1674)""}, {""name"": ""World Geodetic System 1984 (G1762)""}, {""name"": ""World Geodetic System 1984 (G2139)""}, {""name"": ""World Geodetic System 1984 (G2296)""}], ""ellipsoid"": {""name"": ""WGS 84"", ""semi_major_axis"": 6378137, ""inverse_flattening"": 298.257223563}, ""accuracy"": ""2.0"", ""id"": {""authority"": ""EPSG"", ""code"": 6326}}, ""coordinate_system"": {""subtype"": ""ellipsoidal"", ""axis"": [{""name"": ""Geodetic latitude"", ""abbreviation"": ""Lat"", ""direction"": ""north"", ""unit"": ""degree""}, {""name"": ""Geodetic longitude"", ""abbreviation"": ""Lon"", ""direction"": ""east"", ""unit"": ""degree""}]}, ""scope"": ""Horizontal component of 3D system."", ""area"": ""World."", ""bbox"": {""south_latitude"": -90, ""west_longitude"": -180, ""north_latitude"": 90, ""east_longitude"": 180}, ""id"": {""authority"": ""EPSG"", ""code"": 4326}}",158 features,N/A,N/A,100.0,"(75.171, 32.991, 75.310, 33.467)",77693,2026-08-06T07:10:37.821641+00:00,79269822c5df898c... (8k),AVAILABLE & VALIDATED,True,N/A
Districts Boundary,data\processed\boundaries\jk_districts.geojson,vector,EPSG:4326,20 features,N/A,N/A,100.0,"(73.491, 32.276, 76.779, 34.925)",970109,2026-07-28T21:01:13.836711+00:00,df87678adc6a0b25... (8k),AVAILABLE & VALIDATED,True,N/A
