segment_id,elevation_coverage_pct,slope_coverage_pct,aspect_coverage_pct,hillshade_coverage_pct,susceptibility_coverage_pct,landcover_coverage_pct,geology_coverage_pct,overall_coverage_flag
NH44_SEG_001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_002,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_003,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_004,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_005,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_006,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_007,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_008,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_009,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_010,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_011,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_012,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_013,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_014,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_015,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_016,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_017,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_018,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_019,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_020,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_021,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_022,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_023,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_024,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_025,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_026,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_027,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_028,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_029,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_030,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_031,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_032,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_033,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_034,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_035,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_036,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_037,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_038,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_039,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_040,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_041,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_042,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_043,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_044,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_045,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_046,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
