feature_column,data_type,units,category,description
segment_id,str,metres,Identification,Extracted static geospatial metric: segment id across 100m segment buffer.
segment_index,int64,metres,Identification,Extracted static geospatial metric: segment index across 100m segment buffer.
chainage_start_m,float64,metres,Identification,Extracted static geospatial metric: chainage start m across 100m segment buffer.
chainage_end_m,float64,metres,Identification,Extracted static geospatial metric: chainage end m across 100m segment buffer.
chainage_mid_m,float64,metres,Identification,Extracted static geospatial metric: chainage mid m across 100m segment buffer.
length_m,float64,metres,Identification,Extracted static geospatial metric: length m across 100m segment buffer.
is_residual_segment,bool,metres,Identification,Extracted static geospatial metric: is residual segment across 100m segment buffer.
start_longitude,float64,count / text,Identification,Extracted static geospatial metric: start longitude across 100m segment buffer.
start_latitude,float64,count / text,Identification,Extracted static geospatial metric: start latitude across 100m segment buffer.
end_longitude,float64,count / text,Identification,Extracted static geospatial metric: end longitude across 100m segment buffer.
end_latitude,float64,count / text,Identification,Extracted static geospatial metric: end latitude across 100m segment buffer.
midpoint_longitude,float64,metres,Identification,Extracted static geospatial metric: midpoint longitude across 100m segment buffer.
midpoint_latitude,float64,metres,Identification,Extracted static geospatial metric: midpoint latitude across 100m segment buffer.
district_name,str,metres,Identification,Extracted static geospatial metric: district name across 100m segment buffer.
analysis_buffer_m,int64,metres,Identification,Extracted static geospatial metric: analysis buffer m across 100m segment buffer.
elevation_min_m,object,metres,Terrain,Extracted static geospatial metric: elevation min m across 100m segment buffer.
elevation_max_m,object,metres,Terrain,Extracted static geospatial metric: elevation max m across 100m segment buffer.
elevation_mean_m,object,metres,Terrain,Extracted static geospatial metric: elevation mean m across 100m segment buffer.
elevation_median_m,object,metres,Terrain,Extracted static geospatial metric: elevation median m across 100m segment buffer.
elevation_std_m,object,metres,Terrain,Extracted static geospatial metric: elevation std m across 100m segment buffer.
elevation_range_m,object,metres,Terrain,Extracted static geospatial metric: elevation range m across 100m segment buffer.
elevation_p90_m,object,metres,Terrain,Extracted static geospatial metric: elevation p90 m across 100m segment buffer.
slope_min_deg,object,metres,Terrain,Extracted static geospatial metric: slope min deg across 100m segment buffer.
slope_max_deg,object,metres,Terrain,Extracted static geospatial metric: slope max deg across 100m segment buffer.
slope_mean_deg,object,metres,Terrain,Extracted static geospatial metric: slope mean deg across 100m segment buffer.
slope_median_deg,object,metres,Terrain,Extracted static geospatial metric: slope median deg across 100m segment buffer.
slope_std_deg,object,degrees,Terrain,Extracted static geospatial metric: slope std deg across 100m segment buffer.
slope_p90_deg,object,degrees,Terrain,Extracted static geospatial metric: slope p90 deg across 100m segment buffer.
slope_pct_above_15deg,object,degrees,Terrain,Extracted static geospatial metric: slope pct above 15deg across 100m segment buffer.
slope_pct_above_25deg,object,degrees,Terrain,Extracted static geospatial metric: slope pct above 25deg across 100m segment buffer.
slope_pct_above_35deg,object,degrees,Terrain,Extracted static geospatial metric: slope pct above 35deg across 100m segment buffer.
aspect_circular_mean_deg,object,metres,Terrain,Extracted static geospatial metric: aspect circular mean deg across 100m segment buffer.
