feature_column,source_dataset,extraction_method,crs_processing,provenance_status
segment_id,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
segment_index,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
chainage_start_m,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
chainage_end_m,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
chainage_mid_m,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
length_m,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
is_residual_segment,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
start_longitude,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
start_latitude,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
end_longitude,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
end_latitude,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
midpoint_longitude,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
midpoint_latitude,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
district_name,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
analysis_buffer_m,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
elevation_min_m,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
elevation_max_m,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
elevation_mean_m,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
elevation_median_m,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
elevation_std_m,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
elevation_range_m,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
elevation_p90_m,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
slope_min_deg,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
slope_max_deg,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
slope_mean_deg,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
slope_median_deg,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
