feature_name,feature_family,final_status,selected_for_component,component,exclusion_reason,correlation_cluster,mathematical_dependency,interpretation_only,confidence_only,validation_only,direction_of_concern,direction_scientifically_monotonic,source,unit
elevation_min_m,Terrain,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,1,True,Extracted static geospatial metric: elevation min m across 100m segment buffer.,metres
elevation_max_m,Terrain,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,1,True,Extracted static geospatial metric: elevation max m across 100m segment buffer.,metres
elevation_mean_m,Terrain,RETAINED_PHYSICAL_COMPONENT,True,PHYSICAL_COMPONENT,Selected primary physical condition feature,N/A,False,False,False,False,1,False,Extracted static geospatial metric: elevation mean m across 100m segment buffer.,metres
elevation_median_m,Terrain,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,1,True,Extracted static geospatial metric: elevation median m across 100m segment buffer.,metres
elevation_std_m,Terrain,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,1,True,Extracted static geospatial metric: elevation std m across 100m segment buffer.,metres
elevation_range_m,Terrain,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,1,True,Extracted static geospatial metric: elevation range m across 100m segment buffer.,metres
elevation_p90_m,Terrain,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,1,True,Extracted static geospatial metric: elevation p90 m across 100m segment buffer.,metres
slope_min_deg,Terrain,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,1,True,Extracted static geospatial metric: slope min deg across 100m segment buffer.,metres
slope_max_deg,Terrain,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,1,True,Extracted static geospatial metric: slope max deg across 100m segment buffer.,metres
slope_mean_deg,Terrain,RETAINED_PHYSICAL_COMPONENT,True,PHYSICAL_COMPONENT,Selected primary physical condition feature,N/A,False,False,False,False,1,True,Extracted static geospatial metric: slope mean deg across 100m segment buffer.,metres
slope_median_deg,Terrain,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,1,True,Extracted static geospatial metric: slope median deg across 100m segment buffer.,metres
slope_std_deg,Terrain,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,1,True,Extracted static geospatial metric: slope std deg across 100m segment buffer.,degrees
slope_p90_deg,Terrain,RETAINED_PHYSICAL_COMPONENT,True,PHYSICAL_COMPONENT,Selected primary physical condition feature,N/A,False,False,False,False,1,True,Extracted static geospatial metric: slope p90 deg across 100m segment buffer.,degrees
slope_pct_above_15deg,Terrain,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,1,True,Extracted static geospatial metric: slope pct above 15deg across 100m segment buffer.,degrees
slope_pct_above_25deg,Terrain,RETAINED_PHYSICAL_COMPONENT,True,PHYSICAL_COMPONENT,Selected primary physical condition feature,N/A,False,False,False,False,1,True,Extracted static geospatial metric: slope pct above 25deg across 100m segment buffer.,degrees
slope_pct_above_35deg,Terrain,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,1,True,Extracted static geospatial metric: slope pct above 35deg across 100m segment buffer.,degrees
aspect_circular_mean_deg,Terrain,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,1,True,Extracted static geospatial metric: aspect circular mean deg across 100m segment buffer.,metres
aspect_north_fraction,Terrain,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,1,True,Extracted static geospatial metric: aspect north fraction across 100m segment buffer.,fraction [0-1]
aspect_east_fraction,Terrain,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,1,True,Extracted static geospatial metric: aspect east fraction across 100m segment buffer.,fraction [0-1]
aspect_south_fraction,Terrain,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,1,True,Extracted static geospatial metric: aspect south fraction across 100m segment buffer.,fraction [0-1]
aspect_west_fraction,Terrain,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,1,True,Extracted static geospatial metric: aspect west fraction across 100m segment buffer.,fraction [0-1]
aspect_dominant_class,Terrain,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,1,True,Extracted static geospatial metric: aspect dominant class across 100m segment buffer.,metres
hillshade_mean,Terrain,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,1,True,Extracted static geospatial metric: hillshade mean across 100m segment buffer.,metres
