feature_name,unique_values_count,ties_count,min_percentile,max_percentile,effective_resolution,outlier_sensitivity
susceptibility_mean_prob,0,158,0.63,100.0,Continuous empirical percentile rank,ROBUST (Controlled via Median & MAD Z-Scores)
susceptibility_max_prob,0,158,0.63,100.0,Continuous empirical percentile rank,ROBUST (Controlled via Median & MAD Z-Scores)
susceptibility_pct_high_very_high,0,158,0.63,100.0,Continuous empirical percentile rank,ROBUST (Controlled via Median & MAD Z-Scores)
slope_mean_deg,0,158,0.63,100.0,Continuous empirical percentile rank,ROBUST (Controlled via Median & MAD Z-Scores)
slope_p90_deg,0,158,0.63,100.0,Continuous empirical percentile rank,ROBUST (Controlled via Median & MAD Z-Scores)
slope_pct_above_25deg,0,158,0.63,100.0,Continuous empirical percentile rank,ROBUST (Controlled via Median & MAD Z-Scores)
elevation_mean_m,0,158,0.63,100.0,Continuous empirical percentile rank,ROBUST (Controlled via Median & MAD Z-Scores)
fault_distance_nearest_m,158,0,0.63,100.0,Continuous empirical percentile rank,ROBUST (Controlled via Median & MAD Z-Scores)
fault_distance_active_m,158,0,0.63,100.0,Continuous empirical percentile rank,ROBUST (Controlled via Median & MAD Z-Scores)
geology_lithological_diversity_count,3,155,0.63,100.0,Continuous empirical percentile rank,ROBUST (Controlled via Median & MAD Z-Scores)
drainage_distance_min_m,15,143,0.63,100.0,Continuous empirical percentile rank,ROBUST (Controlled via Median & MAD Z-Scores)
drainage_distance_mean_m,15,143,0.63,100.0,Continuous empirical percentile rank,ROBUST (Controlled via Median & MAD Z-Scores)
landcover_bareground_fraction,1,157,0.63,100.0,Continuous empirical percentile rank,ROBUST (Controlled via Median & MAD Z-Scores)
landcover_forest_fraction,1,157,0.63,100.0,Continuous empirical percentile rank,ROBUST (Controlled via Median & MAD Z-Scores)
