feature_name,feature_family,redundancy_classification,audit_justification
segment_id,IDENTIFIER_OR_METADATA,EXCLUDED,Metadata/Identifier field
segment_index,IDENTIFIER_OR_METADATA,EXCLUDED,Metadata/Identifier field
chainage_start_m,IDENTIFIER_OR_METADATA,EXCLUDED,Metadata/Identifier field
chainage_end_m,IDENTIFIER_OR_METADATA,EXCLUDED,Metadata/Identifier field
chainage_mid_m,IDENTIFIER_OR_METADATA,EXCLUDED,Metadata/Identifier field
length_m,IDENTIFIER_OR_METADATA,EXCLUDED,Metadata/Identifier field
is_residual_segment,IDENTIFIER_OR_METADATA,EXCLUDED,Metadata/Identifier field
start_longitude,IDENTIFIER_OR_METADATA,EXCLUDED,Metadata/Identifier field
start_latitude,IDENTIFIER_OR_METADATA,EXCLUDED,Metadata/Identifier field
end_longitude,IDENTIFIER_OR_METADATA,EXCLUDED,Metadata/Identifier field
end_latitude,IDENTIFIER_OR_METADATA,EXCLUDED,Metadata/Identifier field
midpoint_longitude,IDENTIFIER_OR_METADATA,EXCLUDED,Metadata/Identifier field
midpoint_latitude,IDENTIFIER_OR_METADATA,EXCLUDED,Metadata/Identifier field
district_name,IDENTIFIER_OR_METADATA,EXCLUDED,Metadata/Identifier field
analysis_buffer_m,IDENTIFIER_OR_METADATA,EXCLUDED,Metadata/Identifier field
elevation_min_m,TERRAIN_SEVERITY,REDUNDANT,Represented by elevation_mean_m
elevation_max_m,TERRAIN_SEVERITY,REDUNDANT,Represented by elevation_mean_m
elevation_mean_m,TERRAIN_SEVERITY,RETAIN_CANDIDATE,Selected primary physical candidate variable
elevation_median_m,TERRAIN_SEVERITY,REDUNDANT,Represented by elevation_mean_m
elevation_std_m,TERRAIN_SEVERITY,RETAIN_CANDIDATE,Selected primary physical candidate variable
elevation_range_m,TERRAIN_SEVERITY,REDUNDANT,Represented by elevation_mean_m
elevation_p90_m,TERRAIN_SEVERITY,REDUNDANT,Represented by elevation_mean_m
slope_min_deg,TERRAIN_SEVERITY,REDUNDANT,"Represented by slope_mean_deg, slope_p90_deg and slope_pct_above_25deg"
slope_max_deg,TERRAIN_SEVERITY,REDUNDANT,"Represented by slope_mean_deg, slope_p90_deg and slope_pct_above_25deg"
slope_mean_deg,TERRAIN_SEVERITY,RETAIN_CANDIDATE,Selected primary physical candidate variable
slope_median_deg,TERRAIN_SEVERITY,REDUNDANT,"Represented by slope_mean_deg, slope_p90_deg and slope_pct_above_25deg"
slope_std_deg,TERRAIN_SEVERITY,REDUNDANT,"Represented by slope_mean_deg, slope_p90_deg and slope_pct_above_25deg"
slope_p90_deg,TERRAIN_SEVERITY,RETAIN_CANDIDATE,Selected primary physical candidate variable
slope_pct_above_15deg,TERRAIN_SEVERITY,REDUNDANT,"Represented by slope_mean_deg, slope_p90_deg and slope_pct_above_25deg"
slope_pct_above_25deg,TERRAIN_SEVERITY,RETAIN_CANDIDATE,Selected primary physical candidate variable
slope_pct_above_35deg,TERRAIN_SEVERITY,REDUNDANT,"Represented by slope_mean_deg, slope_p90_deg and slope_pct_above_25deg"
aspect_circular_mean_deg,TERRAIN_SEVERITY,RETAIN_CANDIDATE,Selected primary physical candidate variable
aspect_north_fraction,TERRAIN_SEVERITY,RETAIN_CANDIDATE,Selected primary physical candidate variable
aspect_east_fraction,TERRAIN_SEVERITY,RETAIN_CANDIDATE,Selected primary physical candidate variable
aspect_south_fraction,TERRAIN_SEVERITY,RETAIN_CANDIDATE,Selected primary physical candidate variable
aspect_west_fraction,TERRAIN_SEVERITY,RETAIN_CANDIDATE,Selected primary physical candidate variable
aspect_dominant_class,TERRAIN_SEVERITY,RETAIN_CANDIDATE,Selected primary physical candidate variable
hillshade_mean,TERRAIN_SEVERITY,RETAIN_CANDIDATE,Selected primary physical candidate variable
hillshade_median,TERRAIN_SEVERITY,RETAIN_CANDIDATE,Selected primary physical candidate variable
hillshade_std,TERRAIN_SEVERITY,RETAIN_CANDIDATE,Selected primary physical candidate variable
susceptibility_min_prob,STATIC_SUSCEPTIBILITY,RETAIN_CANDIDATE,Selected primary physical candidate variable
susceptibility_max_prob,STATIC_SUSCEPTIBILITY,RETAIN_CANDIDATE,Selected primary physical candidate variable
susceptibility_mean_prob,STATIC_SUSCEPTIBILITY,RETAIN_CANDIDATE,Selected primary physical candidate variable
susceptibility_median_prob,STATIC_SUSCEPTIBILITY,REDUNDANT,"Represented by mean probability, max probability and high/very-high fraction"
susceptibility_std_prob,STATIC_SUSCEPTIBILITY,RETAIN_CANDIDATE,Selected primary physical candidate variable
susceptibility_p75_prob,STATIC_SUSCEPTIBILITY,REDUNDANT,"Represented by mean probability, max probability and high/very-high fraction"
susceptibility_p90_prob,STATIC_SUSCEPTIBILITY,RETAIN_CANDIDATE,Selected primary physical candidate variable
susceptibility_p95_prob,STATIC_SUSCEPTIBILITY,RETAIN_CANDIDATE,Selected primary physical candidate variable
susceptibility_very_low_fraction,STATIC_SUSCEPTIBILITY,REDUNDANT,"Represented by mean probability, max probability and high/very-high fraction"
susceptibility_low_fraction,STATIC_SUSCEPTIBILITY,REDUNDANT,"Represented by mean probability, max probability and high/very-high fraction"
susceptibility_moderate_fraction,STATIC_SUSCEPTIBILITY,REDUNDANT,"Represented by mean probability, max probability and high/very-high fraction"
susceptibility_high_fraction,STATIC_SUSCEPTIBILITY,RETAIN_CANDIDATE,Selected primary physical candidate variable
susceptibility_very_high_fraction,STATIC_SUSCEPTIBILITY,RETAIN_CANDIDATE,Selected primary physical candidate variable
susceptibility_dominant_class,STATIC_SUSCEPTIBILITY,RETAIN_CANDIDATE,Selected primary physical candidate variable
susceptibility_pct_high_very_high,STATIC_SUSCEPTIBILITY,RETAIN_CANDIDATE,Selected primary physical candidate variable
susceptibility_max_contiguous_high_len_m,STATIC_SUSCEPTIBILITY,RETAIN_CANDIDATE,Selected primary physical candidate variable
landcover_dominant_class,SURFACE_AND_DRAINAGE_CONTEXT,RETAIN_CANDIDATE,Selected primary physical candidate variable
landcover_builtup_fraction,SURFACE_AND_DRAINAGE_CONTEXT,INTERPRETATION_ONLY,Minor land-cover class fractions preserved for descriptive context
landcover_cropland_fraction,SURFACE_AND_DRAINAGE_CONTEXT,INTERPRETATION_ONLY,Minor land-cover class fractions preserved for descriptive context
landcover_forest_fraction,SURFACE_AND_DRAINAGE_CONTEXT,RETAIN_CANDIDATE,Selected primary physical candidate variable
landcover_grassland_fraction,SURFACE_AND_DRAINAGE_CONTEXT,INTERPRETATION_ONLY,Minor land-cover class fractions preserved for descriptive context
landcover_bareground_fraction,SURFACE_AND_DRAINAGE_CONTEXT,RETAIN_CANDIDATE,Selected primary physical candidate variable
landcover_water_fraction,SURFACE_AND_DRAINAGE_CONTEXT,INTERPRETATION_ONLY,Minor land-cover class fractions preserved for descriptive context
landcover_snow_ice_fraction,SURFACE_AND_DRAINAGE_CONTEXT,INTERPRETATION_ONLY,Minor land-cover class fractions preserved for descriptive context
geology_dominant_lithology,GEOLOGICAL_CONTEXT,RETAIN_CANDIDATE,Selected primary physical candidate variable
geology_lithological_diversity_count,GEOLOGICAL_CONTEXT,RETAIN_CANDIDATE,Selected primary physical candidate variable
geology_overlap_pct,GEOLOGICAL_CONTEXT,RETAIN_CANDIDATE,Selected primary physical candidate variable
fault_distance_nearest_m,GEOLOGICAL_CONTEXT,RETAIN_CANDIDATE,Selected primary physical candidate variable
fault_intersection_count,GEOLOGICAL_CONTEXT,RETAIN_CANDIDATE,Selected primary physical candidate variable
fault_density_100m_m_per_sqkm,GEOLOGICAL_CONTEXT,RETAIN_CANDIDATE,Selected primary physical candidate variable
fault_density_250m_m_per_sqkm,GEOLOGICAL_CONTEXT,RETAIN_CANDIDATE,Selected primary physical candidate variable
fault_distance_active_m,GEOLOGICAL_CONTEXT,RETAIN_CANDIDATE,Selected primary physical candidate variable
fault_active_intersection_count,GEOLOGICAL_CONTEXT,RETAIN_CANDIDATE,Selected primary physical candidate variable
drainage_distance_min_m,SURFACE_AND_DRAINAGE_CONTEXT,RETAIN_CANDIDATE,Selected primary physical candidate variable
drainage_distance_mean_m,SURFACE_AND_DRAINAGE_CONTEXT,RETAIN_CANDIDATE,Selected primary physical candidate variable
drainage_intersection_count,SURFACE_AND_DRAINAGE_CONTEXT,RETAIN_CANDIDATE,Selected primary physical candidate variable
drainage_density_100m_m_per_sqkm,SURFACE_AND_DRAINAGE_CONTEXT,RETAIN_CANDIDATE,Selected primary physical candidate variable
road_distance_min_m,SURFACE_AND_DRAINAGE_CONTEXT,RETAIN_CANDIDATE,Selected primary physical candidate variable
road_intersection_count,SURFACE_AND_DRAINAGE_CONTEXT,RETAIN_CANDIDATE,Selected primary physical candidate variable
road_density_m_per_sqkm,SURFACE_AND_DRAINAGE_CONTEXT,RETAIN_CANDIDATE,Selected primary physical candidate variable
road_cut_exposure_proxy,SURFACE_AND_DRAINAGE_CONTEXT,RETAIN_CANDIDATE,Selected primary physical candidate variable
structure_open_road_length_m,SURFACE_AND_DRAINAGE_CONTEXT,RETAIN_CANDIDATE,Selected primary physical candidate variable
structure_tunnel_length_m,ROAD_STRUCTURE_CONTEXT,RETAIN_CANDIDATE,Selected primary physical candidate variable
structure_bridge_length_m,ROAD_STRUCTURE_CONTEXT,RETAIN_CANDIDATE,Selected primary physical candidate variable
structure_open_road_fraction,SURFACE_AND_DRAINAGE_CONTEXT,MATHEMATICALLY_DEPENDENT,Derived directly from structure length variables (sum to 1.0)
structure_tunnel_fraction,ROAD_STRUCTURE_CONTEXT,MATHEMATICALLY_DEPENDENT,Derived directly from structure length variables (sum to 1.0)
structure_bridge_fraction,ROAD_STRUCTURE_CONTEXT,MATHEMATICALLY_DEPENDENT,Derived directly from structure length variables (sum to 1.0)
structure_dominant_type,ROAD_STRUCTURE_CONTEXT,RETAIN_CANDIDATE,Selected primary physical candidate variable
structure_mixed_flag,ROAD_STRUCTURE_CONTEXT,MATHEMATICALLY_DEPENDENT,Derived directly from structure length variables (sum to 1.0)
structure_boundary_crossing_flag,ROAD_STRUCTURE_CONTEXT,MATHEMATICALLY_DEPENDENT,Derived directly from structure length variables (sum to 1.0)
valid_coverage_pct,IDENTIFIER_OR_METADATA,EXCLUDED,Metadata/Identifier field
coverage_quality_flag,IDENTIFIER_OR_METADATA,EXCLUDED,Metadata/Identifier field
