feature_name,concern_direction,median,mad,min_raw,max_raw
susceptibility_mean_prob,1,0.0,1.0,0.0,0.0
susceptibility_max_prob,1,0.0,1.0,0.0,0.0
susceptibility_pct_high_very_high,1,0.0,1.0,0.0,0.0
slope_mean_deg,1,0.0,1.0,0.0,0.0
slope_p90_deg,1,0.0,1.0,0.0,0.0
slope_pct_above_25deg,1,0.0,1.0,0.0,0.0
elevation_mean_m,1,0.0,1.0,0.0,0.0
fault_distance_nearest_m,-1,33811.16,4479.48,14349.76,41452.45
fault_distance_active_m,-1,36311.16,4479.48,16849.76,43952.45
geology_lithological_diversity_count,1,1.0,0.0001,1.0,3.0
drainage_distance_min_m,-1,190.0,40.0,120.0,260.0
landcover_bareground_fraction,1,0.04,0.0001,0.04,0.04
landcover_forest_fraction,1,0.6,0.0001,0.6,0.6
structure_tunnel_length_m,1,0.0,0.0001,0.0,500.0
