segment_id,chainage_mid_m,is_pareto_front_member,pareto_classification,susceptibility_score,terrain_score,geology_score,surface_drainage_score
NH44_SEG_001,250.0,True,MULTI_COMPONENT_ELEVATED_PROFILE,50.0,50.0,100.0,50.32
NH44_SEG_002,750.0,False,DOMINATED,50.0,50.0,99.37,50.32
NH44_SEG_003,1250.0,False,DOMINATED,50.0,50.0,98.73,50.32
NH44_SEG_004,1750.0,False,DOMINATED,50.0,50.0,98.1,50.32
NH44_SEG_005,2250.0,False,DOMINATED,50.0,50.0,97.47,50.32
NH44_SEG_006,2750.0,False,DOMINATED,50.0,50.0,96.84,50.32
NH44_SEG_007,3250.0,False,DOMINATED,50.0,50.0,96.2,50.32
NH44_SEG_008,3750.0,False,DOMINATED,50.0,50.0,95.57,50.32
NH44_SEG_009,4250.0,False,DOMINATED,50.0,50.0,94.94,50.32
NH44_SEG_010,4750.0,False,DOMINATED,50.0,50.0,94.3,50.32
NH44_SEG_011,5250.0,False,DOMINATED,50.0,50.0,93.67,50.32
NH44_SEG_012,5750.0,False,DOMINATED,50.0,50.0,93.04,50.32
NH44_SEG_013,6250.0,False,DOMINATED,50.0,50.0,92.41,50.32
NH44_SEG_014,6750.0,False,DOMINATED,50.0,50.0,91.77,50.32
NH44_SEG_015,7250.0,False,DOMINATED,50.0,50.0,91.14,50.32
NH44_SEG_016,7750.0,False,DOMINATED,50.0,50.0,90.51,50.32
NH44_SEG_017,8250.0,False,DOMINATED,50.0,50.0,89.87,50.32
NH44_SEG_018,8750.0,False,DOMINATED,50.0,50.0,89.24,50.32
NH44_SEG_019,9250.0,False,DOMINATED,50.0,50.0,88.61,50.32
NH44_SEG_020,9750.0,False,DOMINATED,50.0,50.0,87.97,50.32
NH44_SEG_021,10250.0,False,DOMINATED,50.0,50.0,87.34,50.32
NH44_SEG_022,10750.0,False,DOMINATED,50.0,50.0,86.71,50.32
NH44_SEG_023,11250.0,False,DOMINATED,50.0,50.0,86.08,50.32
NH44_SEG_024,11750.0,False,DOMINATED,50.0,50.0,85.44,50.32
NH44_SEG_025,12250.0,False,DOMINATED,50.0,50.0,84.81,50.32
NH44_SEG_026,12750.0,False,DOMINATED,50.0,50.0,84.18,50.32
NH44_SEG_027,13250.0,False,DOMINATED,50.0,50.0,83.54,50.32
NH44_SEG_028,13750.0,False,DOMINATED,50.0,50.0,82.91,50.32
NH44_SEG_029,14250.0,False,DOMINATED,50.0,50.0,82.28,50.32
NH44_SEG_030,14750.0,False,DOMINATED,50.0,50.0,81.65,50.32
NH44_SEG_031,15250.0,False,DOMINATED,50.0,50.0,81.01,50.32
NH44_SEG_032,15750.0,False,DOMINATED,50.0,50.0,80.38,50.32
NH44_SEG_033,16250.0,False,DOMINATED,50.0,50.0,79.75,50.32
NH44_SEG_034,16750.0,False,DOMINATED,50.0,50.0,79.11,50.32
NH44_SEG_035,17250.0,False,DOMINATED,50.0,50.0,78.48,50.32
NH44_SEG_036,17750.0,False,DOMINATED,50.0,50.0,77.85,50.32
NH44_SEG_037,18250.0,False,DOMINATED,50.0,50.0,77.22,50.32
NH44_SEG_038,18750.0,False,DOMINATED,50.0,50.0,76.58,50.32
NH44_SEG_039,19250.0,False,DOMINATED,50.0,50.0,75.95,50.32
NH44_SEG_040,19750.0,False,DOMINATED,50.0,50.0,75.32,50.32
NH44_SEG_041,20250.0,False,DOMINATED,50.0,50.0,74.68,50.32
NH44_SEG_042,20750.0,False,DOMINATED,50.0,50.0,74.05,50.32
NH44_SEG_043,21250.0,False,DOMINATED,50.0,50.0,73.42,50.32
NH44_SEG_044,21750.0,False,DOMINATED,50.0,50.0,72.78,50.32
NH44_SEG_045,22250.0,False,DOMINATED,50.0,50.0,72.15,50.32
NH44_SEG_046,22750.0,False,DOMINATED,50.0,50.0,71.52,50.32
NH44_SEG_047,23250.0,False,DOMINATED,50.0,50.0,70.89,50.32
NH44_SEG_048,23750.0,False,DOMINATED,50.0,50.0,65.19,50.32
NH44_SEG_049,24250.0,False,DOMINATED,50.0,50.0,60.76,50.32
NH44_SEG_050,24750.0,False,DOMINATED,50.0,50.0,57.59,50.32
NH44_SEG_051,25250.0,False,DOMINATED,50.0,50.0,56.33,50.32
NH44_SEG_052,25750.0,False,DOMINATED,50.0,50.0,58.86,50.32
NH44_SEG_053,26250.0,False,DOMINATED,50.0,50.0,61.39,50.32
NH44_SEG_054,26750.0,False,DOMINATED,50.0,50.0,64.56,50.32
NH44_SEG_055,27250.0,False,DOMINATED,50.0,50.0,65.82,50.32
NH44_SEG_056,27750.0,False,DOMINATED,50.0,50.0,63.92,50.32
NH44_SEG_057,28250.0,False,DOMINATED,50.0,50.0,59.49,50.32
NH44_SEG_058,28750.0,False,DOMINATED,50.0,50.0,60.13,50.32
NH44_SEG_059,29250.0,False,DOMINATED,50.0,50.0,62.66,50.32
NH44_SEG_060,29750.0,False,DOMINATED,50.0,50.0,63.29,50.32
NH44_SEG_061,30250.0,False,DOMINATED,50.0,50.0,67.09,50.32
NH44_SEG_062,30750.0,False,DOMINATED,50.0,50.0,68.35,50.32
NH44_SEG_063,31250.0,False,DOMINATED,50.0,50.0,69.62,50.32
NH44_SEG_064,31750.0,False,DOMINATED,50.0,50.0,70.25,50.32
NH44_SEG_065,32250.0,False,DOMINATED,50.0,50.0,68.99,50.32
NH44_SEG_066,32750.0,False,DOMINATED,50.0,50.0,67.72,50.32
NH44_SEG_067,33250.0,False,DOMINATED,50.0,50.0,66.46,50.32
NH44_SEG_068,33750.0,False,DOMINATED,50.0,50.0,62.03,50.32
NH44_SEG_069,34250.0,False,DOMINATED,50.0,50.0,58.23,50.32
NH44_SEG_070,34750.0,False,DOMINATED,50.0,50.0,56.96,50.32
NH44_SEG_071,35250.0,False,DOMINATED,50.0,50.0,55.06,50.32
NH44_SEG_072,35750.0,False,DOMINATED,50.0,50.0,55.7,50.32
NH44_SEG_073,36250.0,False,DOMINATED,50.0,50.0,54.43,50.32
NH44_SEG_074,36750.0,False,DOMINATED,50.0,50.0,53.8,50.32
NH44_SEG_075,37250.0,False,DOMINATED,50.0,50.0,53.16,50.32
NH44_SEG_076,37750.0,False,DOMINATED,50.0,50.0,52.53,50.32
NH44_SEG_077,38250.0,False,DOMINATED,50.0,50.0,51.9,50.32
NH44_SEG_078,38750.0,False,DOMINATED,50.0,50.0,51.27,50.32
NH44_SEG_079,39250.0,False,DOMINATED,50.0,50.0,50.63,50.32
NH44_SEG_080,39750.0,False,DOMINATED,50.0,50.0,43.67,50.32
NH44_SEG_081,40250.0,False,DOMINATED,50.0,50.0,39.24,50.32
NH44_SEG_082,40750.0,False,DOMINATED,50.0,50.0,41.14,50.32
NH44_SEG_083,41250.0,False,DOMINATED,50.0,50.0,45.57,50.32
NH44_SEG_084,41750.0,False,DOMINATED,50.0,50.0,46.84,50.32
NH44_SEG_085,42250.0,False,DOMINATED,50.0,50.0,49.37,50.32
NH44_SEG_086,42750.0,False,DOMINATED,50.0,50.0,50.0,50.32
NH44_SEG_087,43250.0,False,DOMINATED,50.0,50.0,47.47,50.32
NH44_SEG_088,43750.0,False,DOMINATED,50.0,50.0,44.94,50.32
NH44_SEG_089,44250.0,False,DOMINATED,50.0,50.0,44.3,50.32
NH44_SEG_090,44750.0,False,DOMINATED,50.0,50.0,46.2,50.32
NH44_SEG_091,45250.0,False,DOMINATED,50.0,50.0,48.73,50.32
NH44_SEG_092,45750.0,False,DOMINATED,50.0,50.0,48.1,50.32
NH44_SEG_093,46250.0,False,DOMINATED,50.0,50.0,42.41,50.32
NH44_SEG_094,46750.0,False,DOMINATED,50.0,50.0,41.77,50.32
NH44_SEG_095,47250.0,False,DOMINATED,50.0,50.0,39.87,50.32
NH44_SEG_096,47750.0,False,DOMINATED,50.0,50.0,40.51,50.32
NH44_SEG_097,48250.0,False,DOMINATED,50.0,50.0,43.04,50.32
NH44_SEG_098,48750.0,False,DOMINATED,50.0,50.0,38.61,50.32
NH44_SEG_099,49250.0,False,DOMINATED,50.0,50.0,37.97,50.32
NH44_SEG_100,49750.0,False,DOMINATED,50.0,50.0,37.34,50.32
NH44_SEG_101,50250.0,False,DOMINATED,50.0,50.0,36.71,50.32
NH44_SEG_102,50750.0,False,DOMINATED,50.0,50.0,36.08,50.32
NH44_SEG_103,51250.0,False,DOMINATED,50.0,50.0,35.44,50.32
NH44_SEG_104,51750.0,False,DOMINATED,50.0,50.0,34.81,50.32
NH44_SEG_105,52250.0,False,DOMINATED,50.0,50.0,34.18,50.32
NH44_SEG_106,52750.0,False,DOMINATED,50.0,50.0,33.54,50.32
NH44_SEG_107,53250.0,False,DOMINATED,50.0,50.0,32.91,50.32
NH44_SEG_108,53750.0,False,DOMINATED,50.0,50.0,32.28,50.32
NH44_SEG_109,54250.0,False,DOMINATED,50.0,50.0,31.65,50.32
NH44_SEG_110,54750.0,False,DOMINATED,50.0,50.0,31.01,50.32
NH44_SEG_111,55250.0,False,DOMINATED,50.0,50.0,27.85,50.32
NH44_SEG_112,55750.0,False,DOMINATED,50.0,50.0,25.32,50.32
NH44_SEG_113,56250.0,False,DOMINATED,50.0,50.0,25.95,50.32
NH44_SEG_114,56750.0,False,DOMINATED,50.0,50.0,27.22,50.32
NH44_SEG_115,57250.0,False,DOMINATED,50.0,50.0,29.11,50.32
NH44_SEG_116,57750.0,False,DOMINATED,50.0,50.0,29.75,50.32
NH44_SEG_117,58250.0,False,DOMINATED,50.0,50.0,30.38,50.32
NH44_SEG_118,58750.0,False,DOMINATED,50.0,50.0,28.48,50.32
NH44_SEG_119,59250.0,False,DOMINATED,50.0,50.0,26.58,50.32
NH44_SEG_120,59750.0,False,DOMINATED,50.0,50.0,22.15,50.32
NH44_SEG_121,60250.0,False,DOMINATED,50.0,50.0,17.09,50.32
NH44_SEG_122,60750.0,False,DOMINATED,50.0,50.0,13.29,50.32
NH44_SEG_123,61250.0,False,DOMINATED,50.0,50.0,10.76,50.32
NH44_SEG_124,61750.0,False,DOMINATED,50.0,50.0,9.49,50.32
NH44_SEG_125,62250.0,False,DOMINATED,50.0,50.0,7.59,50.32
NH44_SEG_126,62750.0,False,DOMINATED,50.0,50.0,6.96,50.32
NH44_SEG_127,63250.0,False,DOMINATED,50.0,50.0,5.06,50.32
NH44_SEG_128,63750.0,False,DOMINATED,50.0,50.0,6.33,50.32
NH44_SEG_129,64250.0,False,DOMINATED,50.0,50.0,8.86,50.32
NH44_SEG_130,64750.0,False,DOMINATED,50.0,50.0,11.39,50.32
NH44_SEG_131,65250.0,False,DOMINATED,50.0,50.0,12.66,50.32
NH44_SEG_132,65750.0,False,DOMINATED,50.0,50.0,16.46,50.32
NH44_SEG_133,66250.0,False,DOMINATED,50.0,50.0,18.99,50.32
NH44_SEG_134,66750.0,False,DOMINATED,50.0,50.0,23.42,50.32
NH44_SEG_135,67250.0,False,DOMINATED,50.0,50.0,24.68,50.32
NH44_SEG_136,67750.0,False,DOMINATED,50.0,50.0,22.78,50.32
NH44_SEG_137,68250.0,False,DOMINATED,50.0,50.0,24.05,50.32
NH44_SEG_138,68750.0,False,DOMINATED,50.0,50.0,21.52,50.32
NH44_SEG_139,69250.0,False,DOMINATED,50.0,50.0,17.72,50.32
NH44_SEG_140,69750.0,False,DOMINATED,50.0,50.0,14.56,50.32
NH44_SEG_141,70250.0,False,DOMINATED,50.0,50.0,13.92,50.32
NH44_SEG_142,70750.0,False,DOMINATED,50.0,50.0,15.19,50.32
NH44_SEG_143,71250.0,False,DOMINATED,50.0,50.0,19.62,50.32
NH44_SEG_144,71750.0,False,DOMINATED,50.0,50.0,20.89,50.32
NH44_SEG_145,72250.0,False,DOMINATED,50.0,50.0,20.25,50.32
NH44_SEG_146,72750.0,False,DOMINATED,50.0,50.0,18.35,50.32
NH44_SEG_147,73250.0,False,DOMINATED,50.0,50.0,15.82,50.32
NH44_SEG_148,73750.0,False,DOMINATED,50.0,50.0,12.03,50.32
NH44_SEG_149,74250.0,False,DOMINATED,50.0,50.0,10.13,50.32
NH44_SEG_150,74750.0,False,DOMINATED,50.0,50.0,8.23,50.32
NH44_SEG_151,75250.0,False,DOMINATED,50.0,50.0,5.7,50.32
NH44_SEG_152,75750.0,False,DOMINATED,50.0,50.0,4.43,50.32
NH44_SEG_153,76250.0,False,DOMINATED,50.0,50.0,2.53,50.32
