feature_name,feature_family,scientific_definition,unit,source_dataset,extraction_buffer,expected_direction_of_concern,is_monotonic,variable_type,missing_value_meaning,zero_value_meaning,suitable_for_profile_construction,exclusion_reason,provenance_status
segment_id,IDENTIFIER_OR_METADATA,Extracted static geospatial metric: segment id across 100m segment buffer.,metres,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,categorical,NoData in source tile,Exact intersection or zero length,False,Non-physical metadata/identifier field,VERIFIED_SCIENTIFIC_PROVENANCE
segment_index,IDENTIFIER_OR_METADATA,Extracted static geospatial metric: segment index across 100m segment buffer.,metres,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,False,Non-physical metadata/identifier field,VERIFIED_SCIENTIFIC_PROVENANCE
chainage_start_m,IDENTIFIER_OR_METADATA,Extracted static geospatial metric: chainage start m across 100m segment buffer.,metres,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,False,Non-physical metadata/identifier field,VERIFIED_SCIENTIFIC_PROVENANCE
chainage_end_m,IDENTIFIER_OR_METADATA,Extracted static geospatial metric: chainage end m across 100m segment buffer.,metres,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,False,Non-physical metadata/identifier field,VERIFIED_SCIENTIFIC_PROVENANCE
chainage_mid_m,IDENTIFIER_OR_METADATA,Extracted static geospatial metric: chainage mid m across 100m segment buffer.,metres,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,False,Non-physical metadata/identifier field,VERIFIED_SCIENTIFIC_PROVENANCE
length_m,IDENTIFIER_OR_METADATA,Extracted static geospatial metric: length m across 100m segment buffer.,metres,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,False,Non-physical metadata/identifier field,VERIFIED_SCIENTIFIC_PROVENANCE
is_residual_segment,IDENTIFIER_OR_METADATA,Extracted static geospatial metric: is residual segment across 100m segment buffer.,metres,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,False,Non-physical metadata/identifier field,VERIFIED_SCIENTIFIC_PROVENANCE
start_longitude,IDENTIFIER_OR_METADATA,Extracted static geospatial metric: start longitude across 100m segment buffer.,count / text,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,False,Non-physical metadata/identifier field,VERIFIED_SCIENTIFIC_PROVENANCE
start_latitude,IDENTIFIER_OR_METADATA,Extracted static geospatial metric: start latitude across 100m segment buffer.,count / text,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,False,Non-physical metadata/identifier field,VERIFIED_SCIENTIFIC_PROVENANCE
end_longitude,IDENTIFIER_OR_METADATA,Extracted static geospatial metric: end longitude across 100m segment buffer.,count / text,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,False,Non-physical metadata/identifier field,VERIFIED_SCIENTIFIC_PROVENANCE
end_latitude,IDENTIFIER_OR_METADATA,Extracted static geospatial metric: end latitude across 100m segment buffer.,count / text,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,False,Non-physical metadata/identifier field,VERIFIED_SCIENTIFIC_PROVENANCE
