segment_id,segment_index,chainage_mid_m,structure_dominant_type,static_susceptibility_score_primary,static_susceptibility_score_mean,static_susceptibility_score_max,terrain_severity_score_primary,terrain_severity_score_mean,terrain_severity_score_max,geological_context_score_primary,geological_context_score_mean,geological_context_score_max,surface_drainage_score_primary,surface_drainage_score_mean,surface_drainage_score_max,road_structure_context_profile,data_confidence_score_primary,data_confidence_category,susceptibility_band,terrain_band,geology_band,surface_drainage_band,multidimensional_profile_string
NH44_SEG_001,0,250.0,Open Road,,,,,,,100.0,94.83,100.0,50.32,65.83,96.84,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,VERY_HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=VERY_HIGH; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_002,1,750.0,Open Road,,,,,,,99.37,94.41,99.37,50.32,63.5,89.87,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,VERY_HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=VERY_HIGH; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_003,2,1250.0,Open Road,,,,,,,98.73,78.06,98.73,50.32,61.18,82.91,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,VERY_HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=VERY_HIGH; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_004,3,1750.0,Open Road,,,,,,,98.1,93.56,98.1,50.32,58.86,75.95,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,VERY_HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=VERY_HIGH; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_005,4,2250.0,Open Road,,,,,,,97.47,93.14,97.47,50.32,56.54,68.99,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,VERY_HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=VERY_HIGH; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_006,5,2750.0,Open Road,,,,,,,96.84,76.8,96.84,50.32,54.22,62.03,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,VERY_HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=VERY_HIGH; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_007,6,3250.0,Open Road,,,,,,,96.2,92.3,96.2,50.32,51.9,55.06,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,VERY_HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=VERY_HIGH; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_008,7,3750.0,Open Road,,,,,,,95.57,91.88,95.57,50.32,49.58,50.32,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,VERY_HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=VERY_HIGH; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_009,8,4250.0,Open Road,,,,,,,94.94,95.99,98.1,50.32,47.37,50.32,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,VERY_HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=VERY_HIGH; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_010,9,4750.0,Open Road,,,,,,,94.3,91.03,94.3,50.32,45.26,50.32,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,VERY_HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=VERY_HIGH; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_011,10,5250.0,Open Road,,,,,,,93.67,90.61,93.67,50.32,43.15,50.32,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,VERY_HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=VERY_HIGH; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
