segment_id,chainage_range_m,structure_context,susceptibility_component_band,terrain_component_band,geological_component_band,surface_drainage_band,confidence_component,principal_contributing_features,human_readable_interpretation,disclaimer_notice
NH44_SEG_001,0.0m - 500.0m,Open Road,MODERATE,MODERATE,VERY_HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_002,500.0m - 1000.0m,Open Road,MODERATE,MODERATE,VERY_HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_003,1000.0m - 1500.0m,Open Road,MODERATE,MODERATE,VERY_HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_004,1500.0m - 2000.0m,Open Road,MODERATE,MODERATE,VERY_HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_005,2000.0m - 2500.0m,Open Road,MODERATE,MODERATE,VERY_HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_006,2500.0m - 3000.0m,Open Road,MODERATE,MODERATE,VERY_HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_007,3000.0m - 3500.0m,Open Road,MODERATE,MODERATE,VERY_HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_008,3500.0m - 4000.0m,Open Road,MODERATE,MODERATE,VERY_HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_009,4000.0m - 4500.0m,Open Road,MODERATE,MODERATE,VERY_HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_010,4500.0m - 5000.0m,Open Road,MODERATE,MODERATE,VERY_HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_011,5000.0m - 5500.0m,Open Road,MODERATE,MODERATE,VERY_HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_012,5500.0m - 6000.0m,Open Road,MODERATE,MODERATE,VERY_HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_013,6000.0m - 6500.0m,Open Road,MODERATE,MODERATE,VERY_HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_014,6500.0m - 7000.0m,Open Road,MODERATE,MODERATE,VERY_HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_015,7000.0m - 7500.0m,Open Road,MODERATE,MODERATE,VERY_HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_016,7500.0m - 8000.0m,Open Road,MODERATE,MODERATE,VERY_HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_017,8000.0m - 8500.0m,Open Road,MODERATE,MODERATE,VERY_HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
