segment_id,method_rank_range,weight_perturbation_90_width,spatial_bootstrap_90_width,combined_90_rank_interval_width,top_10_probability_weights,uncertainty_source_primary
NH44_SEG_001,0,0.0,0.0,0.0,1.0,WEIGHT_VOLATILITY
NH44_SEG_002,0,0.0,0.0,0.0,1.0,WEIGHT_VOLATILITY
NH44_SEG_003,0,0.0,0.0,0.0,1.0,WEIGHT_VOLATILITY
NH44_SEG_004,0,0.0,0.0,0.0,1.0,WEIGHT_VOLATILITY
NH44_SEG_005,0,0.0,0.0,0.0,1.0,WEIGHT_VOLATILITY
NH44_SEG_006,0,0.0,0.0,0.0,1.0,WEIGHT_VOLATILITY
NH44_SEG_007,0,0.0,0.0,0.0,1.0,WEIGHT_VOLATILITY
NH44_SEG_008,0,0.0,0.0,0.0,1.0,WEIGHT_VOLATILITY
NH44_SEG_009,0,0.0,0.0,0.0,1.0,WEIGHT_VOLATILITY
NH44_SEG_010,0,0.0,0.0,0.0,1.0,WEIGHT_VOLATILITY
NH44_SEG_011,0,0.0,0.0,0.0,1.0,WEIGHT_VOLATILITY
NH44_SEG_012,0,0.0,0.0,0.0,1.0,WEIGHT_VOLATILITY
NH44_SEG_013,0,0.0,0.0,0.0,1.0,WEIGHT_VOLATILITY
NH44_SEG_014,0,0.0,0.0,0.0,1.0,WEIGHT_VOLATILITY
NH44_SEG_015,0,0.0,0.0,0.0,1.0,WEIGHT_VOLATILITY
NH44_SEG_016,0,0.0,0.0,0.0,1.0,WEIGHT_VOLATILITY
NH44_SEG_017,0,0.0,0.0,0.0,0.0,WEIGHT_VOLATILITY
NH44_SEG_018,0,0.0,0.0,0.0,0.0,WEIGHT_VOLATILITY
NH44_SEG_019,0,0.0,0.0,0.0,0.0,WEIGHT_VOLATILITY
NH44_SEG_020,0,0.0,0.0,0.0,0.0,WEIGHT_VOLATILITY
NH44_SEG_021,0,0.0,0.0,0.0,0.0,WEIGHT_VOLATILITY
NH44_SEG_022,0,0.0,0.0,0.0,0.0,WEIGHT_VOLATILITY
NH44_SEG_023,0,0.0,0.0,0.0,0.0,WEIGHT_VOLATILITY
NH44_SEG_024,0,0.0,0.0,0.0,0.0,WEIGHT_VOLATILITY
NH44_SEG_025,0,0.0,0.0,0.0,0.0,WEIGHT_VOLATILITY
NH44_SEG_026,0,0.0,0.0,0.0,0.0,WEIGHT_VOLATILITY
NH44_SEG_027,0,0.0,0.0,0.0,0.0,WEIGHT_VOLATILITY
NH44_SEG_028,0,0.0,0.0,0.0,0.0,WEIGHT_VOLATILITY
NH44_SEG_029,0,0.0,0.0,0.0,0.0,WEIGHT_VOLATILITY
NH44_SEG_030,0,0.0,0.0,0.0,0.0,WEIGHT_VOLATILITY
NH44_SEG_031,0,0.0,0.0,0.0,0.0,WEIGHT_VOLATILITY
NH44_SEG_032,0,0.0,0.0,0.0,0.0,WEIGHT_VOLATILITY
NH44_SEG_033,0,0.0,0.0,0.0,0.0,WEIGHT_VOLATILITY
NH44_SEG_034,0,0.0,0.0,0.0,0.0,WEIGHT_VOLATILITY
NH44_SEG_035,0,0.0,0.0,0.0,0.0,WEIGHT_VOLATILITY
NH44_SEG_036,0,0.0,0.0,0.0,0.0,WEIGHT_VOLATILITY
NH44_SEG_037,0,0.0,0.0,0.0,0.0,WEIGHT_VOLATILITY
NH44_SEG_038,0,0.0,0.0,0.0,0.0,WEIGHT_VOLATILITY
NH44_SEG_039,0,0.0,0.0,0.0,0.0,WEIGHT_VOLATILITY
NH44_SEG_040,0,0.0,0.0,0.0,0.0,WEIGHT_VOLATILITY
NH44_SEG_041,0,0.0,0.0,0.0,0.0,WEIGHT_VOLATILITY
NH44_SEG_042,0,0.0,0.0,0.0,0.0,WEIGHT_VOLATILITY
NH44_SEG_043,0,0.0,0.0,0.0,0.0,WEIGHT_VOLATILITY
NH44_SEG_044,0,0.0,0.0,0.0,0.0,WEIGHT_VOLATILITY
NH44_SEG_045,0,0.0,0.0,0.0,0.0,WEIGHT_VOLATILITY
NH44_SEG_046,0,0.0,0.0,0.0,0.0,WEIGHT_VOLATILITY
NH44_SEG_047,0,0.0,0.0,0.0,0.0,WEIGHT_VOLATILITY
NH44_SEG_048,0,0.0,0.0,0.0,0.0,WEIGHT_VOLATILITY
NH44_SEG_049,0,0.0,0.0,0.0,0.0,WEIGHT_VOLATILITY
NH44_SEG_050,0,0.0,0.0,0.0,0.0,WEIGHT_VOLATILITY
NH44_SEG_051,0,0.0,0.0,0.0,0.0,WEIGHT_VOLATILITY
NH44_SEG_052,0,0.0,0.0,0.0,0.0,WEIGHT_VOLATILITY
NH44_SEG_053,0,0.0,0.0,0.0,0.0,WEIGHT_VOLATILITY
NH44_SEG_054,0,0.0,0.0,0.0,0.0,WEIGHT_VOLATILITY
NH44_SEG_055,0,0.0,0.0,0.0,0.0,WEIGHT_VOLATILITY
