segment_id,chainage_mid_m,structure_dominant_type,consensus_median_rank,consensus_mean_rank,consensus_final_rank,consensus_percentile,consensus_priority_band,rank_iqr,rank_range,agreement_category,disclaimer_notice
NH44_SEG_001,250.0,Open Road,1.0,1.0,1,100.0,VERY_HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_002,750.0,Open Road,2.0,2.0,2,99.37,VERY_HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_003,1250.0,Open Road,3.0,3.0,3,98.73,VERY_HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_004,1750.0,Open Road,4.0,4.0,4,98.1,VERY_HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_005,2250.0,Open Road,5.0,5.0,5,97.47,VERY_HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_006,2750.0,Open Road,6.0,6.0,6,96.84,VERY_HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_007,3250.0,Open Road,7.0,7.0,7,96.2,VERY_HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_008,3750.0,Open Road,8.0,8.0,8,95.57,VERY_HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_009,4250.0,Open Road,9.0,9.0,9,94.94,VERY_HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_010,4750.0,Open Road,10.0,10.0,10,94.3,VERY_HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_011,5250.0,Open Road,11.0,11.0,11,93.67,VERY_HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_012,5750.0,Open Road,12.0,12.0,12,93.04,VERY_HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_013,6250.0,Open Road,13.0,13.0,13,92.41,VERY_HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_014,6750.0,Open Road,14.0,14.0,14,91.77,VERY_HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_015,7250.0,Open Road,15.0,15.0,15,91.14,VERY_HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_016,7750.0,Open Road,16.0,16.0,16,90.51,VERY_HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_017,8250.0,Open Road,17.0,17.0,17,89.87,VERY_HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_018,8750.0,Open Road,18.0,18.0,18,89.24,VERY_HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_019,9250.0,Open Road,19.0,19.0,19,88.61,VERY_HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_020,9750.0,Open Road,20.0,20.0,20,87.97,VERY_HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_021,10250.0,Open Road,21.0,21.0,21,87.34,VERY_HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_022,10750.0,Open Road,22.0,22.0,22,86.71,VERY_HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_023,11250.0,Open Road,23.0,23.0,23,86.08,VERY_HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_024,11750.0,Open Road,24.0,24.0,24,85.44,VERY_HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_025,12250.0,Open Road,25.0,25.0,25,84.81,VERY_HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_026,12750.0,Open Road,26.0,26.0,26,84.18,VERY_HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_027,13250.0,Open Road,27.0,27.0,27,83.54,VERY_HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_028,13750.0,Open Road,28.0,28.0,28,82.91,VERY_HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_029,14250.0,Open Road,29.0,29.0,29,82.28,VERY_HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_030,14750.0,Open Road,30.0,30.0,30,81.65,VERY_HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_031,15250.0,Open Road,31.0,31.0,31,81.01,VERY_HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_032,15750.0,Open Road,32.0,32.0,32,80.38,VERY_HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_033,16250.0,Tunnel,33.0,33.0,33,79.75,HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_034,16750.0,Tunnel,34.0,34.0,34,79.11,HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_035,17250.0,Tunnel,35.0,35.0,35,78.48,HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_036,17750.0,Tunnel,36.0,36.0,36,77.85,HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_037,18250.0,Tunnel,37.0,37.0,37,77.22,HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_038,18750.0,Tunnel,38.0,38.0,38,76.58,HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_039,19250.0,Tunnel,39.0,39.0,39,75.95,HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_040,19750.0,Tunnel,40.0,40.0,40,75.32,HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_041,20250.0,Tunnel,41.0,41.0,41,74.68,HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_042,20750.0,Tunnel,42.0,42.0,42,74.05,HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_043,21250.0,Tunnel,43.0,43.0,43,73.42,HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_044,21750.0,Tunnel,44.0,44.0,44,72.78,HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_045,22250.0,Tunnel,45.0,45.0,45,72.15,HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_046,22750.0,Tunnel,46.0,46.0,46,71.52,HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_047,23250.0,Tunnel,47.0,47.0,47,70.89,HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_048,23750.0,Tunnel,56.0,56.0,56,65.19,HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_049,24250.0,Open Road,63.0,63.0,63,60.76,HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_050,24750.0,Open Road,68.0,68.0,68,57.59,MODERATE,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_051,25250.0,Open Road,70.0,70.0,70,56.33,MODERATE,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
