,rank_method_a,rank_method_b,rank_method_c,rank_method_d,rank_method_e,rank_method_f,rank_method_h1,rank_method_h2,rank_method_h3,rank_method_h4,rank_method_h5
rank_method_a,1.0,1.0,1.0,0.9354223763802663,0.9354223763802663,1.0,1.0,1.0,1.0,1.0,1.0
rank_method_b,1.0,1.0,1.0,0.9354223763802663,0.9354223763802663,1.0,1.0,1.0,1.0,1.0,1.0
rank_method_c,1.0,1.0,1.0,0.9354223763802663,0.9354223763802663,1.0,1.0,1.0,1.0,1.0,1.0
rank_method_d,0.9354223763802663,0.9354223763802663,0.9354223763802663,1.0,1.0,0.9354223763802663,0.9354223763802663,0.9354223763802663,0.9354223763802663,0.9354223763802663,0.9354223763802663
rank_method_e,0.9354223763802663,0.9354223763802663,0.9354223763802663,1.0,1.0,0.9354223763802663,0.9354223763802663,0.9354223763802663,0.9354223763802663,0.9354223763802663,0.9354223763802663
rank_method_f,1.0,1.0,1.0,0.9354223763802663,0.9354223763802663,1.0,1.0,1.0,1.0,1.0,1.0
rank_method_h1,1.0,1.0,1.0,0.9354223763802663,0.9354223763802663,1.0,1.0,1.0,1.0,1.0,1.0
rank_method_h2,1.0,1.0,1.0,0.9354223763802663,0.9354223763802663,1.0,1.0,1.0,1.0,1.0,1.0
rank_method_h3,1.0,1.0,1.0,0.9354223763802663,0.9354223763802663,1.0,1.0,1.0,1.0,1.0,1.0
rank_method_h4,1.0,1.0,1.0,0.9354223763802663,0.9354223763802663,1.0,1.0,1.0,1.0,1.0,1.0
rank_method_h5,1.0,1.0,1.0,0.9354223763802663,0.9354223763802663,1.0,1.0,1.0,1.0,1.0,1.0
