segment_id,segment_index,chainage_mid_m,structure_dominant_type,score_method_a,score_method_b,score_method_c,score_method_d,score_method_e,score_method_f,flag_method_g_epsilon_dominance,score_method_h1,score_method_h2,score_method_h3,score_method_h4,score_method_h5,rank_method_a,rank_method_b,rank_method_c,rank_method_d,rank_method_e,rank_method_f,rank_method_h1,rank_method_h2,rank_method_h3,rank_method_h4,rank_method_h5
NH44_SEG_001,0,250.0,Open Road,62.58,59.56,239.5,100.0,75.08,60.51,True,60.05,60.05,70.05,57.63,57.55,1,1,1,1,1,1,1,1,1,1,1
NH44_SEG_002,1,750.0,Open Road,62.42,59.46,240.5,99.37,74.76,60.42,True,59.92,59.92,69.8,57.53,57.45,2,2,2,2,2,2,2,2,2,2,2
NH44_SEG_003,2,1250.0,Open Road,62.26,59.37,241.5,98.73,74.44,60.33,True,59.79,59.79,69.54,57.44,57.36,3,3,3,3,3,3,3,3,3,3,3
NH44_SEG_004,3,1750.0,Open Road,62.1,59.27,242.5,98.1,74.13,60.24,True,59.67,59.67,69.29,57.34,57.26,4,4,4,4,4,4,4,4,4,4,4
NH44_SEG_005,4,2250.0,Open Road,61.95,59.17,243.5,97.47,73.82,60.15,True,59.54,59.54,69.04,57.25,57.17,5,5,5,5,5,5,5,5,5,5,5
NH44_SEG_006,5,2750.0,Open Road,61.79,59.08,244.5,96.84,73.5,60.06,True,59.42,59.42,68.78,57.15,57.07,6,6,6,6,6,6,6,6,6,6,6
NH44_SEG_007,6,3250.0,Open Road,61.63,58.98,245.5,96.2,73.18,59.96,True,59.29,59.29,68.53,57.06,56.98,7,7,7,7,7,7,7,7,7,7,7
NH44_SEG_008,7,3750.0,Open Road,61.47,58.88,246.5,95.57,72.86,59.87,True,59.16,59.16,68.28,56.96,56.88,8,8,8,8,8,8,8,8,8,8,8
NH44_SEG_009,8,4250.0,Open Road,61.32,58.79,247.5,94.94,72.55,59.77,False,59.04,59.04,68.02,56.87,56.79,9,9,9,9,9,9,9,9,9,9,9
NH44_SEG_010,9,4750.0,Open Road,61.16,58.69,248.5,94.3,72.23,59.67,False,58.91,58.91,67.77,56.77,56.69,10,10,10,10,10,10,10,10,10,10,10
NH44_SEG_011,10,5250.0,Open Road,61.0,58.59,249.5,93.67,71.91,59.57,False,58.78,58.78,67.52,56.68,56.6,11,11,11,11,11,11,11,11,11,11,11
NH44_SEG_012,11,5750.0,Open Road,60.84,58.49,250.5,93.04,71.6,59.47,False,58.66,58.66,67.26,56.58,56.5,12,12,12,12,12,12,12,12,12,12,12
NH44_SEG_013,12,6250.0,Open Road,60.68,58.39,251.5,92.41,71.28,59.37,False,58.53,58.53,67.01,56.49,56.41,13,13,13,13,13,13,13,13,13,13,13
NH44_SEG_014,13,6750.0,Open Road,60.52,58.29,252.5,91.77,70.96,59.26,False,58.4,58.4,66.76,56.39,56.31,14,14,14,14,14,14,14,14,14,14,14
