segment_id,chainage_range_m,consensus_rank,consensus_percentile,consensus_priority_band,rank_interval_width_90,top_10_pct_probability,method_agreement_category,principal_elevated_components,structure_context,interpretation_limitation,epsilon_dominance_status,human_readable_explanation,disclaimer_notice
NH44_SEG_001,0.0m - 500.0m,1,100.0,VERY_HIGH,0.0,1.0,VERY_STABLE,Slope severity & Geological fault proximity,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,MEMBER,This segment is placed in the VERY_HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_002,500.0m - 1000.0m,2,99.37,VERY_HIGH,0.0,1.0,VERY_STABLE,Slope severity & Geological fault proximity,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,MEMBER,This segment is placed in the VERY_HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_003,1000.0m - 1500.0m,3,98.73,VERY_HIGH,0.0,1.0,VERY_STABLE,Slope severity & Geological fault proximity,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,MEMBER,This segment is placed in the VERY_HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_004,1500.0m - 2000.0m,4,98.1,VERY_HIGH,0.0,1.0,VERY_STABLE,Slope severity & Geological fault proximity,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,MEMBER,This segment is placed in the VERY_HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_005,2000.0m - 2500.0m,5,97.47,VERY_HIGH,0.0,1.0,VERY_STABLE,Slope severity & Geological fault proximity,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,MEMBER,This segment is placed in the VERY_HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_006,2500.0m - 3000.0m,6,96.84,VERY_HIGH,0.0,1.0,VERY_STABLE,Slope severity & Geological fault proximity,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,MEMBER,This segment is placed in the VERY_HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_007,3000.0m - 3500.0m,7,96.2,VERY_HIGH,0.0,1.0,VERY_STABLE,Slope severity & Geological fault proximity,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,MEMBER,This segment is placed in the VERY_HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_008,3500.0m - 4000.0m,8,95.57,VERY_HIGH,0.0,1.0,VERY_STABLE,Slope severity & Geological fault proximity,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,MEMBER,This segment is placed in the VERY_HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_009,4000.0m - 4500.0m,9,94.94,VERY_HIGH,0.0,1.0,VERY_STABLE,Slope severity & Geological fault proximity,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the VERY_HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_010,4500.0m - 5000.0m,10,94.3,VERY_HIGH,0.0,1.0,VERY_STABLE,Slope severity & Geological fault proximity,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the VERY_HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
