segment_id,chainage_mid_m,min_method_rank,max_method_rank,rank_range,rank_std_dev,sensitivity_category
NH44_SEG_001,250.0,1,1,0,0.0,VERY_STABLE
NH44_SEG_002,750.0,2,2,0,0.0,VERY_STABLE
NH44_SEG_003,1250.0,3,3,0,0.0,VERY_STABLE
NH44_SEG_004,1750.0,4,4,0,0.0,VERY_STABLE
NH44_SEG_005,2250.0,5,5,0,0.0,VERY_STABLE
NH44_SEG_006,2750.0,6,6,0,0.0,VERY_STABLE
NH44_SEG_007,3250.0,7,7,0,0.0,VERY_STABLE
NH44_SEG_008,3750.0,8,8,0,0.0,VERY_STABLE
NH44_SEG_009,4250.0,9,9,0,0.0,VERY_STABLE
NH44_SEG_010,4750.0,10,10,0,0.0,VERY_STABLE
NH44_SEG_011,5250.0,11,11,0,0.0,VERY_STABLE
NH44_SEG_012,5750.0,12,12,0,0.0,VERY_STABLE
NH44_SEG_013,6250.0,13,13,0,0.0,VERY_STABLE
NH44_SEG_014,6750.0,14,14,0,0.0,VERY_STABLE
NH44_SEG_015,7250.0,15,15,0,0.0,VERY_STABLE
NH44_SEG_016,7750.0,16,16,0,0.0,VERY_STABLE
NH44_SEG_017,8250.0,17,17,0,0.0,VERY_STABLE
NH44_SEG_018,8750.0,18,18,0,0.0,VERY_STABLE
NH44_SEG_019,9250.0,19,19,0,0.0,VERY_STABLE
NH44_SEG_020,9750.0,20,20,0,0.0,VERY_STABLE
NH44_SEG_021,10250.0,21,21,0,0.0,VERY_STABLE
NH44_SEG_022,10750.0,22,22,0,0.0,VERY_STABLE
NH44_SEG_023,11250.0,23,23,0,0.0,VERY_STABLE
NH44_SEG_024,11750.0,24,24,0,0.0,VERY_STABLE
NH44_SEG_025,12250.0,25,25,0,0.0,VERY_STABLE
NH44_SEG_026,12750.0,26,26,0,0.0,VERY_STABLE
NH44_SEG_027,13250.0,27,27,0,0.0,VERY_STABLE
NH44_SEG_028,13750.0,28,28,0,0.0,VERY_STABLE
NH44_SEG_029,14250.0,29,29,0,0.0,VERY_STABLE
NH44_SEG_030,14750.0,30,30,0,0.0,VERY_STABLE
NH44_SEG_031,15250.0,31,31,0,0.0,VERY_STABLE
NH44_SEG_032,15750.0,32,32,0,0.0,VERY_STABLE
NH44_SEG_033,16250.0,33,33,0,0.0,VERY_STABLE
NH44_SEG_034,16750.0,34,34,0,0.0,VERY_STABLE
NH44_SEG_035,17250.0,35,35,0,0.0,VERY_STABLE
NH44_SEG_036,17750.0,36,36,0,0.0,VERY_STABLE
NH44_SEG_037,18250.0,37,37,0,0.0,VERY_STABLE
NH44_SEG_038,18750.0,38,38,0,0.0,VERY_STABLE
NH44_SEG_039,19250.0,39,39,0,0.0,VERY_STABLE
NH44_SEG_040,19750.0,40,40,0,0.0,VERY_STABLE
NH44_SEG_041,20250.0,41,41,0,0.0,VERY_STABLE
NH44_SEG_042,20750.0,42,42,0,0.0,VERY_STABLE
NH44_SEG_043,21250.0,43,43,0,0.0,VERY_STABLE
NH44_SEG_044,21750.0,44,44,0,0.0,VERY_STABLE
NH44_SEG_045,22250.0,45,45,0,0.0,VERY_STABLE
NH44_SEG_046,22750.0,46,46,0,0.0,VERY_STABLE
NH44_SEG_047,23250.0,47,47,0,0.0,VERY_STABLE
NH44_SEG_048,23750.0,56,56,0,0.0,VERY_STABLE
NH44_SEG_049,24250.0,63,63,0,0.0,VERY_STABLE
NH44_SEG_050,24750.0,68,68,0,0.0,VERY_STABLE
NH44_SEG_051,25250.0,70,70,0,0.0,VERY_STABLE
NH44_SEG_052,25750.0,66,66,0,0.0,VERY_STABLE
NH44_SEG_053,26250.0,62,62,0,0.0,VERY_STABLE
NH44_SEG_054,26750.0,57,57,0,0.0,VERY_STABLE
NH44_SEG_055,27250.0,55,55,0,0.0,VERY_STABLE
NH44_SEG_056,27750.0,58,58,0,0.0,VERY_STABLE
NH44_SEG_057,28250.0,65,65,0,0.0,VERY_STABLE
NH44_SEG_058,28750.0,64,64,0,0.0,VERY_STABLE
NH44_SEG_059,29250.0,60,60,0,0.0,VERY_STABLE
NH44_SEG_060,29750.0,59,59,0,0.0,VERY_STABLE
NH44_SEG_061,30250.0,53,53,0,0.0,VERY_STABLE
NH44_SEG_062,30750.0,51,51,0,0.0,VERY_STABLE
NH44_SEG_063,31250.0,49,49,0,0.0,VERY_STABLE
NH44_SEG_064,31750.0,48,48,0,0.0,VERY_STABLE
NH44_SEG_065,32250.0,50,50,0,0.0,VERY_STABLE
NH44_SEG_066,32750.0,52,52,0,0.0,VERY_STABLE
NH44_SEG_067,33250.0,54,54,0,0.0,VERY_STABLE
NH44_SEG_068,33750.0,61,61,0,0.0,VERY_STABLE
NH44_SEG_069,34250.0,67,67,0,0.0,VERY_STABLE
NH44_SEG_070,34750.0,69,69,0,0.0,VERY_STABLE
NH44_SEG_071,35250.0,72,72,0,0.0,VERY_STABLE
NH44_SEG_072,35750.0,71,71,0,0.0,VERY_STABLE
NH44_SEG_073,36250.0,73,73,0,0.0,VERY_STABLE
NH44_SEG_074,36750.0,74,74,0,0.0,VERY_STABLE
NH44_SEG_075,37250.0,75,75,0,0.0,VERY_STABLE
NH44_SEG_076,37750.0,76,76,0,0.0,VERY_STABLE
NH44_SEG_077,38250.0,77,77,0,0.0,VERY_STABLE
NH44_SEG_078,38750.0,78,78,0,0.0,VERY_STABLE
NH44_SEG_079,39250.0,79,79,0,0.0,VERY_STABLE
