segment_id,structure_dominant_type,interpretation_flag,applicability_guideline
NH44_SEG_001,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_002,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_003,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_004,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_005,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_006,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_007,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_008,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_009,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_010,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_011,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_012,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_013,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_014,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_015,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_016,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_017,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_018,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_019,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_020,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_021,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_022,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_023,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_024,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_025,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_026,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_027,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_028,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_029,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_030,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_031,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_032,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_033,Tunnel,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_034,Tunnel,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_035,Tunnel,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_036,Tunnel,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_037,Tunnel,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_038,Tunnel,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_039,Tunnel,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_040,Tunnel,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_041,Tunnel,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_042,Tunnel,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_043,Tunnel,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_044,Tunnel,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_045,Tunnel,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_046,Tunnel,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_047,Tunnel,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_048,Tunnel,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_049,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_050,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_051,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_052,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_053,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_054,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_055,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_056,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_057,Bridge,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_058,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_059,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_060,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_061,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_062,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_063,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_064,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_065,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_066,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_067,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_068,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_069,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_070,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_071,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_072,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_073,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_074,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_075,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_076,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_077,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_078,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_079,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_080,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_081,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_082,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_083,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_084,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
