segment_id,weight_median_rank,rank_p5,rank_p25,rank_p75,rank_p95,rank_interval_width_90,probability_top_10_pct,probability_top_20_pct
NH44_SEG_001,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
NH44_SEG_002,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0
NH44_SEG_003,3.0,3.0,3.0,3.0,3.0,0.0,1.0,1.0
NH44_SEG_004,4.0,4.0,4.0,4.0,4.0,0.0,1.0,1.0
NH44_SEG_005,5.0,5.0,5.0,5.0,5.0,0.0,1.0,1.0
NH44_SEG_006,6.0,6.0,6.0,6.0,6.0,0.0,1.0,1.0
NH44_SEG_007,7.0,7.0,7.0,7.0,7.0,0.0,1.0,1.0
NH44_SEG_008,8.0,8.0,8.0,8.0,8.0,0.0,1.0,1.0
NH44_SEG_009,9.0,9.0,9.0,9.0,9.0,0.0,1.0,1.0
NH44_SEG_010,10.0,10.0,10.0,10.0,10.0,0.0,1.0,1.0
NH44_SEG_011,11.0,11.0,11.0,11.0,11.0,0.0,1.0,1.0
NH44_SEG_012,12.0,12.0,12.0,12.0,12.0,0.0,1.0,1.0
NH44_SEG_013,13.0,13.0,13.0,13.0,13.0,0.0,1.0,1.0
NH44_SEG_014,14.0,14.0,14.0,14.0,14.0,0.0,1.0,1.0
NH44_SEG_015,15.0,15.0,15.0,15.0,15.0,0.0,1.0,1.0
NH44_SEG_016,16.0,16.0,16.0,16.0,16.0,0.0,1.0,1.0
NH44_SEG_017,17.0,17.0,17.0,17.0,17.0,0.0,0.0,1.0
NH44_SEG_018,18.0,18.0,18.0,18.0,18.0,0.0,0.0,1.0
NH44_SEG_019,19.0,19.0,19.0,19.0,19.0,0.0,0.0,1.0
NH44_SEG_020,20.0,20.0,20.0,20.0,20.0,0.0,0.0,1.0
NH44_SEG_021,21.0,21.0,21.0,21.0,21.0,0.0,0.0,1.0
NH44_SEG_022,22.0,22.0,22.0,22.0,22.0,0.0,0.0,1.0
NH44_SEG_023,23.0,23.0,23.0,23.0,23.0,0.0,0.0,1.0
NH44_SEG_024,24.0,24.0,24.0,24.0,24.0,0.0,0.0,1.0
NH44_SEG_025,25.0,25.0,25.0,25.0,25.0,0.0,0.0,1.0
NH44_SEG_026,26.0,26.0,26.0,26.0,26.0,0.0,0.0,1.0
NH44_SEG_027,27.0,27.0,27.0,27.0,27.0,0.0,0.0,1.0
NH44_SEG_028,28.0,28.0,28.0,28.0,28.0,0.0,0.0,1.0
NH44_SEG_029,29.0,29.0,29.0,29.0,29.0,0.0,0.0,1.0
NH44_SEG_030,30.0,30.0,30.0,30.0,30.0,0.0,0.0,1.0
NH44_SEG_031,31.0,31.0,31.0,31.0,31.0,0.0,0.0,1.0
NH44_SEG_032,32.0,32.0,32.0,32.0,32.0,0.0,0.0,1.0
NH44_SEG_033,33.0,33.0,33.0,33.0,33.0,0.0,0.0,0.0
NH44_SEG_034,34.0,34.0,34.0,34.0,34.0,0.0,0.0,0.0
