segment_id,scenario_id,median_dynamic_rank,rank_p5,rank_p95,rank_interval_width_90,probability_top_10_pct,probability_top_20_pct
NH44_SEG_001,S2,1,1,5,8.0,0.95,0.95
NH44_SEG_002,S2,2,1,6,8.0,0.95,0.95
NH44_SEG_003,S2,3,1,7,8.0,0.95,0.95
NH44_SEG_004,S2,4,1,8,8.0,0.95,0.95
NH44_SEG_005,S2,5,1,9,8.0,0.95,0.95
NH44_SEG_006,S2,6,2,10,8.0,0.95,0.95
NH44_SEG_007,S2,7,3,11,8.0,0.95,0.95
NH44_SEG_008,S2,8,4,12,8.0,0.95,0.95
NH44_SEG_009,S2,9,5,13,8.0,0.95,0.95
NH44_SEG_010,S2,10,6,14,8.0,0.95,0.95
NH44_SEG_011,S2,11,7,15,8.0,0.95,0.95
NH44_SEG_012,S2,12,8,16,8.0,0.95,0.95
NH44_SEG_013,S2,13,9,17,8.0,0.95,0.95
NH44_SEG_014,S2,14,10,18,8.0,0.95,0.95
NH44_SEG_015,S2,15,11,19,8.0,0.95,0.95
NH44_SEG_016,S2,16,12,20,8.0,0.95,0.95
NH44_SEG_017,S2,17,13,21,8.0,0.05,0.95
NH44_SEG_018,S2,18,14,22,8.0,0.05,0.95
NH44_SEG_019,S2,19,15,23,8.0,0.05,0.95
NH44_SEG_020,S2,20,16,24,8.0,0.05,0.95
NH44_SEG_021,S2,21,17,25,8.0,0.05,0.95
NH44_SEG_022,S2,22,18,26,8.0,0.05,0.95
NH44_SEG_023,S2,23,19,27,8.0,0.05,0.95
NH44_SEG_024,S2,24,20,28,8.0,0.05,0.95
NH44_SEG_025,S2,25,21,29,8.0,0.05,0.95
NH44_SEG_026,S2,26,22,30,8.0,0.05,0.95
NH44_SEG_027,S2,27,23,31,8.0,0.05,0.95
NH44_SEG_028,S2,28,24,32,8.0,0.05,0.95
NH44_SEG_029,S2,29,25,33,8.0,0.05,0.95
NH44_SEG_030,S2,30,26,34,8.0,0.05,0.95
NH44_SEG_031,S2,31,27,35,8.0,0.05,0.95
NH44_SEG_032,S2,32,28,36,8.0,0.05,0.95
NH44_SEG_033,S2,33,29,37,8.0,0.05,0.05
NH44_SEG_034,S2,34,30,38,8.0,0.05,0.05
NH44_SEG_035,S2,35,31,39,8.0,0.05,0.05
NH44_SEG_036,S2,36,32,40,8.0,0.05,0.05
NH44_SEG_037,S2,37,33,41,8.0,0.05,0.05
NH44_SEG_038,S2,38,34,42,8.0,0.05,0.05
NH44_SEG_039,S2,39,35,43,8.0,0.05,0.05
NH44_SEG_040,S2,40,36,44,8.0,0.05,0.05
NH44_SEG_041,S2,41,37,45,8.0,0.05,0.05
NH44_SEG_042,S2,42,38,46,8.0,0.05,0.05
NH44_SEG_043,S2,43,39,47,8.0,0.05,0.05
NH44_SEG_044,S2,44,40,48,8.0,0.05,0.05
NH44_SEG_045,S2,45,41,49,8.0,0.05,0.05
NH44_SEG_046,S2,46,42,50,8.0,0.05,0.05
NH44_SEG_047,S2,47,43,51,8.0,0.05,0.05
NH44_SEG_048,S2,48,44,52,8.0,0.05,0.05
NH44_SEG_049,S2,49,45,53,8.0,0.05,0.05
NH44_SEG_050,S2,50,46,54,8.0,0.05,0.05
NH44_SEG_051,S2,51,47,55,8.0,0.05,0.05
NH44_SEG_052,S2,52,48,56,8.0,0.05,0.05
NH44_SEG_053,S2,53,49,57,8.0,0.05,0.05
NH44_SEG_054,S2,54,50,58,8.0,0.05,0.05
NH44_SEG_055,S2,55,51,59,8.0,0.05,0.05
NH44_SEG_056,S2,56,52,60,8.0,0.05,0.05
NH44_SEG_057,S2,57,53,61,8.0,0.05,0.05
NH44_SEG_058,S2,58,54,62,8.0,0.05,0.05
NH44_SEG_059,S2,59,55,63,8.0,0.05,0.05
NH44_SEG_060,S2,60,56,64,8.0,0.05,0.05
NH44_SEG_061,S2,61,57,65,8.0,0.05,0.05
NH44_SEG_062,S2,62,58,66,8.0,0.05,0.05
NH44_SEG_063,S2,63,59,67,8.0,0.05,0.05
NH44_SEG_064,S2,64,60,68,8.0,0.05,0.05
NH44_SEG_065,S2,65,61,69,8.0,0.05,0.05
NH44_SEG_066,S2,66,62,70,8.0,0.05,0.05
NH44_SEG_067,S2,67,63,71,8.0,0.05,0.05
NH44_SEG_068,S2,68,64,72,8.0,0.05,0.05
NH44_SEG_069,S2,69,65,73,8.0,0.05,0.05
NH44_SEG_070,S2,70,66,74,8.0,0.05,0.05
NH44_SEG_071,S2,71,67,75,8.0,0.05,0.05
NH44_SEG_072,S2,72,68,76,8.0,0.05,0.05
NH44_SEG_073,S2,73,69,77,8.0,0.05,0.05
NH44_SEG_074,S2,74,70,78,8.0,0.05,0.05
NH44_SEG_075,S2,75,71,79,8.0,0.05,0.05
NH44_SEG_076,S2,76,72,80,8.0,0.05,0.05
NH44_SEG_077,S2,77,73,81,8.0,0.05,0.05
NH44_SEG_078,S2,78,74,82,8.0,0.05,0.05
NH44_SEG_079,S2,79,75,83,8.0,0.05,0.05
NH44_SEG_080,S2,80,76,84,8.0,0.05,0.05
NH44_SEG_081,S2,81,77,85,8.0,0.05,0.05
NH44_SEG_082,S2,82,78,86,8.0,0.05,0.05
NH44_SEG_083,S2,83,79,87,8.0,0.05,0.05
NH44_SEG_084,S2,84,80,88,8.0,0.05,0.05
NH44_SEG_085,S2,85,81,89,8.0,0.05,0.05
NH44_SEG_086,S2,86,82,90,8.0,0.05,0.05
NH44_SEG_087,S2,87,83,91,8.0,0.05,0.05
NH44_SEG_088,S2,88,84,92,8.0,0.05,0.05
NH44_SEG_089,S2,89,85,93,8.0,0.05,0.05
NH44_SEG_090,S2,90,86,94,8.0,0.05,0.05
NH44_SEG_091,S2,91,87,95,8.0,0.05,0.05
NH44_SEG_092,S2,92,88,96,8.0,0.05,0.05
NH44_SEG_093,S2,93,89,97,8.0,0.05,0.05
NH44_SEG_094,S2,94,90,98,8.0,0.05,0.05
NH44_SEG_095,S2,95,91,99,8.0,0.05,0.05
NH44_SEG_096,S2,96,92,100,8.0,0.05,0.05
NH44_SEG_097,S2,97,93,101,8.0,0.05,0.05
NH44_SEG_098,S2,98,94,102,8.0,0.05,0.05
NH44_SEG_099,S2,99,95,103,8.0,0.05,0.05
NH44_SEG_100,S2,100,96,104,8.0,0.05,0.05
NH44_SEG_101,S2,101,97,105,8.0,0.05,0.05
NH44_SEG_102,S2,102,98,106,8.0,0.05,0.05
NH44_SEG_103,S2,103,99,107,8.0,0.05,0.05
NH44_SEG_104,S2,104,100,108,8.0,0.05,0.05
NH44_SEG_105,S2,105,101,109,8.0,0.05,0.05
NH44_SEG_106,S2,106,102,110,8.0,0.05,0.05
NH44_SEG_107,S2,107,103,111,8.0,0.05,0.05
NH44_SEG_108,S2,108,104,112,8.0,0.05,0.05
NH44_SEG_109,S2,109,105,113,8.0,0.05,0.05
NH44_SEG_110,S2,110,106,114,8.0,0.05,0.05
NH44_SEG_111,S2,111,107,115,8.0,0.05,0.05
NH44_SEG_112,S2,112,108,116,8.0,0.05,0.05
NH44_SEG_113,S2,113,109,117,8.0,0.05,0.05
NH44_SEG_114,S2,114,110,118,8.0,0.05,0.05
NH44_SEG_115,S2,115,111,119,8.0,0.05,0.05
NH44_SEG_116,S2,116,112,120,8.0,0.05,0.05
NH44_SEG_117,S2,117,113,121,8.0,0.05,0.05
NH44_SEG_118,S2,118,114,122,8.0,0.05,0.05
NH44_SEG_119,S2,119,115,123,8.0,0.05,0.05
NH44_SEG_120,S2,120,116,124,8.0,0.05,0.05
NH44_SEG_121,S2,121,117,125,8.0,0.05,0.05
NH44_SEG_122,S2,122,118,126,8.0,0.05,0.05
NH44_SEG_123,S2,123,119,127,8.0,0.05,0.05
NH44_SEG_124,S2,124,120,128,8.0,0.05,0.05
NH44_SEG_125,S2,125,121,129,8.0,0.05,0.05
NH44_SEG_126,S2,126,122,130,8.0,0.05,0.05
NH44_SEG_127,S2,127,123,131,8.0,0.05,0.05
NH44_SEG_128,S2,128,124,132,8.0,0.05,0.05
NH44_SEG_129,S2,129,125,133,8.0,0.05,0.05
NH44_SEG_130,S2,130,126,134,8.0,0.05,0.05
NH44_SEG_131,S2,131,127,135,8.0,0.05,0.05
NH44_SEG_132,S2,132,128,136,8.0,0.05,0.05
NH44_SEG_133,S2,133,129,137,8.0,0.05,0.05
NH44_SEG_134,S2,134,130,138,8.0,0.05,0.05
NH44_SEG_135,S2,135,131,139,8.0,0.05,0.05
NH44_SEG_136,S2,136,132,140,8.0,0.05,0.05
NH44_SEG_137,S2,137,133,141,8.0,0.05,0.05
NH44_SEG_138,S2,138,134,142,8.0,0.05,0.05
NH44_SEG_139,S2,139,135,143,8.0,0.05,0.05
NH44_SEG_140,S2,140,136,144,8.0,0.05,0.05
NH44_SEG_141,S2,141,137,145,8.0,0.05,0.05
NH44_SEG_142,S2,142,138,146,8.0,0.05,0.05
NH44_SEG_143,S2,143,139,147,8.0,0.05,0.05
NH44_SEG_144,S2,144,140,148,8.0,0.05,0.05
NH44_SEG_145,S2,145,141,149,8.0,0.05,0.05
NH44_SEG_146,S2,146,142,150,8.0,0.05,0.05
NH44_SEG_147,S2,147,143,151,8.0,0.05,0.05
NH44_SEG_148,S2,148,144,152,8.0,0.05,0.05
NH44_SEG_149,S2,149,145,153,8.0,0.05,0.05
NH44_SEG_150,S2,150,146,154,8.0,0.05,0.05
NH44_SEG_151,S2,151,147,155,8.0,0.05,0.05
NH44_SEG_152,S2,152,148,156,8.0,0.05,0.05
NH44_SEG_153,S2,153,149,157,8.0,0.05,0.05
NH44_SEG_154,S2,154,150,158,8.0,0.05,0.05
NH44_SEG_155,S2,155,151,158,8.0,0.05,0.05
NH44_SEG_156,S2,156,152,158,8.0,0.05,0.05
NH44_SEG_157,S2,157,153,158,8.0,0.05,0.05
NH44_SEG_158,S2,158,154,158,8.0,0.05,0.05
