segment_id,scenario_id,buffer_m,rainfall_min_mm,rainfall_max_mm,rainfall_mean_mm,rainfall_median_mm,rainfall_p90_mm,spatial_std_mm,valid_coverage_pct
NH44_SEG_001,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_002,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_003,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_004,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_005,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_006,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_007,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_008,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_009,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_010,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_011,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_012,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_013,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_014,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_015,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_016,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_017,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_018,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_019,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_020,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_021,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_022,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_023,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_024,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_025,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_026,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_027,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_028,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_029,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_030,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_031,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_032,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_033,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_034,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_035,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_036,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_037,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_038,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_039,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_040,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_041,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_042,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_043,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_044,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_045,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_046,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_047,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_048,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_049,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_050,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_051,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_052,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_053,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_054,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_055,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_056,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_057,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_058,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_059,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_060,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_061,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_062,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_063,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_064,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_065,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_066,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_067,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_068,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_069,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_070,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_071,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_072,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_073,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_074,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_075,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_076,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_077,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_078,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_079,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_080,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_081,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_082,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_083,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_084,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_085,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_086,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_087,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_088,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_089,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_090,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_091,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_092,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_093,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_094,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_095,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_096,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_097,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_098,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_099,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_100,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_101,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_102,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_103,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_104,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_105,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_106,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_107,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_108,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_109,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_110,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_111,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_112,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_113,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_114,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_115,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_116,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_117,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_118,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_119,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_120,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_121,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_122,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_123,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_124,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_125,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_126,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_127,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_128,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_129,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_130,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_131,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_132,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_133,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_134,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_135,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_136,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_137,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_138,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_139,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_140,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_141,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_142,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_143,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
NH44_SEG_144,S0,100,0.0,0.0,0.0,0.0,0.0,1.2,100.0
