segment_id,native_gpm_cell_id,assignment_method,verification_status
NH44_SEG_001,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_002,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_003,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_004,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_005,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_006,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_007,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_008,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_009,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_010,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_011,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_012,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_013,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_014,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_015,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_016,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_017,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_018,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_019,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_020,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_021,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_022,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_023,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_024,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_025,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_026,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_027,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_028,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_029,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_030,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_031,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_032,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_033,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_034,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_035,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_036,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_037,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_038,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_039,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_040,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_041,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_042,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_043,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_044,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_045,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_046,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_047,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_048,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_049,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_050,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_051,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_052,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_053,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_054,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_055,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_056,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_057,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_058,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_059,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_060,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_061,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_062,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_063,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_064,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_065,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_066,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_067,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_068,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_069,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_070,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_071,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_072,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_073,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_074,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_075,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_076,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_077,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_078,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_079,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_080,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_081,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_082,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_083,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_084,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_085,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_086,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_087,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_088,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_089,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_090,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_091,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_092,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_093,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_094,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_095,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_096,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_097,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_098,GPM_NATIVE_33.25N_75.15E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_099,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_100,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_101,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_102,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_103,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_104,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_105,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_106,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_107,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_108,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_109,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_110,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_111,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_112,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_113,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_114,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_115,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_116,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_117,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_118,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_119,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_120,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_121,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_122,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_123,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_124,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_125,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_126,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_127,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
