segment_id,support_node_id,assignment_method,verification_status
NH44_SEG_001,SUPPORT_NODE_33.25N_75.10E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_002,SUPPORT_NODE_33.25N_75.10E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_003,SUPPORT_NODE_33.25N_75.10E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_004,SUPPORT_NODE_33.25N_75.10E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_005,SUPPORT_NODE_33.25N_75.10E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_006,SUPPORT_NODE_33.25N_75.10E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_007,SUPPORT_NODE_33.25N_75.10E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_008,SUPPORT_NODE_33.25N_75.10E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_009,SUPPORT_NODE_33.25N_75.10E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_010,SUPPORT_NODE_33.25N_75.10E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_011,SUPPORT_NODE_33.25N_75.10E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_012,SUPPORT_NODE_33.25N_75.10E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_013,SUPPORT_NODE_33.25N_75.10E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_014,SUPPORT_NODE_33.25N_75.10E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_015,SUPPORT_NODE_33.25N_75.10E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_016,SUPPORT_NODE_33.25N_75.10E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_017,SUPPORT_NODE_33.25N_75.10E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_018,SUPPORT_NODE_33.25N_75.10E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_019,SUPPORT_NODE_33.25N_75.10E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_020,SUPPORT_NODE_33.25N_75.10E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_021,SUPPORT_NODE_33.25N_75.12E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_022,SUPPORT_NODE_33.25N_75.12E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_023,SUPPORT_NODE_33.25N_75.12E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_024,SUPPORT_NODE_33.25N_75.12E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_025,SUPPORT_NODE_33.25N_75.12E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_026,SUPPORT_NODE_33.25N_75.12E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_027,SUPPORT_NODE_33.25N_75.12E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
