segment_id,midpoint_longitude_deg,midpoint_latitude_deg,coordinate_source,raster_row_index,raster_column_index,native_cell_id,cell_center_longitude_deg,cell_center_latitude_deg,west_bound_deg,east_bound_deg,south_bound_deg,north_bound_deg,boundary_rule,mapping_method_a_result,mapping_method_b_result,agreement_status
NH44_SEG_001,75.192389,32.99161,v2_3a_final_segment_inventory.csv,570,2551,GPM_NATIVE_32.95N_75.15E,75.15,32.95,75.1,75.2,32.9,33.0,"HALF_OPEN_INTERVAL_[WEST,EAST)_AND_[SOUTH,NORTH)",GPM_NATIVE_32.95N_75.15E_row570_col2551,"GPM_NATIVE_32.95N_75.15E_bbox[75.10,32.90,75.20,33.00]",EXACT_AGREEMENT
NH44_SEG_002,75.197494,32.991265,v2_3a_final_segment_inventory.csv,570,2551,GPM_NATIVE_32.95N_75.15E,75.15,32.95,75.1,75.2,32.9,33.0,"HALF_OPEN_INTERVAL_[WEST,EAST)_AND_[SOUTH,NORTH)",GPM_NATIVE_32.95N_75.15E_row570_col2551,"GPM_NATIVE_32.95N_75.15E_bbox[75.10,32.90,75.20,33.00]",EXACT_AGREEMENT
NH44_SEG_003,75.199061,32.995151,v2_3a_final_segment_inventory.csv,570,2551,GPM_NATIVE_32.95N_75.15E,75.15,32.95,75.1,75.2,32.9,33.0,"HALF_OPEN_INTERVAL_[WEST,EAST)_AND_[SOUTH,NORTH)",GPM_NATIVE_32.95N_75.15E_row570_col2551,"GPM_NATIVE_32.95N_75.15E_bbox[75.10,32.90,75.20,33.00]",EXACT_AGREEMENT
NH44_SEG_004,75.202505,32.998052,v2_3a_final_segment_inventory.csv,570,2552,GPM_NATIVE_32.95N_75.25E,75.25,32.95,75.2,75.3,32.9,33.0,"HALF_OPEN_INTERVAL_[WEST,EAST)_AND_[SOUTH,NORTH)",GPM_NATIVE_32.95N_75.25E_row570_col2552,"GPM_NATIVE_32.95N_75.25E_bbox[75.20,32.90,75.30,33.00]",EXACT_AGREEMENT
NH44_SEG_005,75.206563,32.999463,v2_3a_final_segment_inventory.csv,570,2552,GPM_NATIVE_32.95N_75.25E,75.25,32.95,75.2,75.3,32.9,33.0,"HALF_OPEN_INTERVAL_[WEST,EAST)_AND_[SOUTH,NORTH)",GPM_NATIVE_32.95N_75.25E_row570_col2552,"GPM_NATIVE_32.95N_75.25E_bbox[75.20,32.90,75.30,33.00]",EXACT_AGREEMENT
NH44_SEG_006,75.210746,33.001616,v2_3a_final_segment_inventory.csv,569,2552,GPM_NATIVE_33.05N_75.25E,75.25,33.05,75.2,75.3,33.0,33.1,"HALF_OPEN_INTERVAL_[WEST,EAST)_AND_[SOUTH,NORTH)",GPM_NATIVE_33.05N_75.25E_row569_col2552,"GPM_NATIVE_33.05N_75.25E_bbox[75.20,33.00,75.30,33.10]",EXACT_AGREEMENT
NH44_SEG_007,75.215494,33.003558,v2_3a_final_segment_inventory.csv,569,2552,GPM_NATIVE_33.05N_75.25E,75.25,33.05,75.2,75.3,33.0,33.1,"HALF_OPEN_INTERVAL_[WEST,EAST)_AND_[SOUTH,NORTH)",GPM_NATIVE_33.05N_75.25E_row569_col2552,"GPM_NATIVE_33.05N_75.25E_bbox[75.20,33.00,75.30,33.10]",EXACT_AGREEMENT
NH44_SEG_008,75.219544,33.0063,v2_3a_final_segment_inventory.csv,569,2552,GPM_NATIVE_33.05N_75.25E,75.25,33.05,75.2,75.3,33.0,33.1,"HALF_OPEN_INTERVAL_[WEST,EAST)_AND_[SOUTH,NORTH)",GPM_NATIVE_33.05N_75.25E_row569_col2552,"GPM_NATIVE_33.05N_75.25E_bbox[75.20,33.00,75.30,33.10]",EXACT_AGREEMENT
NH44_SEG_009,75.221075,33.009946,v2_3a_final_segment_inventory.csv,569,2552,GPM_NATIVE_33.05N_75.25E,75.25,33.05,75.2,75.3,33.0,33.1,"HALF_OPEN_INTERVAL_[WEST,EAST)_AND_[SOUTH,NORTH)",GPM_NATIVE_33.05N_75.25E_row569_col2552,"GPM_NATIVE_33.05N_75.25E_bbox[75.20,33.00,75.30,33.10]",EXACT_AGREEMENT
NH44_SEG_010,75.226206,33.01102,v2_3a_final_segment_inventory.csv,569,2552,GPM_NATIVE_33.05N_75.25E,75.25,33.05,75.2,75.3,33.0,33.1,"HALF_OPEN_INTERVAL_[WEST,EAST)_AND_[SOUTH,NORTH)",GPM_NATIVE_33.05N_75.25E_row569_col2552,"GPM_NATIVE_33.05N_75.25E_bbox[75.20,33.00,75.30,33.10]",EXACT_AGREEMENT
NH44_SEG_011,75.229573,33.013755,v2_3a_final_segment_inventory.csv,569,2552,GPM_NATIVE_33.05N_75.25E,75.25,33.05,75.2,75.3,33.0,33.1,"HALF_OPEN_INTERVAL_[WEST,EAST)_AND_[SOUTH,NORTH)",GPM_NATIVE_33.05N_75.25E_row569_col2552,"GPM_NATIVE_33.05N_75.25E_bbox[75.20,33.00,75.30,33.10]",EXACT_AGREEMENT
NH44_SEG_012,75.2338,33.015454,v2_3a_final_segment_inventory.csv,569,2552,GPM_NATIVE_33.05N_75.25E,75.25,33.05,75.2,75.3,33.0,33.1,"HALF_OPEN_INTERVAL_[WEST,EAST)_AND_[SOUTH,NORTH)",GPM_NATIVE_33.05N_75.25E_row569_col2552,"GPM_NATIVE_33.05N_75.25E_bbox[75.20,33.00,75.30,33.10]",EXACT_AGREEMENT
NH44_SEG_013,75.236814,33.018068,v2_3a_final_segment_inventory.csv,569,2552,GPM_NATIVE_33.05N_75.25E,75.25,33.05,75.2,75.3,33.0,33.1,"HALF_OPEN_INTERVAL_[WEST,EAST)_AND_[SOUTH,NORTH)",GPM_NATIVE_33.05N_75.25E_row569_col2552,"GPM_NATIVE_33.05N_75.25E_bbox[75.20,33.00,75.30,33.10]",EXACT_AGREEMENT
NH44_SEG_014,75.240488,33.018726,v2_3a_final_segment_inventory.csv,569,2552,GPM_NATIVE_33.05N_75.25E,75.25,33.05,75.2,75.3,33.0,33.1,"HALF_OPEN_INTERVAL_[WEST,EAST)_AND_[SOUTH,NORTH)",GPM_NATIVE_33.05N_75.25E_row569_col2552,"GPM_NATIVE_33.05N_75.25E_bbox[75.20,33.00,75.30,33.10]",EXACT_AGREEMENT
NH44_SEG_015,75.245445,33.019586,v2_3a_final_segment_inventory.csv,569,2552,GPM_NATIVE_33.05N_75.25E,75.25,33.05,75.2,75.3,33.0,33.1,"HALF_OPEN_INTERVAL_[WEST,EAST)_AND_[SOUTH,NORTH)",GPM_NATIVE_33.05N_75.25E_row569_col2552,"GPM_NATIVE_33.05N_75.25E_bbox[75.20,33.00,75.30,33.10]",EXACT_AGREEMENT
NH44_SEG_016,75.247197,33.023286,v2_3a_final_segment_inventory.csv,569,2552,GPM_NATIVE_33.05N_75.25E,75.25,33.05,75.2,75.3,33.0,33.1,"HALF_OPEN_INTERVAL_[WEST,EAST)_AND_[SOUTH,NORTH)",GPM_NATIVE_33.05N_75.25E_row569_col2552,"GPM_NATIVE_33.05N_75.25E_bbox[75.20,33.00,75.30,33.10]",EXACT_AGREEMENT
NH44_SEG_017,75.250535,33.0257,v2_3a_final_segment_inventory.csv,569,2552,GPM_NATIVE_33.05N_75.25E,75.25,33.05,75.2,75.3,33.0,33.1,"HALF_OPEN_INTERVAL_[WEST,EAST)_AND_[SOUTH,NORTH)",GPM_NATIVE_33.05N_75.25E_row569_col2552,"GPM_NATIVE_33.05N_75.25E_bbox[75.20,33.00,75.30,33.10]",EXACT_AGREEMENT
NH44_SEG_018,75.254498,33.026164,v2_3a_final_segment_inventory.csv,569,2552,GPM_NATIVE_33.05N_75.25E,75.25,33.05,75.2,75.3,33.0,33.1,"HALF_OPEN_INTERVAL_[WEST,EAST)_AND_[SOUTH,NORTH)",GPM_NATIVE_33.05N_75.25E_row569_col2552,"GPM_NATIVE_33.05N_75.25E_bbox[75.20,33.00,75.30,33.10]",EXACT_AGREEMENT
NH44_SEG_019,75.257833,33.028292,v2_3a_final_segment_inventory.csv,569,2552,GPM_NATIVE_33.05N_75.25E,75.25,33.05,75.2,75.3,33.0,33.1,"HALF_OPEN_INTERVAL_[WEST,EAST)_AND_[SOUTH,NORTH)",GPM_NATIVE_33.05N_75.25E_row569_col2552,"GPM_NATIVE_33.05N_75.25E_bbox[75.20,33.00,75.30,33.10]",EXACT_AGREEMENT
NH44_SEG_020,75.261211,33.028781,v2_3a_final_segment_inventory.csv,569,2552,GPM_NATIVE_33.05N_75.25E,75.25,33.05,75.2,75.3,33.0,33.1,"HALF_OPEN_INTERVAL_[WEST,EAST)_AND_[SOUTH,NORTH)",GPM_NATIVE_33.05N_75.25E_row569_col2552,"GPM_NATIVE_33.05N_75.25E_bbox[75.20,33.00,75.30,33.10]",EXACT_AGREEMENT
NH44_SEG_021,75.26613,33.029876,v2_3a_final_segment_inventory.csv,569,2552,GPM_NATIVE_33.05N_75.25E,75.25,33.05,75.2,75.3,33.0,33.1,"HALF_OPEN_INTERVAL_[WEST,EAST)_AND_[SOUTH,NORTH)",GPM_NATIVE_33.05N_75.25E_row569_col2552,"GPM_NATIVE_33.05N_75.25E_bbox[75.20,33.00,75.30,33.10]",EXACT_AGREEMENT
NH44_SEG_022,75.268594,33.033645,v2_3a_final_segment_inventory.csv,569,2552,GPM_NATIVE_33.05N_75.25E,75.25,33.05,75.2,75.3,33.0,33.1,"HALF_OPEN_INTERVAL_[WEST,EAST)_AND_[SOUTH,NORTH)",GPM_NATIVE_33.05N_75.25E_row569_col2552,"GPM_NATIVE_33.05N_75.25E_bbox[75.20,33.00,75.30,33.10]",EXACT_AGREEMENT
NH44_SEG_023,75.27232,33.035645,v2_3a_final_segment_inventory.csv,569,2552,GPM_NATIVE_33.05N_75.25E,75.25,33.05,75.2,75.3,33.0,33.1,"HALF_OPEN_INTERVAL_[WEST,EAST)_AND_[SOUTH,NORTH)",GPM_NATIVE_33.05N_75.25E_row569_col2552,"GPM_NATIVE_33.05N_75.25E_bbox[75.20,33.00,75.30,33.10]",EXACT_AGREEMENT
NH44_SEG_024,75.276984,33.036283,v2_3a_final_segment_inventory.csv,569,2552,GPM_NATIVE_33.05N_75.25E,75.25,33.05,75.2,75.3,33.0,33.1,"HALF_OPEN_INTERVAL_[WEST,EAST)_AND_[SOUTH,NORTH)",GPM_NATIVE_33.05N_75.25E_row569_col2552,"GPM_NATIVE_33.05N_75.25E_bbox[75.20,33.00,75.30,33.10]",EXACT_AGREEMENT
NH44_SEG_025,75.279274,33.039892,v2_3a_final_segment_inventory.csv,569,2552,GPM_NATIVE_33.05N_75.25E,75.25,33.05,75.2,75.3,33.0,33.1,"HALF_OPEN_INTERVAL_[WEST,EAST)_AND_[SOUTH,NORTH)",GPM_NATIVE_33.05N_75.25E_row569_col2552,"GPM_NATIVE_33.05N_75.25E_bbox[75.20,33.00,75.30,33.10]",EXACT_AGREEMENT
NH44_SEG_026,75.279075,33.04414,v2_3a_final_segment_inventory.csv,569,2552,GPM_NATIVE_33.05N_75.25E,75.25,33.05,75.2,75.3,33.0,33.1,"HALF_OPEN_INTERVAL_[WEST,EAST)_AND_[SOUTH,NORTH)",GPM_NATIVE_33.05N_75.25E_row569_col2552,"GPM_NATIVE_33.05N_75.25E_bbox[75.20,33.00,75.30,33.10]",EXACT_AGREEMENT
NH44_SEG_027,75.279928,33.04822,v2_3a_final_segment_inventory.csv,569,2552,GPM_NATIVE_33.05N_75.25E,75.25,33.05,75.2,75.3,33.0,33.1,"HALF_OPEN_INTERVAL_[WEST,EAST)_AND_[SOUTH,NORTH)",GPM_NATIVE_33.05N_75.25E_row569_col2552,"GPM_NATIVE_33.05N_75.25E_bbox[75.20,33.00,75.30,33.10]",EXACT_AGREEMENT
NH44_SEG_028,75.281513,33.052403,v2_3a_final_segment_inventory.csv,569,2552,GPM_NATIVE_33.05N_75.25E,75.25,33.05,75.2,75.3,33.0,33.1,"HALF_OPEN_INTERVAL_[WEST,EAST)_AND_[SOUTH,NORTH)",GPM_NATIVE_33.05N_75.25E_row569_col2552,"GPM_NATIVE_33.05N_75.25E_bbox[75.20,33.00,75.30,33.10]",EXACT_AGREEMENT
