native_cell_id,raster_crs,raster_row_index,raster_column_index,center_latitude_deg,center_longitude_deg,west_bound_deg,east_bound_deg,south_bound_deg,north_bound_deg,longitude_spacing_deg,latitude_spacing_deg,coordinate_convention,assigned_segments_count,segment_ids_sha256,mapping_source,computation_path,verification_status
GPM_NATIVE_32.95N_75.15E,EPSG:4326,570,2551,32.95,75.15,75.1,75.2,32.9,33.0,0.1,-0.1,PIXEL_CENTER,3,aa749fa0e991f5cb0909864e791eecbfcb47a249be4fe5091dd602113ee72fbc,Authoritative GPM IMERG 0.1-degree Grid Transform,Point-in-BBox Spatial Intersection,VERIFIED_AUTHORITATIVE
GPM_NATIVE_32.95N_75.25E,EPSG:4326,570,2552,32.95,75.25,75.2,75.3,32.9,33.0,0.1,-0.1,PIXEL_CENTER,2,a48f9340c14effa3c627b0b0b72e4c3688b374ae068a4c0dc96e84d955c8bca0,Authoritative GPM IMERG 0.1-degree Grid Transform,Point-in-BBox Spatial Intersection,VERIFIED_AUTHORITATIVE
GPM_NATIVE_33.05N_75.25E,EPSG:4326,569,2552,33.05,75.25,75.2,75.3,33.0,33.1,0.1,-0.1,PIXEL_CENTER,33,dd3fdde123e5b997fd645d076b13d3ead6514f492b5bf897bc72e42b04803b50,Authoritative GPM IMERG 0.1-degree Grid Transform,Point-in-BBox Spatial Intersection,VERIFIED_AUTHORITATIVE
GPM_NATIVE_33.15N_75.25E,EPSG:4326,568,2552,33.15,75.25,75.2,75.3,33.1,33.2,0.1,-0.1,PIXEL_CENTER,15,f63c2dafe5961cfb1ff696dd83422cb4bdda452c946a5a945995d9a9469bed38,Authoritative GPM IMERG 0.1-degree Grid Transform,Point-in-BBox Spatial Intersection,VERIFIED_AUTHORITATIVE
GPM_NATIVE_33.15N_75.35E,EPSG:4326,568,2553,33.15,75.35,75.3,75.4,33.1,33.2,0.1,-0.1,PIXEL_CENTER,12,05d874a2f57033ad2146213195214178e446414ab3a8bb0333113e3db1f4c8bb,Authoritative GPM IMERG 0.1-degree Grid Transform,Point-in-BBox Spatial Intersection,VERIFIED_AUTHORITATIVE
GPM_NATIVE_33.25N_75.15E,EPSG:4326,567,2551,33.25,75.15,75.1,75.2,33.2,33.3,0.1,-0.1,PIXEL_CENTER,18,231a03c52c06ab5daad0e87867459e05a31d4e96361ddb94a583683a36ab559d,Authoritative GPM IMERG 0.1-degree Grid Transform,Point-in-BBox Spatial Intersection,VERIFIED_AUTHORITATIVE
GPM_NATIVE_33.25N_75.25E,EPSG:4326,567,2552,33.25,75.25,75.2,75.3,33.2,33.3,0.1,-0.1,PIXEL_CENTER,24,85c66a2174c50d5e265a62f0dd555461fd4564bf3d394eb7e4c87b177e7470c9,Authoritative GPM IMERG 0.1-degree Grid Transform,Point-in-BBox Spatial Intersection,VERIFIED_AUTHORITATIVE
GPM_NATIVE_33.35N_75.15E,EPSG:4326,566,2551,33.35,75.15,75.1,75.2,33.3,33.4,0.1,-0.1,PIXEL_CENTER,29,880e3c97b134e4dc5feade30abfccdad7fbcd5f0216a068b8c8f99e12490a955,Authoritative GPM IMERG 0.1-degree Grid Transform,Point-in-BBox Spatial Intersection,VERIFIED_AUTHORITATIVE
GPM_NATIVE_33.35N_75.25E,EPSG:4326,566,2552,33.35,75.25,75.2,75.3,33.3,33.4,0.1,-0.1,PIXEL_CENTER,4,e2fa06fe576bc9777ef7ac0cca5ad46c3a596b63cc99435aa65aba872f694bb0,Authoritative GPM IMERG 0.1-degree Grid Transform,Point-in-BBox Spatial Intersection,VERIFIED_AUTHORITATIVE
GPM_NATIVE_33.45N_75.15E,EPSG:4326,565,2551,33.45,75.15,75.1,75.2,33.4,33.5,0.1,-0.1,PIXEL_CENTER,12,1f26daaa60ccb0637d83f39268ead40e724679bcfb8bebb6cb6e1d5253518e3b,Authoritative GPM IMERG 0.1-degree Grid Transform,Point-in-BBox Spatial Intersection,VERIFIED_AUTHORITATIVE
GPM_NATIVE_33.45N_75.25E,EPSG:4326,565,2552,33.45,75.25,75.2,75.3,33.4,33.5,0.1,-0.1,PIXEL_CENTER,6,624a6e1ad4b9c6e593ef7cf2c7617b41d91ec7f309dd7086a51380a2cc7369cf,Authoritative GPM IMERG 0.1-degree Grid Transform,Point-in-BBox Spatial Intersection,VERIFIED_AUTHORITATIVE
