native_cell_id,raster_crs,raster_row_index,raster_column_index,center_latitude_deg,center_longitude_deg,west_bound_deg,east_bound_deg,south_bound_deg,north_bound_deg,longitude_spacing_deg,latitude_spacing_deg,coordinate_convention,assigned_segments_count,ordered_segment_list,segment_ids_sha256,mapping_source,computation_path,verification_status
GPM_NATIVE_32.95N_75.15E,EPSG:4326,570,2551,32.95,75.15,75.1,75.2,32.9,33.0,0.1,-0.1,PIXEL_CENTER,3,"NH44_SEG_001,NH44_SEG_002,NH44_SEG_003",aa749fa0e991f5cb0909864e791eecbfcb47a249be4fe5091dd602113ee72fbc,Authoritative GPM IMERG 0.1-degree Grid Transform,Point-in-BBox Spatial Intersection,VERIFIED_AUTHORITATIVE
GPM_NATIVE_32.95N_75.25E,EPSG:4326,570,2552,32.95,75.25,75.2,75.3,32.9,33.0,0.1,-0.1,PIXEL_CENTER,2,"NH44_SEG_004,NH44_SEG_005",a48f9340c14effa3c627b0b0b72e4c3688b374ae068a4c0dc96e84d955c8bca0,Authoritative GPM IMERG 0.1-degree Grid Transform,Point-in-BBox Spatial Intersection,VERIFIED_AUTHORITATIVE
GPM_NATIVE_33.05N_75.25E,EPSG:4326,569,2552,33.05,75.25,75.2,75.3,33.0,33.1,0.1,-0.1,PIXEL_CENTER,33,"NH44_SEG_006,NH44_SEG_007,NH44_SEG_008,NH44_SEG_009,NH44_SEG_010,NH44_SEG_011,NH44_SEG_012,NH44_SEG_013,NH44_SEG_014,NH44_SEG_015,NH44_SEG_016,NH44_SEG_017,NH44_SEG_018,NH44_SEG_019,NH44_SEG_020,NH44_SEG_021,NH44_SEG_022,NH44_SEG_023,NH44_SEG_024,NH44_SEG_025,NH44_SEG_026,NH44_SEG_027,NH44_SEG_028,NH44_SEG_029,NH44_SEG_030,NH44_SEG_031,NH44_SEG_032,NH44_SEG_033,NH44_SEG_034,NH44_SEG_035,NH44_SEG_036,NH44_SEG_037,NH44_SEG_038",dd3fdde123e5b997fd645d076b13d3ead6514f492b5bf897bc72e42b04803b50,Authoritative GPM IMERG 0.1-degree Grid Transform,Point-in-BBox Spatial Intersection,VERIFIED_AUTHORITATIVE
GPM_NATIVE_33.15N_75.25E,EPSG:4326,568,2552,33.15,75.25,75.2,75.3,33.1,33.2,0.1,-0.1,PIXEL_CENTER,15,"NH44_SEG_039,NH44_SEG_040,NH44_SEG_041,NH44_SEG_042,NH44_SEG_043,NH44_SEG_044,NH44_SEG_045,NH44_SEG_046,NH44_SEG_047,NH44_SEG_057,NH44_SEG_058,NH44_SEG_060,NH44_SEG_061,NH44_SEG_064,NH44_SEG_065",f63c2dafe5961cfb1ff696dd83422cb4bdda452c946a5a945995d9a9469bed38,Authoritative GPM IMERG 0.1-degree Grid Transform,Point-in-BBox Spatial Intersection,VERIFIED_AUTHORITATIVE
GPM_NATIVE_33.15N_75.35E,EPSG:4326,568,2553,33.15,75.35,75.3,75.4,33.1,33.2,0.1,-0.1,PIXEL_CENTER,12,"NH44_SEG_048,NH44_SEG_049,NH44_SEG_050,NH44_SEG_051,NH44_SEG_052,NH44_SEG_053,NH44_SEG_054,NH44_SEG_055,NH44_SEG_056,NH44_SEG_059,NH44_SEG_062,NH44_SEG_063",05d874a2f57033ad2146213195214178e446414ab3a8bb0333113e3db1f4c8bb,Authoritative GPM IMERG 0.1-degree Grid Transform,Point-in-BBox Spatial Intersection,VERIFIED_AUTHORITATIVE
GPM_NATIVE_33.25N_75.15E,EPSG:4326,567,2551,33.25,75.15,75.1,75.2,33.2,33.3,0.1,-0.1,PIXEL_CENTER,18,"NH44_SEG_090,NH44_SEG_091,NH44_SEG_092,NH44_SEG_093,NH44_SEG_094,NH44_SEG_095,NH44_SEG_096,NH44_SEG_097,NH44_SEG_098,NH44_SEG_099,NH44_SEG_100,NH44_SEG_101,NH44_SEG_102,NH44_SEG_103,NH44_SEG_104,NH44_SEG_105,NH44_SEG_106,NH44_SEG_107",231a03c52c06ab5daad0e87867459e05a31d4e96361ddb94a583683a36ab559d,Authoritative GPM IMERG 0.1-degree Grid Transform,Point-in-BBox Spatial Intersection,VERIFIED_AUTHORITATIVE
GPM_NATIVE_33.25N_75.25E,EPSG:4326,567,2552,33.25,75.25,75.2,75.3,33.2,33.3,0.1,-0.1,PIXEL_CENTER,24,"NH44_SEG_066,NH44_SEG_067,NH44_SEG_068,NH44_SEG_069,NH44_SEG_070,NH44_SEG_071,NH44_SEG_072,NH44_SEG_073,NH44_SEG_074,NH44_SEG_075,NH44_SEG_076,NH44_SEG_077,NH44_SEG_078,NH44_SEG_079,NH44_SEG_080,NH44_SEG_081,NH44_SEG_082,NH44_SEG_083,NH44_SEG_084,NH44_SEG_085,NH44_SEG_086,NH44_SEG_087,NH44_SEG_088,NH44_SEG_089",85c66a2174c50d5e265a62f0dd555461fd4564bf3d394eb7e4c87b177e7470c9,Authoritative GPM IMERG 0.1-degree Grid Transform,Point-in-BBox Spatial Intersection,VERIFIED_AUTHORITATIVE
GPM_NATIVE_33.35N_75.15E,EPSG:4326,566,2551,33.35,75.15,75.1,75.2,33.3,33.4,0.1,-0.1,PIXEL_CENTER,29,"NH44_SEG_108,NH44_SEG_109,NH44_SEG_110,NH44_SEG_111,NH44_SEG_112,NH44_SEG_113,NH44_SEG_114,NH44_SEG_115,NH44_SEG_116,NH44_SEG_118,NH44_SEG_119,NH44_SEG_120,NH44_SEG_121,NH44_SEG_122,NH44_SEG_123,NH44_SEG_124,NH44_SEG_125,NH44_SEG_126,NH44_SEG_127,NH44_SEG_128,NH44_SEG_129,NH44_SEG_130,NH44_SEG_131,NH44_SEG_132,NH44_SEG_133,NH44_SEG_134,NH44_SEG_138,NH44_SEG_139,NH44_SEG_140",880e3c97b134e4dc5feade30abfccdad7fbcd5f0216a068b8c8f99e12490a955,Authoritative GPM IMERG 0.1-degree Grid Transform,Point-in-BBox Spatial Intersection,VERIFIED_AUTHORITATIVE
GPM_NATIVE_33.35N_75.25E,EPSG:4326,566,2552,33.35,75.25,75.2,75.3,33.3,33.4,0.1,-0.1,PIXEL_CENTER,4,"NH44_SEG_117,NH44_SEG_135,NH44_SEG_136,NH44_SEG_137",e2fa06fe576bc9777ef7ac0cca5ad46c3a596b63cc99435aa65aba872f694bb0,Authoritative GPM IMERG 0.1-degree Grid Transform,Point-in-BBox Spatial Intersection,VERIFIED_AUTHORITATIVE
GPM_NATIVE_33.45N_75.15E,EPSG:4326,565,2551,33.45,75.15,75.1,75.2,33.4,33.5,0.1,-0.1,PIXEL_CENTER,12,"NH44_SEG_141,NH44_SEG_142,NH44_SEG_149,NH44_SEG_150,NH44_SEG_151,NH44_SEG_152,NH44_SEG_153,NH44_SEG_154,NH44_SEG_155,NH44_SEG_156,NH44_SEG_157,NH44_SEG_158",1f26daaa60ccb0637d83f39268ead40e724679bcfb8bebb6cb6e1d5253518e3b,Authoritative GPM IMERG 0.1-degree Grid Transform,Point-in-BBox Spatial Intersection,VERIFIED_AUTHORITATIVE
